logz logzerr logvol nlive logl logwt insert_order
-6.152244231947111075e+03 1.748130246614904948e+01 -5.800000000000004458e-02 1.000000000000000000e+03 -5.914365761721948729e+03 -5.921332016959264365e+03 5.199999999999999761e-02
-5.921332016959264365e+03 1.057313484079411552e+02 -5.900000000000004546e-02 1.000000000000000000e+03 -5.755300130407445067e+03 -5.762267385644760907e+03 8.519999999999999796e-01
-5.762267385644760907e+03 1.212121886136328612e+02 -6.000000000000004635e-02 1.000000000000000000e+03 -5.709640191162904557e+03 -5.716608446400219691e+03 7.980000000000000426e-01
-5.716608446400219691e+03 8.728016022376844774e+01 -6.100000000000004724e-02 1.000000000000000000e+03 -5.544085539730594974e+03 -5.551054794967910311e+03 1.536000000000000032e+00
-5.551054794967910311e+03 8.705487504490071160e+01 -6.200000000000004813e-02 1.000000000000000000e+03 -5.425548017306545262e+03 -5.432518272543860803e+03 9.939999999999999947e-01
-5.432518272543860803e+03 1.263294429922291897e+02 -6.300000000000004208e-02 1.000000000000000000e+03 -5.252474609945637894e+03 -5.259445865182953639e+03 8.820000000000000062e-01
-5.259445865182953639e+03 1.450645709327108364e+02 -6.400000000000004297e-02 1.000000000000000000e+03 -5.230534713499724603e+03 -5.237506968737040552e+03 9.360000000000000542e-01
-5.237506968736744057e+03 1.362668285488047104e+02 -6.500000000000004385e-02 1.000000000000000000e+03 -5.219832415120862606e+03 -5.226805670358177849e+03 9.839999999999999858e-01
-5.226805647842746112e+03 5.592976877505120115e+01 -6.600000000000004474e-02 1.000000000000000000e+03 -5.188524001329297789e+03 -5.195498256566613236e+03 1.020000000000000018e+00
-5.195498256566613236e+03 6.457798116151747081e+01 -6.700000000000004563e-02 1.000000000000000000e+03 -5.083896110354562552e+03 -5.090871365591878202e+03 8.179999999999999494e-01
-5.090871365591878202e+03 4.993774941438387316e+01 -6.800000000000004652e-02 1.000000000000000000e+03 -5.036769293037078569e+03 -5.043745548274394423e+03 8.940000000000000169e-01
-5.043745548274394423e+03 4.095691515437258801e+01 -6.900000000000004741e-02 1.000000000000000000e+03 -5.006903565823758072e+03 -5.013880821061073220e+03 8.579999999999999849e-01
-5.013880821061073220e+03 2.205630640603686032e+01 -7.000000000000004829e-02 1.000000000000000000e+03 -4.982110454018682503e+03 -4.989088709255997856e+03 1.447999999999999954e+00
-4.989088709255980575e+03 1.132209184603203411e+01 -7.100000000000004918e-02 1.000000000000000000e+03 -4.911488357403695773e+03 -4.918467612641011328e+03 1.560000000000000053e+00
-4.918467612641011328e+03 4.036444962714827511e+01 -7.200000000000005007e-02 1.000000000000000000e+03 -4.830220452350566120e+03 -4.837200707587881880e+03 1.624000000000000110e+00
-4.837200707587881880e+03 4.579085821166033554e+01 -7.300000000000005096e-02 1.000000000000000000e+03 -4.676927840712309262e+03 -4.683909095949624316e+03 2.839999999999999747e-01
-4.683909095949624316e+03 9.559735668021833987e+01 -7.400000000000005185e-02 1.000000000000000000e+03 -4.642839123707795807e+03 -4.649821378945111064e+03 1.935999999999999943e+00
-4.649821378945111064e+03 9.246040296529633906e+01 -7.500000000000005274e-02 1.000000000000000000e+03 -4.390976641773496340e+03 -4.397959897010811801e+03 9.399999999999999467e-01
-4.397959897010811801e+03 1.311690258198117931e+02 -7.600000000000005362e-02 1.000000000000000000e+03 -4.344154229390575892e+03 -4.351138484627891557e+03 6.979999999999999538e-01
-4.351138484627891557e+03 1.291614943741466561e+02 -7.700000000000005451e-02 1.000000000000000000e+03 -4.230700982643328643e+03 -4.237686237880644512e+03 6.500000000000000222e-01
-4.237686237880644512e+03 1.204459700133622277e+02 -7.800000000000005540e-02 1.000000000000000000e+03 -4.220976934621422515e+03 -4.227963189858737678e+03 1.290000000000000036e+00
