weight logl sigma l k
0.000000000000000000e+00 -9.342015483641280298e+03 4.643689198110168004e-02 2.049004862722905163e-01 9.328715632340078834e-01
0.000000000000000000e+00 -9.319240659526316449e+03 4.638105578308504562e-02 3.869391577442593544e-02 1.301865731033203799e-01
0.000000000000000000e+00 -9.265918253717894913e+03 4.953644934984580139e-02 9.505685540519235310e-01 2.630448768638692369e-01
0.000000000000000000e+00 -9.241361206681596741e+03 3.288407036513951720e-02 4.214860925507096789e-01 8.807139052696248971e-01
0.000000000000000000e+00 -8.775277319216109390e+03 2.217689808919998118e-02 8.325600657258958037e-01 4.728468322322242345e-01
0.000000000000000000e+00 -8.646683280061448386e+03 8.953487022256889638e-02 2.051968874573947277e-01 3.161669064500749471e-02
0.000000000000000000e+00 -8.571496547646307590e+03 1.144811461320749402e-02 3.057507059410716765e-01 7.944255863350466740e-01
0.000000000000000000e+00 -7.785619444409228890e+03 9.258211679544225969e-02 8.919042207385519117e-01 4.610901219362661951e-02
0.000000000000000000e+00 -7.704888174371838431e+03 1.147107730175567220e-02 9.749327368091325052e-01 5.721944606271603950e-01
0.000000000000000000e+00 -7.380413857259378346e+03 7.886404508901789789e-02 7.599766009890311924e-01 1.364092269944344737e-01
0.000000000000000000e+00 -7.256096661124475759e+03 3.921515349497839420e-02 1.053065824176703247e-01 3.870627703486001492e-01
0.000000000000000000e+00 -7.135155294330746983e+03 1.052157490197321854e-01 7.717257670549180215e-01 6.562705923130462971e-03
0.000000000000000000e+00 -6.983421271057657577e+03 7.011497123524668140e-04 8.059242563544050109e-01 6.886122568860202353e-01
0.000000000000000000e+00 -6.899736027045168157e+03 2.328038296582424227e-02 8.457765849280295400e-01 5.185024707729752880e-01
0.000000000000000000e+00 -6.603609172770988152e+03 1.313222594562724055e-02 6.477904945537888981e-01 7.248493864473717352e-01
0.000000000000000000e+00 -6.602732976176169359e+03 9.485866107077056686e-02 7.860013771713645347e-01 8.150118802737416068e-02
0.000000000000000000e+00 -6.507865877615139652e+03 1.103446378650163595e-02 8.345279456729025602e-01 6.388009271959996793e-01
0.000000000000000000e+00 -6.438758613865661573e+03 9.025963012921334183e-02 8.408844160165501735e-01 1.117999652234389352e-01
0.000000000000000000e+00 -6.329430365537399666e+03 2.207317843234091193e-02 3.472280081557459486e-01 5.494888087536262677e-01
0.000000000000000000e+00 -6.182322089048549060e+03 4.730027186882079793e-02 8.808749487642810738e-01 3.689454962929761273e-01
0.000000000000000000e+00 -6.145278976709795643e+03 5.627668750191483493e-02 1.109461061174039642e-01 3.101703972058578174e-01
0.000000000000000000e+00 -5.914365761721948729e+03 3.332136438316579685e-02 4.823778285488000694e-01 7.855882737943366001e-01
0.000000000000000000e+00 -5.755300130407445067e+03 7.648665918121066998e-02 8.830638004852799927e-01 9.259820525300661576e-01
0.000000000000000000e+00 -5.709640191162904557e+03 1.049025276507692395e-01 8.047433600538134169e-02 3.871577299976236564e-02
0.000000000000000000e+00 -5.544085539730594974e+03 2.210722196327707945e-02 4.202082842863564816e-01 7.149540526324105194e-01
0.000000000000000000e+00 -5.425548017306545262e+03 9.392707173668668474e-02 9.356147363582171250e-01 9.705609826653409655e-01
0.000000000000000000e+00 -5.252474609945637894e+03 9.096236949374369996e-02 5.065358069649958939e-01 9.523532845998814444e-01
0.000000000000000000e+00 -5.230534713499724603e+03 1.159336942592922304e-01 1.261051854576072939e-01 4.735556413036590140e-02
0.000000000000000000e+00 -5.219832415120862606e+03 9.337688279306566308e-02 2.711253367450554563e-01 9.588593984268332093e-01
0.000000000000000000e+00 -5.188524001329297789e+03 2.142073029843793996e-02 3.269833759801261674e-01 6.499472247493016663e-01
0.000000000000000000e+00 -5.083896110354562552e+03 6.773873483665182604e-02 8.005829649886830879e-02 8.847930785481233906e-01
0.000000000000000000e+00 -5.036769293037078569e+03 5.130992972407766306e-02 6.999649818288474767e-01 3.867025458580080066e-01
0.000000000000000000e+00 -5.006903565823758072e+03 8.146346542106142063e-02 1.287732609899625569e-01 9.098834231377712634e-01
0.000000000000000000e+00 -4.982110454018682503e+03 8.271948841843579370e-02 6.442214579214741166e-01 2.140531785194831338e-01
0.000000000000000000e+00 -4.911488357403695773e+03 3.810857162747993687e-02 5.461172301412424712e-01 4.838395229191715385e-01
0.000000000000000000e+00 -4.830220452350566120e+03 7.006633495863856531e-02 6.375088145865845934e-01 8.648659852330927711e-01
0.000000000000000000e+00 -4.676927840712309262e+03 7.815778485211222204e-02 6.579716604998144813e-01 2.513533349493225488e-01
0.000000000000000000e+00 -4.642839123707795807e+03 6.988878004698684254e-02 8.793211109590032271e-01 2.957994859441952507e-01
0.000000000000000000e+00 -4.390976641773496340e+03 2.849821675599029103e-02 2.990337486107358389e-01 6.476009969211888873e-01
0.000000000000000000e+00 -4.344154229390575892e+03 5.786496149837727643e-02 5.929691298696094792e-01 8.033814196816788655e-01
0.000000000000000000e+00 -4.230700982643328643e+03 1.223674228165785305e-01 4.244507705178516277e-01 8.027326244823873580e-02
0.000000000000000000e+00 -4.220976934621422515e+03 1.195506905050429669e-01 6.827065200920670041e-01 9.217244586963657671e-02
0.000000000000000000e+00 -4.200365763918312950e+03 3.126982666475175421e-02 9.477712406226884712e-01 6.017681591374177685e-01
0.000000000000000000e+00 -4.191653369037639095e+03 3.352821379478643227e-02 7.200938675058035088e-01 5.701077994366698931e-01
0.000000000000000000e+00 -4.032498758300053396e+03 1.384636277427780948e-01 9.555087795675862861e-01 3.126681476823434114e-02
0.000000000000000000e+00 -4.008130855621560841e+03 7.505668646374408226e-02 7.146304246164447704e-01 3.008532640161817318e-01
0.000000000000000000e+00 -3.858632549605252279e+03 4.195646389416218813e-02 3.392248413935573526e-01 5.140288499794176680e-01
0.000000000000000000e+00 -3.703665665485563750e+03 1.094010011854485986e-01 3.072274571669165733e-01 9.247092411260741107e-01
0.000000000000000000e+00 -3.655122947242878581e+03 1.112852611878856202e-01 8.242710837475760721e-01 1.616271913386289061e-01
0.000000000000000000e+00 -3.566319831962322041e+03 4.689969493672441203e-02 4.179343324813753480e-01 4.948752737386138412e-01
0.000000000000000000e+00 -3.441974008143471565e+03 1.098230413207732514e-01 1.959415681811829124e-01 9.085086112687567050e-01
0.000000000000000000e+00 -3.436134230005596237e+03 3.900577363129686947e-02 3.283709094450577570e-01 5.951797055283382099e-01
0.000000000000000000e+00 -3.369638293371100190e+03 9.155628353341516146e-02 1.177096579434986356e-01 8.521460932136852851e-01
0.000000000000000000e+00 -3.323561609214521013e+03 9.881981889739865910e-02 4.321840302039450243e-01 2.338674918077408016e-01
0.000000000000000000e+00 -3.321725444261338453e+03 1.365805008149233446e-01 3.406778113556162557e-01 9.768457114302294686e-01
0.000000000000000000e+00 -3.254116172279918374e+03 7.723616893171236786e-02 3.053441382351093081e-01 8.022141053592080073e-01
0.000000000000000000e+00 -3.157626610990508652e+03 1.481910662408122414e-01 1.924001910376517133e-01 9.964743616964528705e-01
0.000000000000000000e+00 -3.143588210959122534e+03 1.228837628642505120e-01 8.077019467427397625e-01 1.540633980085519550e-01
0.000000000000000000e+00 -3.138178526024309576e+03 1.028399409971656464e-01 2.495274513917693504e-01 8.675666813285339840e-01
0.000000000000000000e+00 -3.085655089308236711e+03 6.480040006495357829e-02 9.792878591819126344e-01 4.102412838256859207e-01
0.000000000000000000e+00 -3.074838876459542462e+03 9.328655827733101091e-02 9.129572061190732724e-01 8.363390649090786111e-01
0.000000000000000000e+00 -3.066132161250593981e+03 6.289909099840051976e-02 9.975470007188782517e-01 7.452271537847038330e-01
0.000000000000000000e+00 -3.061021574573867383e+03 1.633421500174380148e-01 6.882635501097839059e-01 2.320271668695506051e-02
0.000000000000000000e+00 -2.957332217466406746e+03 6.483454871927474272e-02 7.088486364895468794e-01 4.192396368264498241e-01
0.000000000000000000e+00 -2.953488648127952274e+03 8.704655479742229307e-02 6.899072148195307674e-01 3.091002103240523269e-01
