sigma l k
3.274962287659928251e-01 4.471752888409148419e-01 7.231642177756314460e-02
3.266549801261822150e-01 4.192753149925845801e-01 -2.666494244695372107e-02
3.418710683152128560e-01 4.021670118426981522e-01 6.205517553997741409e-02
3.689360642336703688e-01 4.111301131901944350e-01 -2.208313998764432906e-02
3.834534339843773676e-01 4.187491006266639282e-01 2.902680243754862666e-02
3.925824096704104704e-01 4.020706771158243931e-01 7.134332999592096769e-04
3.575619435334337348e-01 4.148393676683958531e-01 8.942983201019094608e-02
3.771261633598370078e-01 4.291412366225604846e-01 7.549084825084273476e-02
3.639633140777815967e-01 3.917770744701083441e-01 8.051881432951990547e-03
3.534150821677244370e-01 4.224805486011042888e-01 -2.716500744964911451e-02
3.599291370080610619e-01 4.288451725235431500e-01 6.404104954084499646e-02
3.493422788466613027e-01 4.102478213119398198e-01 3.231866544391404084e-02
3.707920706985817771e-01 4.105987275877548970e-01 7.984013345618867774e-02
3.395932820466323054e-01 4.139518620921516234e-01 2.637415935673015355e-02
3.626108181054877866e-01 3.903035660108589711e-01 -1.936644780221929985e-02
3.817105753628966536e-01 4.260240579273832928e-01 5.915048032291614355e-02
3.123761519629623118e-01 4.313888846132701849e-01 -2.359155783355793012e-02
3.917348349591907586e-01 4.106586528813247483e-01 4.012892236680953850e-02
3.947384910906990840e-01 3.964350677673581513e-01 -2.573619228146928339e-02
3.699570544918671100e-01 4.026395663958903803e-01 -6.460243251625674699e-02
3.253827157850773810e-01 4.122239217420681223e-01 2.954927203640256295e-02
3.815706177014457912e-01 3.867368541228006773e-01 -5.816049686679325426e-02
3.726900843457748302e-01 4.026221464579612941e-01 2.728902506073582757e-02
3.162533497521964887e-01 4.117501006956229004e-01 7.695814103261477968e-03
3.572552734766440974e-01 3.879205517995386598e-01 1.185399979642363100e-01
2.906555377438546639e-01 4.368763262945178916e-01 6.913278798484401300e-02
3.413200709606823979e-01 4.096384946638338409e-01 9.325884037439302610e-02
3.653386647787739694e-01 3.688387687528127401e-01 2.481140533963399619e-02
3.807930114916914244e-01 4.227293777128802166e-01 7.260466817506361359e-02
3.555340658493659212e-01 4.053097978073227914e-01 -2.845588491329442693e-02
3.351150469852186564e-01 4.170639141748171963e-01 -2.285974055544881534e-02
3.652135549848007368e-01 4.059558446816229904e-01 -2.812323744315226026e-02
3.383522120753734153e-01 4.118443468445271982e-01 5.927444761849010035e-02
3.336552731642245528e-01 4.108635270591059485e-01 3.949853226455979360e-02
3.839915051768138521e-01 3.995434595529030464e-01 -1.019172684004472362e-01
3.452449109004985250e-01 4.603922730808712727e-01 -8.573628843279634815e-02
3.238037900531327007e-01 4.699986733109890458e-01 4.612964300288324715e-02
3.079049403874086210e-01 4.066933464305859669e-01 6.249447821455467178e-02
3.329356577524859584e-01 4.394245875001357993e-01 6.697402567806332030e-02
3.201244236207170246e-01 3.948294894322167403e-01 4.673613797929587754e-02
3.573649648755076735e-01 3.986768307026645197e-01 -3.522592518005374096e-02
3.793363016736945870e-01 4.036651481763909310e-01 -6.038840042273307951e-02
3.217178338503081658e-01 4.336677440840328024e-01 -1.120598378324724198e-01
3.935726439910565699e-01 4.040982131387390597e-01 2.489588240658768825e-02
3.737657740405071483e-01 4.166007518979608637e-01 -5.449733752170726753e-02
3.187448295491031036e-01 4.366781207343742310e-01 -4.365119938432027169e-05
3.698967841111864274e-01 3.861611317112089159e-01 6.042320779176635348e-02
3.707293166494620706e-01 4.418215420967355200e-01 -4.547239509284073389e-02
3.558774248301987964e-01 3.982497900128111890e-01 9.357910853621032032e-03
3.650758423198984803e-01 4.373961454923862568e-01 6.492902868229966096e-02
3.586058090191115433e-01 4.223218558935157296e-01 -3.366677256894790027e-02
4.053423192700621458e-01 4.064291193250212375e-01 -9.808078828149680017e-02
3.305078566276610785e-01 4.456059856672034969e-01 2.609832949730717111e-02
3.740200499480695884e-01 4.073484689811003312e-01 8.569221642823032781e-02
3.680842180579950718e-01 4.275229646075121570e-01 1.142706831189350680e-01
3.545762296533260249e-01 4.269893401538498723e-01 5.233915362937091587e-02
3.387920813703736433e-01 4.138555167055305573e-01 -2.386806064652302606e-02
3.415714444343970757e-01 4.377331376581614086e-01 -3.780771306173269508e-04
3.825663633820823306e-01 3.930197981258769513e-01 1.006372490734785963e-02
3.595174513657860005e-01 3.999603114464019837e-01 -1.145173002698673947e-03
3.094777536891227254e-01 4.218180383498745245e-01 3.224198310939652146e-02
3.456248593534995139e-01 3.951899846933319971e-01 -9.804164317113950311e-03
3.239755252609503033e-01 4.452336960698423107e-01 -3.267729811307074073e-04
3.209328181737618468e-01 4.030468840374235029e-01 -5.322369632474466261e-02
3.859215897402188400e-01 3.718161053803156202e-01 -7.474932928099065066e-02
3.119974969855369706e-01 4.682353429012681145e-01 2.606951574268556726e-02
3.742896249452716817e-01 4.053143418519746799e-01 1.387777543471153674e-01
3.938691107351279808e-01 4.131843871061711138e-01 6.104873198369720200e-03
3.519268013966194708e-01 4.458761587071622401e-01 2.680154499737308349e-02
4.280474121158936995e-01 3.792646911696267442e-01 2.078986332920407243e-02
3.643680833031682775e-01 4.048776099594464384e-01 1.390665459289874839e-02
3.588288325673489876e-01 3.910552944396997188e-01 -3.386045463072562267e-02
3.244955637604900467e-01 4.369457812111088857e-01 7.519094677066839871e-02
3.362775315473628401e-01 4.080677954684750475e-01 -1.524253718972522487e-01
3.602356950375498745e-01 3.987052201964185749e-01 4.953302820758698211e-02
4.039651229415484601e-01 3.863910929505171010e-01 7.690579526726715187e-02
2.980050575519873068e-01 4.415322378240194579e-01 4.919486566833608521e-02
3.359476859437153240e-01 4.149908455169637467e-01 -1.344065429922225441e-01
3.620615644683705669e-01 4.260624711345677440e-01 -4.749534882777617373e-02
3.378035774866833818e-01 4.028032414524286287e-01 2.784866796310914161e-02
3.884132756967378364e-01 3.806331067030132020e-01 6.438191087614786312e-02
3.244045042789937550e-01 4.098563459311950208e-01 9.504830396505292711e-03
3.422758459588803315e-01 4.059811600492916339e-01 -2.952339572367368437e-02
3.493213958613967107e-01 4.067024854911341913e-01 -6.299652968965252509e-02
3.964824239440004616e-01 4.163421000300868702e-01 -7.145995722389664184e-02
3.347336838701174822e-01 3.969831397905546622e-01 -2.481593968869710842e-02
3.459085381910611545e-01 4.161539428222912340e-01 4.661528108650903057e-02
3.383655272230425282e-01 3.845981147934338096e-01 -1.558794201562496706e-02
3.144312004067155719e-01 4.320643618126303043e-01 4.772307655205021426e-02
3.538344168734632311e-01 3.989243015083632771e-01 -1.070966107471393869e-02
3.423569389229182414e-01 3.867361346762143159e-01 2.108897459327452317e-02
3.221765447448300956e-01 4.182021955516967426e-01 -2.354687236934915884e-02
4.062027997570217819e-01 3.678627071386232350e-01 2.141538135490450578e-02
3.221009466768345320e-01 4.471611975107693260e-01 4.027853509462220316e-03
3.382282813394133503e-01 4.397664272713270317e-01 1.578658463979865090e-02
3.853250041084711475e-01 4.104018782959119038e-01 3.300599267989734464e-02
3.613762595897412888e-01 4.228469385806389313e-01 3.521679979052927401e-02
3.292788564305565435e-01 4.134884756698705699e-01 3.057102554740032119e-02
3.494793351102192247e-01 4.195662417120422649e-01 2.143025344091520346e-02
3.945003914392902766e-01 3.880467074155653506e-01 3.828744416630325276e-02
3.892886453580171047e-01 4.067493803828146071e-01 6.483940348359729100e-02
3.131230846818685021e-01 4.655902083683410853e-01 8.863907132356696472e-02
3.714213962395146451e-01 4.378375933037543244e-01 1.166275364519120394e-02
3.414519464411543970e-01 4.315548709690470441e-01 8.741177075198147683e-02
3.589551412576120759e-01 4.011886355807040005e-01 9.791344941662560863e-02
3.525106148959654684e-01 4.551636865999127979e-01 1.707613340975644434e-02
4.180944161103171686e-01 3.741683516847298940e-01 7.058380985657120021e-02
3.812124370610106006e-01 3.822635957506252957e-01 1.085647944621093153e-01
3.350789757678689917e-01 4.658287038740421271e-01 5.206311401409191575e-02
3.399461619932974132e-01 3.965068013943534586e-01 1.907504586720332185e-02
3.328418800735880034e-01 4.148347785001245125e-01 3.260790183617268134e-02
3.581281891333144007e-01 4.077658939076940214e-01 8.839993009271718272e-02
3.707917356591250435e-01 4.308117665595095902e-01 2.857638833706932502e-02
3.918824174164918794e-01 3.957668523525980087e-01 -3.044646352605484552e-03
3.334986687936832839e-01 4.386159338412405351e-01 -2.830760077307536982e-02
3.581374668681295836e-01 3.962523349266630635e-01 7.996670548479500873e-02
4.133335598142503509e-01 4.015073946423657336e-01 -2.539609539869169819e-02
3.431817166149616072e-01 4.083964593254469366e-01 4.491903417119269548e-02
4.243964347581450913e-01 4.000074151156949309e-01 7.508438651924609353e-02
3.500943360986871200e-01 4.123581464537387498e-01 5.513421824814401795e-02
3.281436049715200642e-01 4.166040184873990304e-01 2.833215615830808609e-02
3.315798707006212820e-01 4.049709968552941963e-01 9.019333215985270158e-02
3.523179015989019724e-01 3.999687017255899035e-01 -5.062752121376046244e-02
3.172203608498577188e-01 4.383709896023171293e-01 4.038479684221329968e-02
3.626736323438279896e-01 4.018536705405685305e-01 3.661038665866889197e-02
