sigma l k
2.946863528416888145e-01 4.081982949369067359e-01 5.685101692337868329e-02
3.946767784004198143e-01 3.801732177904906251e-01 -3.156339371367999913e-02
3.057023390464468360e-01 4.101608204472743102e-01 -1.988120795119119322e-02
3.607433067027425722e-01 4.031086778941375126e-01 -2.112232734279850810e-02
3.834237483267869950e-01 3.785177885981006463e-01 7.121876424854112209e-02
3.331357186425281114e-01 4.262449217008384972e-01 4.623879168589017929e-02
3.273433348380104246e-01 4.371414829857804829e-01 6.962631275513175844e-02
3.341718594095866024e-01 3.922370617333992282e-01 8.627055015467766097e-02
3.373308348304265847e-01 4.211768113945714154e-01 2.987530488687895058e-02
3.098839478606552067e-01 4.507196647535613443e-01 -5.415186023576734620e-02
3.638785082279043515e-01 4.134481455611352385e-01 -3.003772651088809642e-02
3.328331757602568941e-01 3.954296796981579543e-01 7.851302852562924706e-02
3.088305775924296004e-01 3.977423709746785718e-01 2.390278640073284500e-02
3.539368658346542795e-01 4.093269099163929781e-01 4.845083041224640397e-02
3.215151410148699984e-01 4.757760879850456148e-01 3.302156796495792079e-02
3.197998131486848861e-01 4.063461962003113159e-01 -2.602938883525462987e-02
3.182805710600302707e-01 3.967344368627439555e-01 9.122511700681013025e-04
3.411454936849207531e-01 4.099828030984903338e-01 6.376416874538204382e-02
3.781517327865476785e-01 4.238813457191048517e-01 1.143114403029976689e-01
3.317783391926988346e-01 3.985235624926777853e-01 9.248310145976201824e-02
3.118404151407335734e-01 4.482807776863192428e-01 -3.869582592774811758e-02
4.037544899285818167e-01 3.980271011686833948e-01 -8.351435706939525083e-02
3.939374497083932281e-01 4.212713803301776916e-01 5.287704912586588257e-02
3.751902086050181717e-01 3.846299515523979307e-01 5.983456039892764977e-02
3.139079225439730392e-01 4.486345551411682897e-01 -1.225244955984772233e-02
3.591673756420040164e-01 3.987482325834658115e-01 8.185592557230569888e-02
3.652026033691006535e-01 4.143547134904282947e-01 7.985739684323034382e-03
3.801351556032455670e-01 3.831712503633221134e-01 4.166693411296740202e-02
2.908669911358202631e-01 4.422527797220580092e-01 -5.317149549879496284e-03
3.345522659750579941e-01 4.434940499398853930e-01 9.774335710388681875e-02
3.440418033520675212e-01 4.455883724736202645e-01 -1.142757840234887023e-02
3.494207240801482373e-01 3.977097091177430599e-01 6.810793073413234922e-02
4.223619251502359617e-01 3.768532257223641269e-01 4.671711219995344777e-02
3.283594731073189443e-01 4.237694385549387599e-01 5.058267220878764903e-04
3.393931898729221630e-01 4.384972254261377822e-01 4.523547614222911406e-02
3.572345626086766424e-01 3.886089500231880711e-01 3.905963582878313467e-02
3.661855662851621340e-01 4.063810695168205145e-01 -9.416308780736848405e-03
3.495539058892206397e-01 4.308106565500432472e-01 -5.250615811479508732e-02
3.058371093517753825e-01 4.144811050934355534e-01 9.580905854303112257e-02
3.366521585772958014e-01 3.880893345212406143e-01 6.790943912997615683e-02
3.399292775790614951e-01 4.289130343418251501e-01 6.431223554782117269e-02
3.401359765678564906e-01 4.129170329558171648e-01 -2.512165797951426693e-02
3.996307889454704387e-01 3.980482831430314228e-01 1.959431297088798374e-02
2.958798260522519374e-01 4.351612248194766663e-01 -7.488897102796765459e-03
3.388200285159807534e-01 4.372828000529024872e-01 2.246468655801514558e-02
3.204846309508323499e-01 4.139213810240359726e-01 -5.493366810039301829e-02
3.650493034835870509e-01 4.441869330551899697e-01 -2.910551412476347632e-02
3.786860199923330894e-01 3.956748929607342702e-01 -1.198028587352090168e-01
3.753869852373312166e-01 3.900172203546936056e-01 1.187597593543943120e-02
3.853654337312550915e-01 4.234609751249873710e-01 -2.281764254364671007e-02
3.970393113850925193e-01 3.853082299895826957e-01 7.940640515999120019e-02
3.633516631150137122e-01 4.322154625597652844e-01 9.428984586647337629e-02
3.185529499423411792e-01 4.740120257375135537e-01 7.283043477234185659e-03
2.945665027326093699e-01 4.304853284408476366e-01 2.289501578913744062e-02
4.005018172195511372e-01 3.924302222647164662e-01 -1.402680489250263118e-01
3.915544768515841212e-01 4.203118074450539199e-01 4.318721906801892274e-02
3.899959556736513067e-01 3.768692724541949368e-01 4.378468906269361582e-03
3.779766771734074382e-01 4.166510032827341337e-01 -1.764198729493671181e-02
3.826647803787364688e-01 4.006542938388050201e-01 4.913516064734735345e-02
3.574061670743345909e-01 3.872136317056552035e-01 7.233522914650714064e-02
3.101917497989193362e-01 4.006223230176449990e-01 -3.131423698021440494e-02
3.165083573494606450e-01 3.945462994321269345e-01 8.525185042825111914e-02
3.427020808511421213e-01 3.818535626227401725e-01 -7.404658718798651229e-02
3.069674975704717035e-01 4.021397218455530220e-01 5.719835963546637814e-03
3.686342205069729761e-01 4.244778305001335461e-01 4.724494744387319756e-02
3.732202018201871696e-01 4.247095919305959866e-01 8.350493947753445667e-03
3.706872549840529718e-01 4.098884503886163766e-01 -9.138919256349564701e-02
3.978506214530744822e-01 4.174947832867913489e-01 9.303870320906337810e-02
3.628500505125304421e-01 4.363416158225069119e-01 1.030825111643793868e-01
3.583120764855245999e-01 4.116442126803398494e-01 6.131668523242228552e-02
3.607346650118664622e-01 4.268214937185462743e-01 5.442731331335837197e-02
3.334038759451291578e-01 4.123443738971696026e-01 1.118251957412423891e-01
3.602772796235190200e-01 4.164616467438663761e-01 1.051627854243619709e-03
3.461871451938390298e-01 4.210120569893648912e-01 2.084856200046503183e-02
3.921665680574244472e-01 4.114253265352007527e-01 -4.934119629940780793e-02
3.166742820013560000e-01 3.973007000673910438e-01 4.641799194558715591e-02
4.146704693450861123e-01 4.138871899054267223e-01 -5.590404124254078067e-02
3.622264640907688071e-01 4.246146250312228254e-01 2.833823192000695101e-02
3.896055983233028819e-01 3.803366174161439961e-01 5.271017996197358002e-02
3.642672169069181565e-01 3.918010341276469966e-01 1.001643101551772386e-01
2.975793031972955860e-01 4.746397119253375485e-01 -8.442064102506097178e-02
3.426361696370497922e-01 4.662633980190664662e-01 -1.000508497537400121e-02
3.759921980943381481e-01 3.917499907362179123e-01 5.195698736006737484e-02
3.371429065824322335e-01 4.168226908179671897e-01 -1.931471027969078325e-02
3.663737062669812916e-01 4.525422568223219644e-01 1.017731340918199834e-01
3.729282500168038528e-01 4.344804006843887567e-01 1.220206842780502399e-02
3.848911873086552360e-01 4.178297841128379986e-01 6.133838342594644111e-02
3.591065570512917415e-01 3.994745941719324844e-01 6.611519797625664552e-02
3.093225741593242373e-01 4.052398023723414178e-01 3.168040583389708509e-02
3.217643534683502504e-01 4.214531516451247017e-01 -5.211092887746782143e-02
3.853176101915603002e-01 3.988105335233650406e-01 1.224514225560846548e-02
3.641934330599592706e-01 4.009317391072809711e-01 2.755435406588824243e-02
4.027974833803598109e-01 3.992682037528950123e-01 3.073152194010830840e-04
3.312044674276846679e-01 3.815551162501252258e-01 6.985405291272961392e-02
2.955863620923582791e-01 4.181557348143272179e-01 -1.344600363767067819e-02
3.899884670340310611e-01 4.032688278184392572e-01 -6.087702840416653327e-02
3.549293862064692440e-01 3.858972538194615498e-01 -1.058969884086505830e-01
3.302984556095028834e-01 4.043949176611004726e-01 4.892742957561058148e-02
4.199476586265387112e-01 3.983504323234781097e-01 -6.238948733730487195e-02
3.661642357871990328e-01 4.286819907093082360e-01 2.090235179370236729e-02
3.769361334031511301e-01 3.905800103231810705e-01 4.987644622667430916e-02
3.312943077918592549e-01 4.115811252487098226e-01 -2.534354859883036770e-02
3.201244236207170246e-01 3.948294894322167403e-01 4.673613797929587754e-02
3.107028651157945909e-01 4.244659519684310101e-01 4.685255010174094181e-02
3.348339799508706083e-01 4.053314897002540107e-01 -5.631688428975556437e-02
3.523798100208473949e-01 4.075645974632683410e-01 -5.446286277358258765e-02
3.077796980822843920e-01 3.948058185995189651e-01 9.228394132259687410e-02
3.707293166494620706e-01 4.418215420967355200e-01 -4.547239509284073389e-02
3.014200437560466961e-01 4.070193944236402128e-01 7.188567799179668150e-02
3.523002085681843920e-01 4.025912476076414781e-01 6.506185381108964272e-02
3.391599857711964372e-01 3.804069510348632166e-01 6.246091881469517659e-03
3.827903584111862489e-01 3.970172327455219197e-01 1.126989179870654390e-01
3.212986963275986096e-01 4.275373774557907902e-01 3.315117348549745380e-02
4.072881362911573433e-01 3.826066378087444875e-01 -6.728911119793234974e-03
3.371178547452192142e-01 4.258567089489255775e-01 9.983948492680028153e-02
3.407471028655498779e-01 4.263659659844626360e-01 -7.191000653470336346e-03
3.441902471569038280e-01 4.021465540672833350e-01 9.713296585975084163e-02
3.507053288073334607e-01 4.324883715810300955e-01 1.780117905853417781e-02
3.805006816492554345e-01 4.127248701581486268e-01 6.572973007624138830e-02
3.613762595897412888e-01 4.228469385806389313e-01 3.521679979052927401e-02
3.825176974130424790e-01 4.023573897548186062e-01 2.670102088076320435e-02
3.260970919122186396e-01 4.345095112440977569e-01 9.075395872122027363e-02
3.601509428858654105e-01 4.132989498141909079e-01 -9.588810325450469740e-02
3.910860076995158474e-01 4.131798306845715918e-01 -1.763641346120692344e-02
3.529855121806252383e-01 3.985668179402098721e-01 6.520880685268282129e-02
3.890884616162395560e-01 3.946709016843220064e-01 -3.921190976983845999e-02
3.313675566669429529e-01 4.313814627603279050e-01 1.290772957380317276e-01
3.417255783679084002e-01 3.851755858077814954e-01 3.195234046008188500e-02
3.314448848856814678e-01 4.145542588124817573e-01 -2.783350987128185849e-02
3.566964945819802724e-01 4.068148578329402465e-01 1.856938855621992346e-03
3.727480059985424088e-01 4.015725022958350210e-01 3.987841727494267907e-02
3.619710369007411166e-01 4.037019175436419305e-01 4.177282676544957774e-02
4.053598894436377109e-01 4.038254634680770727e-01 6.853725109051422848e-02
3.487263467239015147e-01 3.957598494665451883e-01 -3.989385907532472242e-02
3.656462390594413803e-01 3.780341228784749874e-01 4.062796318630468306e-02
3.171961296986436918e-01 4.017811727700072444e-01 -2.223687417121977816e-02
3.476738509606134286e-01 4.109739502950321977e-01 1.895227110518238334e-02
3.161868117528534028e-01 3.797607976244455896e-01 -3.007349451230911797e-02
3.707369127559575483e-01 3.943901157522793910e-01 -8.187964757262244930e-03
3.837363497914109134e-01 3.887224536990891433e-01 3.790250987609367073e-02
3.378051740913439183e-01 4.569947737886817518e-01 -5.756724581538441576e-02
3.823774261486069803e-01 4.485479578511429866e-01 1.313803035279195175e-01
3.430908731960124469e-01 4.214377446855238629e-01 7.278887844853487721e-02
4.078975699595518423e-01 4.356450781902073688e-01 -3.302524473117851578e-03
3.197442395722921993e-01 4.240566058890516965e-01 -1.121753566550631742e-02
3.313727050785958417e-01 4.084730675768494246e-01 -1.792322946657753935e-02
3.652431570802184280e-01 4.279057315670078965e-01 1.460354212611072455e-01
4.075242674322518965e-01 4.131369113307367669e-01 4.363557495141123788e-02
4.264979920739451758e-01 3.776987712059057256e-01 -2.030683930492060973e-02
3.484195318649589423e-01 4.153100989133663434e-01 -1.497191154066968011e-02
3.946767784004198143e-01 3.801732177904906251e-01 -3.156339371367999913e-02
4.077002650041818277e-01 3.973329623454607828e-01 -3.082026672038618020e-02
3.053277172906052050e-01 4.334231015509571461e-01 2.636164075243585536e-02
3.075322995071777532e-01 4.598741708752210888e-01 7.530173663905781467e-02
3.451973327491107968e-01 4.142348094214853838e-01 1.893731546983334901e-02
3.712995584934309368e-01 4.060313023577346581e-01 5.049778865065857048e-02
3.346144455299243647e-01 4.194133747983251892e-01 1.096072715962348454e-03
3.913802132729663485e-01 3.906280834558678583e-01 -6.247788552880106927e-03
3.896380590385495890e-01 4.123021418924676107e-01 9.707071665131983274e-02
3.700517048135961162e-01 4.085703938683366010e-01 1.105536102998150305e-01
3.605135989651947481e-01 4.408195124270943843e-01 1.790176195317250141e-02
3.410314068547926070e-01 3.856095245813706551e-01 -1.065475621412936835e-02
3.330595095723232202e-01 4.154699659215187468e-01 7.312330529303023852e-03
3.473096122075924330e-01 4.205335671918589702e-01 -9.819003307708129569e-02
3.637228635141706579e-01 4.395956379113935553e-01 1.392939011075262634e-01
2.883817158910252920e-01 4.202251697860677204e-01 -1.035662428325356821e-02
2.989379682038181274e-01 4.083578210607227699e-01 2.717939048251083456e-02
3.530231030647271728e-01 3.995959829505638661e-01 2.858236208445497084e-02
3.784866058634557828e-01 3.913954975733923147e-01 2.727804998512350920e-02
4.100948378234773872e-01 4.050097276121902845e-01 -8.289671618595284563e-03
3.662115707202079906e-01 4.530961802523348902e-01 8.863347643494945416e-03
3.298965835874591579e-01 4.247132209856501750e-01 9.298618137923919669e-02
3.269065340382981133e-01 4.137840398318854418e-01 4.436160846725578644e-02
3.314806261911987795e-01 4.509897283763650289e-01 2.492043707674085340e-03
3.056473929149717272e-01 4.097623422765620527e-01 2.829417477337958786e-02
2.998407327950390888e-01 4.176845430755031785e-01 5.836927508537526066e-02
3.607346650118664622e-01 4.268214937185462743e-01 5.442731331335837197e-02
3.397154756118050956e-01 4.168857412095582915e-01 3.564133074563380355e-02
3.551991293938283056e-01 3.905510313004922907e-01 -5.003964041523656370e-02
3.632844729449997700e-01 4.234355693063663884e-01 4.111049982771963762e-02
3.665482692670650189e-01 3.798108491974666601e-01 -9.719802641248098674e-02
3.514534365422661288e-01 4.280138074195449782e-01 1.049048894578659130e-01
3.088305775924296004e-01 3.977423709746785718e-01 2.390278640073284500e-02
3.693065483260452586e-01 4.092014876150912306e-01 1.394645930610005635e-03
3.946814854689335017e-01 4.160402706832168063e-01 6.116685769401164485e-02
3.435172677111086315e-01 4.113234830167912248e-01 1.285573489889284549e-01
3.344248719552939120e-01 4.016174840042801564e-01 1.285389867285458010e-02
3.946810780504416138e-01 4.005308420076375553e-01 4.093943658513010675e-02
3.497462238033272053e-01 4.484220881198963116e-01 5.114001652288102662e-02
3.170233212068522266e-01 3.914433054801421674e-01 -2.975955067015889632e-02
3.479532762563850579e-01 4.427665375681650861e-01 -2.632966497644761983e-02
3.542881998471016369e-01 4.069853962582743456e-01 -1.437473266422473195e-02
3.288377562476529903e-01 4.426145800700947430e-01 -2.079278497266967562e-02
3.953708154464631308e-01 3.914262311964636920e-01 1.919724409526590847e-02
3.673096977177198741e-01 4.031618320572214476e-01 1.480335139469342032e-01
4.066223350800013403e-01 3.906463866901661586e-01 2.641952622166310327e-02
3.266606228637666809e-01 4.138457481012164374e-01 5.776314703013873952e-03
3.152155935638242812e-01 4.251895335768474671e-01 -3.630323773334498405e-03
3.091267139821139986e-01 4.166193686232523286e-01 4.466955880906287035e-03
3.657938917385397670e-01 3.935716722284673952e-01 -5.212524964984732723e-02
4.080176471793469095e-01 3.946710550565823428e-01 3.921779316915241509e-02
2.732522775739517629e-01 3.926223674748751113e-01 2.994491598855719694e-02
3.118404151407335734e-01 4.482807776863192428e-01 -3.869582592774811758e-02
3.984496965695005777e-01 3.880231361136318724e-01 3.793696346404207276e-02
3.341114237887354843e-01 4.132121531476166121e-01 2.789471594297765478e-04
4.026922445698038477e-01 4.079194215281373714e-01 -1.772912952038463441e-02
3.444168527421208603e-01 4.333523004718031757e-01 7.265565155935993502e-02
3.181578276692482721e-01 4.314548438923261342e-01 2.918649851955246177e-02
3.345072049181334051e-01 4.338212143642490304e-01 7.703452246440045670e-02
3.572345626086766424e-01 3.886089500231880711e-01 3.905963582878313467e-02
3.371033195062692056e-01 3.985780070818781828e-01 -1.619315861315506755e-02
3.478555401169735606e-01 3.989877319420181978e-01 7.387461726986166433e-02
3.563224941537809221e-01 4.176156900186682730e-01 6.772145082553437945e-02
3.217486010100917282e-01 4.650024930749665497e-01 3.624023991442659742e-02
3.772696543820244219e-01 4.106406370834798092e-01 4.854769480013598759e-02
3.545659623019352669e-01 4.382392848636130767e-01 9.203179940879624432e-02
3.867758816637811292e-01 4.029968832229882669e-01 1.541900078609770297e-02
3.978506214530744822e-01 4.174947832867913489e-01 9.303870320906337810e-02
4.060744894498755642e-01 3.935907962540308169e-01 5.763632086603576177e-02
3.946814854689335017e-01 4.160402706832168063e-01 6.116685769401164485e-02
3.712604004666539836e-01 3.960588494905983303e-01 7.762337246600137242e-02
3.177621379881794828e-01 4.082911151017988294e-01 5.220822624467991169e-02
3.742291843225907799e-01 4.065526887497232789e-01 1.792792702611731848e-01
3.319529598834028428e-01 4.214287880159157673e-01 9.077030232373184404e-02
3.778185701921542572e-01 3.965386507224318846e-01 1.157130357928148889e-02
3.179249663150341965e-01 4.077167236782196502e-01 4.447351693553036611e-03
3.675270684861415837e-01 3.993903864987565777e-01 -3.711790441095852433e-02
3.799414065208160940e-01 3.936794400851827413e-01 5.414296667618723191e-03
3.618681726101531937e-01 4.262688154118954853e-01 1.021327537327598733e-01
3.366548292306948409e-01 4.249008170981250498e-01 -3.934431525084103320e-03
3.587458861791836817e-01 3.878903433423132041e-01 6.486538790180085279e-02
3.987497355816588818e-01 3.815808460241344457e-01 9.130039058379280092e-03
3.056037664874909909e-01 4.254713620831501730e-01 2.817894784428420785e-02
3.799414065208160940e-01 3.936794400851827413e-01 5.414296667618723191e-03
3.525039386438462707e-01 4.159334936675956884e-01 7.411760444323145514e-02
3.487804058376051120e-01 4.071107311890711511e-01 1.748746214094265561e-02
3.382237890210419984e-01 4.247674520848834789e-01 3.667921745321112148e-02
4.007194108548697287e-01 4.051892391239351188e-01 -2.519492184026328463e-02
4.246473453082814098e-01 3.741504198453862728e-01 5.887496249738388698e-02
3.741710312135290706e-01 4.035887144442387720e-01 1.912622723229002730e-01
3.319799972062920101e-01 4.289057874626890365e-01 -2.257397332638122478e-02
3.218169148611711994e-01 4.083605730478931384e-01 -3.627744293327106462e-02
3.153180193976498624e-01 4.365730085561946860e-01 9.345588811319638367e-03
3.598890777940935704e-01 4.082580349990677093e-01 -2.043899134772086956e-02
3.457432877543318850e-01 4.008620401079412976e-01 5.393254684239745522e-02
3.166773953829726262e-01 4.320154339881055461e-01 -6.895315864236417625e-02
3.376582480207847570e-01 4.283358838044027395e-01 -1.265600934531774246e-02
4.220373374323150295e-01 4.203550780932545639e-01 -9.264429510644434096e-03
3.444501245561001901e-01 4.883423996637042963e-01 -9.215012947133760512e-02
3.448291563298389595e-01 4.398494921750947251e-01 -1.297704260319543224e-02
3.441503930255305210e-01 3.943774109774063064e-01 9.957577818825580351e-02
3.482711636690117296e-01 3.912066435649292351e-01 1.759660697159937115e-02
4.145834915792510622e-01 3.886796970379414184e-01 1.901617542853450971e-02
3.746516288232760172e-01 4.153407278990211560e-01 5.081318493139019843e-02
3.627184607768629832e-01 4.015150905037087048e-01 1.543211282382670468e-01
3.791096434122909753e-01 4.104535783940605476e-01 2.151142729895116901e-02
4.072881362911573433e-01 3.826066378087444875e-01 -6.728911119793234974e-03
3.396598403014044476e-01 4.113151345111477619e-01 3.571320312715342560e-02
3.282580996863349032e-01 4.341951129619698868e-01 4.545842049043313793e-02
3.861998365612946404e-01 4.201024519298051652e-01 7.376668825732024537e-02
4.001328965720922226e-01 3.768774550252541600e-01 -8.763211761987099724e-02
3.473173655268079196e-01 4.001571920633669732e-01 6.117435996027098533e-02
4.039657966835031311e-01 4.128688572959531844e-01 5.468816935068665508e-02
3.474713901569496666e-01 3.959652888761626688e-01 -1.410166409254798303e-02
3.622570700601861482e-01 4.204704035136187512e-01 4.650543609803969858e-02
3.161323073715858190e-01 3.912894144051602963e-01 -2.527328894668112724e-04
3.492615566555867246e-01 3.752420641336101648e-01 5.520042416113546402e-02
3.442720941442696803e-01 4.096451641220147932e-01 -4.234956137677359234e-02
3.409490313942686313e-01 4.388737350490467537e-01 -2.562632466670111686e-02
3.682573051626240046e-01 4.144684677159817809e-01 2.497933041875799454e-02
3.706872549840529718e-01 4.098884503886163766e-01 -9.138919256349564701e-02
3.376174554029342523e-01 4.212409049850407983e-01 3.553857056840814543e-02
3.523111658815848979e-01 3.878930634607783423e-01 4.923019565960440325e-02
3.519156564567288425e-01 4.594633475998215477e-01 -1.856209709325629120e-02
3.122214774561542505e-01 4.455555910857251223e-01 6.819268031987535394e-02
3.844914249654527993e-01 3.981327198583523019e-01 5.473716176596310490e-03
3.520500564473438843e-01 4.240037758596657547e-01 -6.011365516108257978e-02
4.141652078970696760e-01 3.928654705651379864e-01 3.287991415344171386e-02
3.093225741593242373e-01 4.052398023723414178e-01 3.168040583389708509e-02
3.697957604088359940e-01 3.985486241037861643e-01 1.069654293988642202e-02
3.531769918270271646e-01 4.085784466215682809e-01 -1.186407530118565035e-01
3.939030841520332893e-01 3.796132399168306581e-01 -9.197335030544739887e-02
3.392637447290675068e-01 4.200796574147303009e-01 2.930401452333608603e-02
3.771261633598370078e-01 4.291412366225604846e-01 7.549084825084273476e-02
3.588831974357224452e-01 4.228378314902253576e-01 -6.892210845937207786e-02
3.567587192786493833e-01 4.167284959780575004e-01 8.510663936344586844e-03
4.053997518618612794e-01 3.849011840795855122e-01 3.867892739635259147e-02
4.070277672908781397e-01 4.377017559682070402e-01 2.820416004358272666e-02
3.916280212248947068e-01 4.180075582314960458e-01 4.817257692481202724e-02
3.873128213985592150e-01 4.057342348233534124e-01 -7.551025722683735175e-03
3.731127928655005310e-01 4.137247654436698174e-01 -1.798126607577832381e-03
3.697938380723264640e-01 4.078999276058247747e-01 -7.058103414682115329e-02
3.629482674817937071e-01 4.081987599937583755e-01 2.841176906395559421e-02
3.992420367194411956e-01 3.837809916568347135e-01 2.974740713923518243e-02
3.452418598058096810e-01 3.951012953206300971e-01 1.181004302047061749e-02
4.026922445698038477e-01 4.079194215281373714e-01 -1.772912952038463441e-02
3.652431570802184280e-01 4.279057315670078965e-01 1.460354212611072455e-01
3.712964694988116765e-01 3.838951169835417288e-01 9.559542710000390464e-02
3.567461332544955566e-01 3.949236863525251162e-01 -9.675166967943571450e-03
4.056064910268801782e-01 3.977245372270429291e-01 3.008896417182671534e-02
3.929395126482422840e-01 4.034942929424825686e-01 5.521826632087600828e-02
3.379706458569950445e-01 4.621010616107411595e-01 -4.578932923895973062e-02
3.394621118802717552e-01 4.170818869439880672e-01 -5.998977075174649620e-02
3.131938986388214663e-01 4.373813654706558696e-01 -4.195244435568112884e-02
3.596178326989092344e-01 3.979529915470950141e-01 4.289190132297227009e-03
3.578426622131036794e-01 4.102104795278380678e-01 1.927708895508906117e-02
3.814294413205083778e-01 3.910595244965080486e-01 8.561126102666127835e-03
3.579386674804858615e-01 4.045013114005482913e-01 1.496861878689386138e-01
3.482711636690117296e-01 3.912066435649292351e-01 1.759660697159937115e-02
4.046707809910791154e-01 3.929600242068180815e-01 -3.209729207363354320e-02
3.461660352740507651e-01 4.392200231566683044e-01 6.979911050258835736e-02
3.421458705952032942e-01 4.080076708414170916e-01 4.055078645569909490e-02
4.286449514386154735e-01 4.053879312192965600e-01 7.936663865444915089e-02
3.182911101978265767e-01 4.030696825110774983e-01 -6.446304447701223239e-03
3.522514152521671882e-01 3.842300997729147238e-01 5.289218877939694252e-02
3.633516631150137122e-01 4.322154625597652844e-01 9.428984586647337629e-02
3.441312793332996223e-01 3.981862171932565864e-01 2.422254545465740705e-03
4.052128132947474537e-01 3.908220740260214821e-01 -3.944960215020998362e-03
3.145449567064598773e-01 4.315505371551287550e-01 1.747166654022658250e-02
3.815563367632618386e-01 4.070653590057183302e-01 -5.881661427643514184e-02
3.162533497521964887e-01 4.117501006956229004e-01 7.695814103261477968e-03
3.408915399923200251e-01 4.005391020591121398e-01 2.979478346640052067e-02
3.727375793008415039e-01 3.692731673514026425e-01 -1.351181475598672854e-02
3.281101714298861882e-01 4.057834558502168565e-01 6.665869943010171994e-02
3.212520071012637257e-01 4.043460870145645369e-01 5.986534789137798462e-02
3.287413513255785236e-01 4.239884192057547518e-01 -6.850050075032465546e-02
3.490060774509411434e-01 4.458387468390941910e-01 9.139706496743160713e-02
3.473096122075924330e-01 4.205335671918589702e-01 -9.819003307708129569e-02
3.523338040639482083e-01 4.086078199828172552e-01 4.847186004760906108e-02
3.841164270836251449e-01 4.186850352064145353e-01 1.457367436618381973e-01
3.627877923170582108e-01 3.966889274519650455e-01 -1.266939288059654167e-02
3.912578533520522095e-01 3.926967831077189386e-01 2.674684606175370405e-02
3.633906413024051152e-01 4.104725528052118877e-01 1.002510928872535345e-02
3.494479610418014803e-01 4.016095081343296069e-01 9.533870841627889448e-02
3.642047069121911451e-01 3.849046825550759277e-01 -5.876120241626681118e-02
3.589098096235385782e-01 4.289122746787951135e-01 3.134143930829225155e-03
3.911300361173894458e-01 4.322256041479688449e-01 7.839577396061936376e-02
3.570492713258925366e-01 4.026869583447428291e-01 3.229500363870174695e-02
3.201677697317822369e-01 4.155776842756229161e-01 4.789562486588705426e-02
3.638562943756584733e-01 4.032449197307734767e-01 -9.158783280662818882e-02
3.251198184098190724e-01 4.603133762118888916e-01 2.110889024555628879e-02
3.440418033520675212e-01 4.455883724736202645e-01 -1.142757840234887023e-02
3.339892228650340189e-01 3.975687692831130771e-01 -6.508243613768871505e-02
3.907024972464595014e-01 4.032316561361958263e-01 5.304257298377867968e-02
3.545382697053497401e-01 4.333169181134072789e-01 1.393412623597047872e-01
3.480004615109944521e-01 3.664992275848490966e-01 -3.904200027830029285e-02
3.411816915581880050e-01 3.992814511485245355e-01 -1.013165686572192747e-02
3.551991293938283056e-01 3.905510313004922907e-01 -5.003964041523656370e-02
4.639573604032233289e-01 3.759175972068821148e-01 -7.645632936644164435e-02
3.133418936641100827e-01 4.482773282139654869e-01 -9.202014764956423232e-02
3.124224426909533170e-01 4.573532102690602841e-01 5.168584386714947243e-02
3.307436047293560444e-01 4.158881703697555610e-01 -9.255370389864281400e-02
3.602327255279197393e-01 3.893896645849356242e-01 1.904231720817728402e-02
3.480153548243503647e-01 4.241459384586390158e-01 -2.831505836828185352e-02
3.319558601870116754e-01 4.010383999005355804e-01 3.905576378977859697e-02
3.176813982808264769e-01 4.142158167396645108e-01 2.631836449043389869e-02
3.401966649558643141e-01 4.251189707427964759e-01 -6.985774650492437843e-02
3.671057834071599357e-01 4.107163523487141754e-01 4.743202773894661384e-02
3.317453773424615671e-01 4.098877282912278819e-01 6.114279686060530850e-02
3.759921980943381481e-01 3.917499907362179123e-01 5.195698736006737484e-02
3.316002626380978313e-01 4.235589712854551103e-01 -1.722271399330699282e-02
3.075676777323632649e-01 4.300561019744019720e-01 5.849341249433792633e-02
3.428438285572584787e-01 3.932423083488967297e-01 2.017049450603369820e-02
3.519776073485977874e-01 4.333244637316689962e-01 4.723265777845231383e-02
3.546881403458455040e-01 4.113373145006612996e-01 3.932895606272523992e-03
3.457888843228031361e-01 4.168100500997540259e-01 -4.930817650235930216e-02
3.770097204646362665e-01 4.126760242189592143e-01 7.394991602931666463e-03
3.639947383272144621e-01 4.036465647535930068e-01 1.588217856499247738e-01
3.689578823708579702e-01 4.252944597212699462e-01 2.822688784824589625e-02
3.337461602630053537e-01 4.447522462507903507e-01 -4.175283161371245999e-02
3.158593676151098539e-01 3.983269264987475688e-01 9.165547792842865249e-02
4.397484016064797663e-01 3.720669103562356250e-01 -1.048746117252674637e-02
4.088077115551130847e-01 3.912839306616808233e-01 9.915094022180959143e-02
3.725361844366583686e-01 3.927085072196396243e-01 7.018535922081570178e-03
3.986925143795628790e-01 4.223151102831064208e-01 6.417824185367293488e-02
3.456248593534995139e-01 3.951899846933319971e-01 -9.804164317113950311e-03
4.037677373117355972e-01 3.999442421604960107e-01 -2.004476158424106647e-02
3.345522659750579941e-01 4.434940499398853930e-01 9.774335710388681875e-02
3.846112342844925647e-01 3.847497679401400972e-01 -2.707508963266824775e-02
3.057752331342646346e-01 4.013400460795971125e-01 -1.901042610625547358e-02
4.309883441681012783e-01 3.916973819646855093e-01 4.045639698990743938e-02
3.127908861176273425e-01 4.210998894361571709e-01 1.784122783387465105e-02
3.837876929221256117e-01 4.562101206270321452e-01 5.098402139310787007e-02
4.440496824086331840e-01 4.055994566081516095e-01 1.333653727812715850e-01
3.295536528950857580e-01 4.595024946104536712e-01 -9.616473456019447585e-02
