weight logl sigma l k
0.000000000000000000e+00 -1.015272062130342420e+04 3.665954304345087067e-02 1.137993120364848565e+00 8.984853426481083094e-01
0.000000000000000000e+00 -9.986720185762902474e+03 8.387936119984851224e-02 4.721730993014874755e+00 -9.587167322997045549e-01
0.000000000000000000e+00 -9.856129860105942498e+03 7.197216978881015859e-02 1.996457604427339660e+01 -8.035304106935847734e-01
0.000000000000000000e+00 -9.832286913919611834e+03 2.494910177473830259e-03 1.083835303402924310e+01 8.694348861632628100e-02
0.000000000000000000e+00 -9.546421228403060013e+03 2.309605918076829134e-03 8.236087273109116147e-01 9.801358728779696605e-02
0.000000000000000000e+00 -9.342015483641280298e+03 4.643689198110168004e-02 4.098009725445810325e+00 8.657431264680157668e-01
0.000000000000000000e+00 -9.319240659526316449e+03 4.638105578308504562e-02 7.738783154885187088e-01 -7.396268537933592402e-01
0.000000000000000000e+00 -9.265918253717894913e+03 4.953644934984580139e-02 1.901137108103846884e+01 -4.739102462722615261e-01
0.000000000000000000e+00 -9.241361206681596741e+03 3.288407036513951720e-02 8.429721851014193135e+00 7.614278105392497942e-01
0.000000000000000000e+00 -8.775277319216109390e+03 2.217689808919998118e-02 1.665120131451791607e+01 -5.430633553555153092e-02
0.000000000000000000e+00 -8.646683280061448386e+03 8.953487022256889638e-02 4.103937749147894110e+00 -9.367666187099850106e-01
0.000000000000000000e+00 -8.571496547646307590e+03 1.144811461320749402e-02 6.115014118821433087e+00 5.888511726700933480e-01
0.000000000000000000e+00 -7.785619444409228890e+03 9.258211679544225969e-02 1.783808441477103912e+01 -9.077819756127467610e-01
0.000000000000000000e+00 -7.704888174371838431e+03 1.147107730175567220e-02 1.949865473618265099e+01 1.443889212543207901e-01
0.000000000000000000e+00 -7.380413857259378346e+03 7.886404508901789789e-02 1.519953201978062296e+01 -7.271815460111310525e-01
0.000000000000000000e+00 -7.256096661124475759e+03 3.921515349497839420e-02 2.106131648353406494e+00 -2.258744593027997016e-01
0.000000000000000000e+00 -7.135155294330746983e+03 1.052157490197321854e-01 1.543451534109836132e+01 -9.868745881537390741e-01
0.000000000000000000e+00 -6.983421271057657577e+03 7.011497123524668140e-04 1.611848512708809977e+01 3.772245137720404706e-01
