weight logl k
0.000000000000000000e+00 -2.030849990929466148e+05 -1.837969791735544423e+00
0.000000000000000000e+00 -2.030149661285524489e+05 -1.837578168638614340e+00
0.000000000000000000e+00 -2.029739488874461385e+05 -1.837348768471201321e+00
0.000000000000000000e+00 -2.026336836255870585e+05 -1.835444815478753711e+00
0.000000000000000000e+00 -2.024285667735176394e+05 -1.834296285067907650e+00
0.000000000000000000e+00 -2.022830657194455562e+05 -1.833481201699434404e+00
0.000000000000000000e+00 -2.010261499281416764e+05 -1.826427398700112725e+00
0.000000000000000000e+00 -2.009125751720494300e+05 -1.825788894089010128e+00
0.000000000000000000e+00 -2.005265211964727205e+05 -1.823617142737449015e+00
0.000000000000000000e+00 -1.989262367149953498e+05 -1.814591542478470654e+00
0.000000000000000000e+00 -1.980028400820183451e+05 -1.809366465126917678e+00
0.000000000000000000e+00 -1.979136237825434073e+05 -1.808860962739343936e+00
0.000000000000000000e+00 -1.975481376312583743e+05 -1.806788872724779171e+00
0.000000000000000000e+00 -1.973822226237592986e+05 -1.805847577227176259e+00
0.000000000000000000e+00 -1.973154146733141388e+05 -1.805468435896691926e+00
0.000000000000000000e+00 -1.970260885415046650e+05 -1.803825714677005809e+00
0.000000000000000000e+00 -1.966612853332557424e+05 -1.801752670345133200e+00
0.000000000000000000e+00 -1.958918554092062986e+05 -1.797373733088569292e+00
0.000000000000000000e+00 -1.950850984413799015e+05 -1.792772775137601471e+00
0.000000000000000000e+00 -1.947932358105462044e+05 -1.791105844778066114e+00
0.000000000000000000e+00 -1.946558286522377748e+05 -1.790320615679133809e+00
0.000000000000000000e+00 -1.943414600102567638e+05 -1.788523037947285399e+00
0.000000000000000000e+00 -1.938045170663800091e+05 -1.785449276856676537e+00
0.000000000000000000e+00 -1.928002735272464342e+05 -1.779688547674983301e+00
0.000000000000000000e+00 -1.924094742734624015e+05 -1.777442566106201216e+00
0.000000000000000000e+00 -1.915021363473489764e+05 -1.772218816405394026e+00
0.000000000000000000e+00 -1.911344497798140510e+05 -1.770098305972219954e+00
0.000000000000000000e+00 -1.910117615594324889e+05 -1.769390271397883296e+00
0.000000000000000000e+00 -1.909618028027310502e+05 -1.769101891453013220e+00
0.000000000000000000e+00 -1.908833868789347762e+05 -1.768649167521260335e+00
0.000000000000000000e+00 -1.890916019980106794e+05 -1.758278111272097988e+00
0.000000000000000000e+00 -1.870472170524666144e+05 -1.746382467120919380e+00
0.000000000000000000e+00 -1.869891211382432666e+05 -1.746043440899889276e+00
0.000000000000000000e+00 -1.862238012269851170e+05 -1.741572200148188365e+00
0.000000000000000000e+00 -1.848590813317445572e+05 -1.733575324763522385e+00
0.000000000000000000e+00 -1.848498861173300538e+05 -1.733521339549884299e+00
0.000000000000000000e+00 -1.844125911568496085e+05 -1.730952362622763196e+00
0.000000000000000000e+00 -1.834142095118204597e+05 -1.725075279824534569e+00
0.000000000000000000e+00 -1.833063107839237200e+05 -1.724439127690262641e+00
0.000000000000000000e+00 -1.824029777021672053e+05 -1.719105579085653090e+00
0.000000000000000000e+00 -1.823759102406293387e+05 -1.718945553067942278e+00
0.000000000000000000e+00 -1.817961070007590461e+05 -1.715514718415365181e+00
0.000000000000000000e+00 -1.813011728880263108e+05 -1.712581571229805366e+00
0.000000000000000000e+00 -1.809314212167122168e+05 -1.710387579503062305e+00
0.000000000000000000e+00 -1.799434711117952538e+05 -1.704513925740860358e+00
0.000000000000000000e+00 -1.790821746366150328e+05 -1.699379564555599575e+00
0.000000000000000000e+00 -1.788917540695678035e+05 -1.698242696470304125e+00
0.000000000000000000e+00 -1.785115889240490505e+05 -1.695971111423167255e+00
0.000000000000000000e+00 -1.784309762101619563e+05 -1.695489106261583334e+00
0.000000000000000000e+00 -1.737329519379340345e+05 -1.667199928306813295e+00
0.000000000000000000e+00 -1.732447895708502037e+05 -1.664237728329860833e+00
0.000000000000000000e+00 -1.725284860400468751e+05 -1.659883270910697650e+00
0.000000000000000000e+00 -1.717540548149141832e+05 -1.655164840548287497e+00
0.000000000000000000e+00 -1.703750830770787725e+05 -1.646735553588632772e+00
0.000000000000000000e+00 -1.690367044118583435e+05 -1.638520321744712405e+00
0.000000000000000000e+00 -1.689407762344781368e+05 -1.637930195229739816e+00
0.000000000000000000e+00 -1.689110050327593344e+05 -1.637747014600826390e+00
0.000000000000000000e+00 -1.689029038888380164e+05 -1.637697165776751618e+00
0.000000000000000000e+00 -1.686894394911455747e+05 -1.636383204258950119e+00
0.000000000000000000e+00 -1.684925119796679937e+05 -1.635170264883052837e+00
0.000000000000000000e+00 -1.678923087693872803e+05 -1.631468853732689794e+00
0.000000000000000000e+00 -1.671465556577782554e+05 -1.626860216853313723e+00
0.000000000000000000e+00 -1.649171497028258455e+05 -1.613018490191443721e+00
0.000000000000000000e+00 -1.642045740047370782e+05 -1.608573741750603414e+00
0.000000000000000000e+00 -1.641856953662967135e+05 -1.608455847917872994e+00
