sigma l a b
1.738223235106783060e-01 6.724407012721753674e-01 7.589074388903396806e-03 -7.477950356119755781e-03
2.010516723814479711e-01 6.538537996002491415e-01 8.190682275218671982e-03 -2.617508981697436177e-02
1.866547173851358654e-01 6.231338250900255726e-01 7.159102518261538373e-03 -2.448883447109029277e-02
1.859466892291214424e-01 6.399215138953047166e-01 8.032998175196093271e-03 6.495604839109159201e-03
1.831267692706534389e-01 6.457225219445892339e-01 7.744281119563899141e-03 3.368465933785991240e-02
2.250081355929779703e-01 6.432518149310435529e-01 7.200631665806332682e-03 -5.506723938159652221e-03
2.111288244995027652e-01 6.287407288366829716e-01 7.275499072073442208e-03 -4.362534463846268196e-03
1.934658974148960320e-01 6.506808764282656643e-01 6.870302192146647557e-03 2.826314203699364924e-02
1.801810467599738730e-01 6.303075590371060022e-01 7.522419830550741704e-03 -2.192505525161392299e-02
1.747177097537838397e-01 6.614534806638788789e-01 7.595063800139981169e-03 1.972899148198248298e-02
1.816917577432050068e-01 6.547169633261331612e-01 7.669539348025181114e-03 -2.183211002967855308e-02
1.846399811023237414e-01 5.270583935090268346e-01 6.061682202322747626e-03 -3.644278613401330524e-02
1.767418257479928811e-01 5.810546245219081474e-01 8.025563957160350426e-03 1.005487560014373116e-02
2.132674041547144017e-01 5.901845922470078110e-01 7.490238930003820239e-03 -8.822497233416104478e-04
1.766579549212766165e-01 6.528161246421275710e-01 7.541810639649579318e-03 8.797543405278496209e-03
2.015708745420845549e-01 6.047699348981495637e-01 7.361102686833188857e-03 4.411068331200906911e-02
1.831403568482812272e-01 5.172796127631126284e-01 7.398994086592482200e-03 -1.719382724987283950e-02
1.924637966489084473e-01 6.014569096181274777e-01 7.994491494979036328e-03 -1.851023671798346371e-03
1.947177935306809993e-01 6.077882398266122310e-01 7.022823758652194104e-03 -7.751602437906512932e-03
1.911545319325978209e-01 6.369203997060518541e-01 7.438849195804210501e-03 -3.809671379777368472e-02
1.817985660300552586e-01 6.686221444313923401e-01 7.547885447088654998e-03 4.704169048687267818e-02
1.951573221570069017e-01 5.676158159780839707e-01 7.606809028572636411e-03 3.607955682801256003e-02
2.176012488649336496e-01 5.820774344911413545e-01 7.466125618107367912e-03 4.052062853930493702e-02
2.029678035369924527e-01 6.444384355320252888e-01 7.453016240566170958e-03 8.422329541788009521e-02
1.772341170854224712e-01 6.127881886354107355e-01 7.533124343357712471e-03 -4.283372519720352045e-02
1.862752605874289369e-01 5.811995901333828485e-01 7.314345579054623570e-03 6.343421833893092554e-02
1.791934094586879189e-01 5.675909398622681623e-01 6.883890868021567966e-03 4.328657308452754648e-02
1.785693736647052943e-01 6.058015527382397680e-01 8.103513609699200537e-03 3.783472049910496793e-02
1.956339962328045023e-01 6.331840802537933577e-01 6.359802092541486096e-03 2.275129402080633412e-02
1.779069264430917230e-01 6.124130967960007554e-01 6.226116664760181219e-03 1.938527032783099457e-02
1.903545834567410555e-01 6.346234549695123350e-01 7.413325034127629665e-03 4.287039701608374997e-03
1.849124331566761870e-01 5.832243826904690565e-01 7.369406144441370543e-03 1.103583539671548763e-02
1.969089410860084821e-01 6.286228753909275380e-01 7.302167319674902901e-03 4.954345695263207006e-03
1.813851145064973303e-01 6.018033103673283701e-01 7.082829392396142176e-03 -4.131755525030156306e-02
1.868522804596489395e-01 6.784260661137565540e-01 7.342533888667235331e-03 9.832756748264337432e-03
1.776173646765679126e-01 5.751818920462462570e-01 7.803362273755408418e-03 2.961447293948227255e-02
2.063473312206971777e-01 6.685903524659940755e-01 6.758814949889425938e-03 -3.042331068127568372e-03
1.961912603740635641e-01 6.791873848319065488e-01 7.150019175325018905e-03 1.339971151333640975e-02
1.798229830123831696e-01 5.921419642086352964e-01 7.972851168490578677e-03 -2.757470153424734782e-02
1.964212010527659480e-01 6.519714711094104498e-01 7.328675114583259320e-03 -3.140160143109627100e-02
2.152285605148434866e-01 6.919499493140056634e-01 7.014027886252091615e-03 9.285538190757502974e-03
2.034899347608090658e-01 5.175624128575796457e-01 6.935810975333266126e-03 8.091561340711983519e-03
