sigma l a b
1.984939966808337286e-01 6.318258119117876603e-01 8.022664069165873213e-03 -2.055807635883510898e-02
2.016003282372583472e-01 6.560572206260015804e-01 6.310376614526491679e-03 -1.067765868771441973e-02
1.788802271877253658e-01 5.300143510840421568e-01 6.690062890060112510e-03 2.595679296658692792e-02
1.966186825921811820e-01 6.108416478509699488e-01 7.064389495055264923e-03 1.666415398801746051e-02
1.961428400259435101e-01 6.608555310587816978e-01 6.812084530140191663e-03 5.310939431541550348e-02
1.716846121853904950e-01 6.136170703637852109e-01 7.131770177074302219e-03 3.292706401572509378e-02
1.745857045965975574e-01 5.935628526552223505e-01 7.580083064739770449e-03 8.619559981920321690e-03
1.800458301164617192e-01 5.883124922134859158e-01 6.836371036803137735e-03 2.626557147881936061e-02
1.895862447348926061e-01 6.418314788810891569e-01 7.453773882725410471e-03 4.139250319085530094e-02
1.616143699684441937e-01 5.907701272920161673e-01 7.724395079403964526e-03 2.996535615210893511e-02
2.058557092802806854e-01 5.255480235021738888e-01 7.892164420882405440e-03 4.261394575568910881e-02
1.788018466772097748e-01 6.445610942072503846e-01 7.154587770555685677e-03 2.577597387549701580e-04
1.921649630472770931e-01 6.312189508110583880e-01 7.600889098447173586e-03 3.054040284531911453e-02
1.748503808964715356e-01 6.576283005076681842e-01 7.537041947299497058e-03 3.344420036453410461e-03
1.776336795147903658e-01 5.662330194575189157e-01 7.546510531317440762e-03 9.074651973110192671e-03
1.816244900317117716e-01 5.929345598185876698e-01 8.301291479089659142e-03 7.711866777437847986e-04
1.880610254749092436e-01 5.813363339628943027e-01 8.438042582300908645e-03 6.308261165450801400e-03
1.631804423287942785e-01 6.237807986892789369e-01 7.543741061729759834e-03 5.021055197780022183e-02
1.837195908706045211e-01 6.739472609165185757e-01 7.886142149838695770e-03 1.199309568482309629e-02
2.216534810771339792e-01 6.661090866364938190e-01 7.441913654331069883e-03 -1.154548613757633291e-04
1.779118960995855203e-01 5.934106239211834888e-01 7.202876587108240913e-03 2.512053446836048920e-02
1.989428097005480622e-01 5.895972999117625735e-01 7.104396133568377514e-03 4.241813827228702038e-02
1.912043278646796962e-01 7.284429193127260893e-01 6.979887294080534821e-03 -1.930930595773294733e-02
1.926469269246779137e-01 6.188137156545461259e-01 6.922237107973405745e-03 -2.408100683726877023e-03
2.066038351439795362e-01 6.010157857510921575e-01 7.543838293795103456e-03 5.907674336655777125e-02
2.149038190832886774e-01 5.522788261750697369e-01 6.801715007953068604e-03 -1.264768168086116695e-02
1.760690628341416153e-01 6.238087431167992358e-01 7.223345728597438398e-03 -2.007593675708885250e-02
2.069313965407282574e-01 6.304687425220916186e-01 7.452257198264755633e-03 -2.619347466998855900e-02
1.978613900751439725e-01 6.261072696080661748e-01 7.198754283660388498e-03 1.248602927853514899e-02
1.850358125242733687e-01 6.921318391957942406e-01 6.805156643662803317e-03 5.974648747396837933e-03
1.900958517735581443e-01 6.868995140532295762e-01 7.239328980058613860e-03 3.490428324535566063e-02
1.931719032162059480e-01 5.720755270235784451e-01 6.005678488903987144e-03 1.309882773142589940e-03
1.876346198221135186e-01 6.796141345687356505e-01 7.612114624218721537e-03 2.879489605458873669e-02
1.986142669159291774e-01 6.731805001422108692e-01 7.202193460917917511e-03 -5.445150499698403479e-03
1.762297876005630981e-01 6.547402960913201175e-01 7.559749343836484614e-03 -6.015488148671366275e-03
1.870492354935595347e-01 6.536052338860054434e-01 7.021494353768122088e-03 8.770785114573520502e-04
2.006000191634839114e-01 6.539449949620201874e-01 7.561696621464872314e-03 2.156335849515311764e-02
1.931178991054089134e-01 5.582830634337840880e-01 7.056329842895614490e-03 -8.306172437540393361e-03
1.951852345549533740e-01 5.927319405520993234e-01 7.171710545393214509e-03 -2.122936310542589133e-02
1.641953831352421234e-01 6.237114419471424531e-01 6.961152402799916650e-03 3.356432681493570769e-02
1.873254665802285834e-01 6.871471347599511503e-01 6.753356681449426691e-03 2.332075280304701792e-02
2.258553872987322242e-01 6.792084093496297825e-01 7.440923972328504499e-03 1.144781626878188519e-02
1.911879557753707326e-01 5.874976955816435531e-01 7.627996199092858254e-03 -2.989551061742035110e-02
1.714173632100235711e-01 5.934018212466871667e-01 7.317889138329369825e-03 4.524578288739089516e-03
2.394011810337131341e-01 6.108984739562290933e-01 5.372976107151171410e-03 4.052955230182098134e-02
1.710801679064424818e-01 6.974213155618858018e-01 7.276665536234482035e-03 4.841724776537059682e-02
1.872964643713349309e-01 5.949570715468111004e-01 6.562921422696779694e-03 5.606694560612357492e-03
1.854002473085188119e-01 5.477558928647894287e-01 7.862224706512578598e-03 3.133685041136891058e-02
1.926711755111405466e-01 6.228713859603225433e-01 6.913788046655489072e-03 4.356276109040013722e-02
1.827416655940393153e-01 5.590098149364876035e-01 7.433275684349524570e-03 4.130811901278175213e-03
1.883373570663536278e-01 6.411716749145306427e-01 7.319571446058381614e-03 -1.943459911504064053e-02
2.157211907997470812e-01 6.338483046027022505e-01 8.022307490700167354e-03 8.749470033158068816e-03
1.798115904584337843e-01 6.145354115320225130e-01 7.738643323781581318e-03 2.587141284604177471e-02
1.773757531798745568e-01 6.042188710336325874e-01 7.863944731194380533e-03 -1.863002700052018845e-02
2.144541704543216076e-01 5.505446295864175887e-01 6.968675644810837233e-03 -7.579358393983826048e-03
1.742482354163071567e-01 6.565548644234892040e-01 8.676756290055397114e-03 2.293017864103008563e-02
1.822066168997456548e-01 5.725566091792108070e-01 6.668312607381834956e-03 3.015003859287723742e-02
1.814666647617982631e-01 5.228043023721063998e-01 7.645042409749815138e-03 3.651422944119797620e-03
1.958543740302125524e-01 6.373056056137377245e-01 7.301849720973384306e-03 1.927030065748924770e-02
1.993658198046464880e-01 6.348727510634333271e-01 6.807772468409210853e-03 -4.617211238311602628e-03
1.920236055164912525e-01 6.000123247684581163e-01 7.053888712704778352e-03 -1.299105378848408598e-02
2.027719624456579828e-01 6.448662573821023480e-01 8.159695568515659692e-03 5.920197807823779357e-02
1.895862447348926061e-01 6.418314788810891569e-01 7.453773882725410471e-03 4.139250319085530094e-02
1.916746147262914646e-01 5.874203267321511657e-01 7.320885399944652983e-03 -1.794870031182949077e-03
2.062654203435519695e-01 5.490933803699480364e-01 7.692955377031948649e-03 2.822451030154526919e-02
2.098048202476273383e-01 6.119815408843618521e-01 7.903398838807952631e-03 -3.499559425167575455e-02
1.757773156428230066e-01 6.549283518099835444e-01 8.137518837577649433e-03 4.090774905119420879e-02
1.973265963857137872e-01 5.963384250844885326e-01 7.882522774223042761e-03 5.098480154282380994e-03
1.744429526833584376e-01 6.318156229715621297e-01 7.673772735239191289e-03 2.582346433057969293e-02
1.935147848389227043e-01 6.750154316941594512e-01 7.177946310178651146e-03 -3.534183267297286157e-02
1.894485559124806651e-01 6.149020050134450521e-01 6.395097624740539444e-03 -2.672311053718900986e-02
1.692267969752557499e-01 6.412981237108903443e-01 6.900724978344915939e-03 -8.081512998042938989e-03
2.155467011998136451e-01 7.071300216057958554e-01 6.616010886530424018e-03 4.770209488627052963e-03
2.242565440602948823e-01 5.860904876799873930e-01 7.654041259552303578e-03 -1.576335012424645576e-02
1.870263610630110707e-01 5.809020889842955171e-01 7.495741099031137666e-03 -2.525458636592348149e-02
2.064385173734544499e-01 6.073207016399341240e-01 7.841007558015200551e-03 3.009003141844424078e-02
1.792215667781225374e-01 6.247798519358717106e-01 7.136267460252573858e-03 4.710047456010535427e-02
2.002096318694359112e-01 6.238730279863249351e-01 7.210607819525913231e-03 4.275676438909892241e-02
2.197335131157909238e-01 5.969382345258126277e-01 6.707472618974121004e-03 -1.678323557855243564e-03
1.936146117232364350e-01 5.645293766975344463e-01 7.227010977539624625e-03 -6.658491396450250122e-03
1.691418063485526646e-01 6.255748150842037614e-01 7.528083360848501771e-03 -1.128532407380089531e-02
1.527836188469362810e-01 6.945189551001591521e-01 7.735122053209544934e-03 1.131681249341776052e-02
2.134980702544929942e-01 5.378508292444966754e-01 7.800148539647798474e-03 3.719612766868296561e-02
1.801203995831415494e-01 5.768485920016719337e-01 7.153105287263719636e-03 -3.096410869434151891e-02
1.719676920960616917e-01 6.790622856024377541e-01 7.923115396041437164e-03 3.923441861170218203e-03
1.822066168997456548e-01 5.725566091792108070e-01 6.668312607381834956e-03 3.015003859287723742e-02
1.962673806314890190e-01 6.665780046036696715e-01 6.917758411243632444e-03 2.663647067110508360e-02
1.819977388548824071e-01 7.096835388060414029e-01 7.678474827278645998e-03 -1.269438049494442389e-02
2.027359126893917840e-01 6.112853818157706343e-01 8.373143829269846794e-03 -4.656867941601361416e-02
1.854174798644214195e-01 7.454911348443477026e-01 7.765020724935081664e-03 4.572075926646190780e-02
1.858133186778967438e-01 6.393976630562620000e-01 6.922326143645407548e-03 -1.904268874488490582e-02
1.929846712404060249e-01 6.078926211329187534e-01 7.290917739725788493e-03 5.292321861436910524e-03
1.968537680999387640e-01 5.436654018003717059e-01 6.700165638494917641e-03 2.757089925010980380e-02
1.811425770202992336e-01 6.718977792316642716e-01 7.554630284880604896e-03 9.266325274652764676e-04
2.068053190205964564e-01 5.839795102932119342e-01 6.992990773919960379e-03 4.381976880229743188e-02
1.746614591383402748e-01 6.880226190746384640e-01 7.403563035303227513e-03 7.124347239853445757e-03
2.154326365106860874e-01 5.600042429129954424e-01 7.710103199021503539e-03 5.471316751586607907e-02
1.709016279168193431e-01 5.628497205135075676e-01 6.984487828273724941e-03 -2.783344106935814466e-04
1.978153365450766588e-01 5.558451383211985286e-01 7.891011672431225143e-03 -5.584664927473781404e-04
1.693129217833035938e-01 6.964609749927819227e-01 7.646094988909869772e-03 4.417267623615384053e-03
1.943307280709616891e-01 5.588127828991051871e-01 7.000268810011603393e-03 4.835427592485164183e-02
2.140343399270401015e-01 5.946759634907111680e-01 6.737579447053755610e-03 -2.648032620350271316e-02
1.747395843192998399e-01 6.869974252375539159e-01 7.821869765816821807e-03 -1.608356023365575815e-02
1.867523374310228468e-01 6.417210179891951194e-01 7.474843648894377579e-03 -2.526214443741903182e-03
1.793407010125235568e-01 6.581118220546635644e-01 7.169079900972610830e-03 2.561763157902063881e-02
1.709087013580884717e-01 5.833417383185621752e-01 8.431134801976603033e-03 1.130117963855159502e-02
1.646884428703903891e-01 6.395290865406670910e-01 7.619563925743186306e-03 2.346422055307595400e-02
1.936430817047817277e-01 6.195775675306158803e-01 7.312182683595715160e-03 -5.958748079839826239e-02
1.795839184363525742e-01 6.566528750039004603e-01 7.313104687748463173e-03 -1.892487963247813099e-03
2.153731869546365585e-01 6.021692308495172341e-01 7.384535679452741697e-03 -5.009721137127520763e-02
2.313541720878835861e-01 5.272516295474685144e-01 7.169651622450368134e-03 5.483225060784757687e-02
1.856641553170125802e-01 6.276553614866685615e-01 6.807240023629299031e-03 1.837308125236125633e-02
1.929818915892499154e-01 5.901870696073528988e-01 7.558242484559676844e-03 -6.695443231114817095e-03
1.881322062461742439e-01 6.321039413503771742e-01 7.844847143783015286e-03 -5.324753237147650253e-03
1.961569717127233936e-01 6.052347721779756107e-01 7.660748870629695284e-03 4.300440716269449126e-04
1.922164374836188572e-01 6.139246463284824262e-01 7.118824419264521697e-03 -3.499819261836734086e-03
1.741486123352642690e-01 6.561135778016341513e-01 7.969599676731844995e-03 -2.128147002843983060e-02
2.072296291353409037e-01 5.870318000687746451e-01 6.588105873965965920e-03 6.007344364352906751e-03
1.925225544987060056e-01 7.154258869212676286e-01 5.679428350645179813e-03 1.957529702177307485e-02
1.899562481422270299e-01 6.167020662040052503e-01 8.281930855065476604e-03 2.585615710896993491e-02
1.876624489522768502e-01 6.767914077498531356e-01 7.737767821945670810e-03 -1.049051254343558170e-02
1.992133318369983808e-01 6.269244279568831901e-01 6.718788843563361368e-03 3.278394585541377637e-02
1.878665495635592209e-01 5.334834553264210522e-01 7.468061171912510066e-03 2.637340626749029582e-03
1.894486625000025015e-01 6.194673901630941559e-01 7.444996533947187412e-03 1.449340739745208495e-02
1.768419588861301073e-01 7.246159865389334431e-01 7.067961265579861263e-03 1.183501456652358286e-02
1.995014236342790015e-01 5.873094581725492036e-01 8.122680484627789466e-03 -1.081457299691623852e-02
2.087819368975664669e-01 6.090978093282801709e-01 7.754379528961498347e-03 2.431292986623034835e-03
1.998793763751167407e-01 6.197212131844823668e-01 7.191521932356351177e-03 4.091239880323671585e-02
1.998016345503640656e-01 6.199803920607279695e-01 7.251857821813291471e-03 -1.670266265383135718e-03
2.054980983995923494e-01 5.930861034101907459e-01 6.853142377043597300e-03 -8.861661633882356170e-03
1.978643360113257754e-01 5.750732059877528002e-01 7.124296136707633509e-03 1.938842836451870610e-02
2.051667092596526354e-01 5.951220509998312869e-01 6.152286137266219090e-03 2.581157959635405064e-02
1.740031534451076944e-01 6.902475730350712269e-01 6.952812323859844379e-03 2.864732294463800955e-02
1.862771261660397526e-01 6.207104954431684751e-01 7.631169835700446491e-03 3.670855164475606003e-02
1.819183187535659274e-01 5.934730984316973768e-01 6.520484164821017947e-03 3.648350859630067333e-02
2.061095093593983130e-01 5.890150915687447641e-01 6.954543945994907939e-03 2.571875043029692165e-03
1.839457065555557547e-01 6.344485476058342455e-01 7.829716904441764991e-03 -3.201855670527598008e-02
1.752404252023156139e-01 7.347622508642861483e-01 7.469724523050447207e-03 1.318399707299633405e-04
2.035266456704902804e-01 6.243805390010926937e-01 6.768815315597212501e-03 4.490206493708548408e-02
2.020291316413721783e-01 5.780955663845422920e-01 7.922145380314785101e-03 1.678004807891930739e-03
2.002287100756430516e-01 6.189892322014677317e-01 6.621198903261703295e-03 1.200207127836128151e-02
1.970308626259474061e-01 5.777281315904193582e-01 6.774198001603747021e-03 1.294921264509119041e-02
1.779069264430917230e-01 6.124130967960007554e-01 6.226116664760181219e-03 1.938527032783099457e-02
1.874597906316767815e-01 6.418731543104276849e-01 6.961515528827358357e-03 2.479967450813491681e-02
1.899649850726361222e-01 7.220808802187227426e-01 6.454675450228687661e-03 -2.950346310839679909e-02
1.930985588337876813e-01 6.052864761208273103e-01 8.213054018341360563e-03 1.620205798695151245e-02
1.814666647617982631e-01 5.228043023721063998e-01 7.645042409749815138e-03 3.651422944119797620e-03
1.832022199368135984e-01 5.913074652686163279e-01 7.005084039984413313e-03 7.964264498679707316e-03
2.077419543346613051e-01 6.190085899658279711e-01 7.311700383792175961e-03 8.186127350833816152e-02
1.911506692920233452e-01 5.221563494074356049e-01 7.577006021088697474e-03 2.856045399479967273e-02
1.823868549033458297e-01 6.301456672998855257e-01 7.888715098242890522e-03 -3.248839761218080824e-02
2.073491498801044441e-01 5.869669188305749463e-01 6.559803838732947145e-03 -4.567876894893108108e-02
1.874544439855458933e-01 5.944519429049112125e-01 7.307246886366879079e-03 8.684449054854326278e-03
2.094980091258599741e-01 6.146989856065375735e-01 6.240544218971591506e-03 1.255828307928119614e-02
1.814047552235288907e-01 5.870867827539711925e-01 7.113700912296808121e-03 2.658180337419802086e-02
1.779781454828719967e-01 6.430882558850480324e-01 7.080368495065367251e-03 -3.037952199739302195e-02
1.625283430925917316e-01 6.581862824522775046e-01 6.624469616138529970e-03 2.148045630922679194e-02
1.889602535796773841e-01 5.971631810084725434e-01 7.471056474866302755e-03 2.911115121399365790e-02
1.871975722126345831e-01 5.888436902388036742e-01 6.759440704553143497e-03 6.839160857742943023e-03
1.913138038408430663e-01 7.000280283203517140e-01 7.396016412397864170e-03 -2.315739349669487801e-02
1.703261606087031477e-01 6.245897285730581672e-01 7.746967621497083401e-03 1.078061051873513421e-02
2.276244583754561956e-01 6.020749921769147361e-01 7.106540030264230090e-03 -2.775733190613793866e-02
1.696732202782162691e-01 6.311411349610416277e-01 7.054702100389234620e-03 -8.561665374743565593e-03
1.993643906268687260e-01 6.786697782990547267e-01 7.332641495474578885e-03 -2.888120157573670355e-04
1.783618349304134931e-01 5.971033457283038137e-01 6.508687164768024724e-03 2.754479190659919752e-02
2.205799271846221876e-01 6.513227216763810556e-01 7.419777857655462938e-03 -7.377573157274497362e-03
2.149598576480968304e-01 5.928927390326783620e-01 8.102267512149249895e-03 -2.066115596311957070e-02
1.788281169803884740e-01 6.491793273847851209e-01 8.226202322788513099e-03 1.409858960518706184e-02
1.723765891856287036e-01 6.183315213497300178e-01 7.098596014524859166e-03 2.363294091166645572e-02
1.867370221049038936e-01 7.127200897471798191e-01 8.105596120764543833e-03 5.800312800402718239e-03
1.748672563740006070e-01 6.071615511557723055e-01 7.506520855406227655e-03 9.160866471615847217e-04
1.631285231755134346e-01 6.452999692017045152e-01 7.958783174916328473e-03 -2.239833105035060612e-03
1.815908911339678689e-01 7.113388339138133620e-01 6.683241489159240378e-03 -1.364594269464869392e-02
2.019195134875483300e-01 5.777679483118415282e-01 7.727087460674866848e-03 -2.753778463407496879e-02
1.853499933909710795e-01 6.320721108105302743e-01 7.041986907237750282e-03 -3.784953746927466334e-02
1.913403322069445189e-01 5.991649589870640114e-01 6.263543248189416823e-03 -2.702696368339019273e-02
1.799881478844344018e-01 6.885066212947359432e-01 7.258126569458900335e-03 -4.190823209776239899e-02
1.927469687931382958e-01 5.350067691266667813e-01 8.577770459659947444e-03 1.442334205029238703e-02
2.149449052992903064e-01 6.524400629939685059e-01 7.939211611429929094e-03 -4.459427151485595431e-02
1.891974357538898088e-01 5.809338432624098214e-01 6.971063383372597122e-03 -3.153843775104037128e-02
1.884529305748127437e-01 5.763686246272842206e-01 7.929143922855111382e-03 4.801774977930195476e-02
1.937455679011219900e-01 6.100925772879954856e-01 7.759025035840680373e-03 -4.886492453860968865e-02
1.783424823207617749e-01 6.290949748190716173e-01 7.082686016248819494e-03 1.607975868542510511e-02
1.756775983987801659e-01 6.250013406123500204e-01 8.098394926688526341e-03 -5.253096505860277432e-02
1.797639535094978369e-01 6.648388941080536352e-01 7.755656142643709006e-03 -1.986938437740715102e-02
1.809393072287004134e-01 6.642152574638173768e-01 7.146425748626006325e-03 5.786306416226238980e-03
1.706207717949531355e-01 6.314705253617968195e-01 8.258481111219684312e-03 -1.305475929050570194e-02
1.847268181972658019e-01 5.748449918571365558e-01 6.701446778717368158e-03 3.202209554602131192e-02
1.688382390080708506e-01 5.940658183799082392e-01 7.151764573398555758e-03 -3.749861846708002489e-02
1.868933333407735708e-01 6.054005304700464940e-01 6.668827351499907741e-03 5.290443468535999116e-02
1.911506692920233452e-01 5.221563494074356049e-01 7.577006021088697474e-03 2.856045399479967273e-02
1.873843506232810707e-01 5.943171068158865644e-01 6.810194057031648818e-03 -1.440539282612096628e-02
1.895234695565007066e-01 6.007940172560002345e-01 6.535395233424980133e-03 2.074860661466404466e-02
1.977896088284046283e-01 5.908179861171567460e-01 6.647889998546097079e-03 -1.579952920244487302e-03
1.661931903024325141e-01 6.433850919449096706e-01 6.561590460733547625e-03 1.218907583957840046e-02
1.880441316585702016e-01 6.695371299641084128e-01 8.083977469293658624e-03 1.027397288469789061e-02
2.031481581296804284e-01 6.649107245789251941e-01 7.188597043396839636e-03 1.284636355302559707e-02
1.951850251551690840e-01 6.104175231439441518e-01 7.025004493968436958e-03 3.912222322169256472e-03
1.803780572892305645e-01 6.817654411238680545e-01 6.910045540038267653e-03 6.959802541087078964e-03
1.964894690419373979e-01 5.967006932928580198e-01 5.928860737145637272e-03 5.759988495170542677e-02
1.544970990940959799e-01 6.116836111997225878e-01 7.269838147404270035e-03 3.622409783198987654e-02
1.909966165552569040e-01 7.023274640911304489e-01 8.194102259720628667e-03 8.290920058918960223e-03
1.818392418150756307e-01 6.521353548961577040e-01 7.866405976618917606e-03 -3.717841881252326175e-02
1.755072233248545777e-01 6.821945894894758666e-01 6.705443720120607409e-03 1.431457111885414690e-02
1.906061113566486498e-01 7.228255235720809635e-01 6.393310399016895185e-03 3.055085006674884696e-02
1.693845602101022862e-01 6.676033591953234314e-01 8.116775478765325680e-03 7.152155917215630154e-03
2.056511456375806346e-01 5.880159348762380445e-01 7.099887467527508933e-03 3.825596844292578069e-02
1.825541413277974867e-01 5.425533190868229161e-01 7.732477762744313643e-03 2.170168649388992677e-02
1.522583435177222999e-01 6.342121766128939742e-01 7.881235893451833674e-03 1.458026812882673440e-02
1.794355375970316246e-01 6.830139183411385595e-01 7.774417442802494804e-03 6.209685435165201994e-03
1.741825482002164749e-01 5.864821801093751397e-01 7.800616912517009671e-03 5.301821934794226365e-03
1.889771337233400739e-01 6.023211804516007684e-01 6.769188177628913949e-03 1.355158415767521163e-02
1.873536853555262394e-01 6.386083527300965290e-01 8.316418992126831111e-03 2.836207736518536748e-02
1.831487389135724175e-01 5.690632998278886134e-01 7.069346679084022311e-03 5.278164121431361266e-02
2.140333620478825083e-01 5.961224679691874417e-01 6.921412079425336150e-03 3.052868273626696549e-02
1.991691770279293561e-01 6.422404031724608942e-01 8.019317658361412027e-03 3.094795323659749187e-02
1.786340377331398221e-01 6.996461088613903367e-01 7.852075832196193927e-03 2.641033781292989602e-02
1.876586195453216754e-01 5.797059468246529290e-01 6.997817601584313540e-03 -4.245573013115233607e-03
2.037850927145355429e-01 5.943872381562264051e-01 8.586868643403390566e-03 -3.237377150348641486e-02
1.993543864467222926e-01 6.458870809826822157e-01 7.273719438620832034e-03 3.058939100540003508e-02
1.980488370320626634e-01 5.783866741200230921e-01 7.842669220798612062e-03 -3.533346363015255065e-02
1.616011012723327367e-01 6.291930010857532674e-01 7.074152833702718191e-03 3.731374870965709079e-02
1.737723887899001729e-01 6.474751303808288228e-01 6.923208433634739367e-03 -4.974174366147110504e-03
1.963245278022242024e-01 6.522125549951478529e-01 7.309819610307341509e-03 2.042600222675527988e-02
1.859929457291684129e-01 6.469110087904885731e-01 7.340687293681327774e-03 2.758794982026513409e-02
1.774580137170101990e-01 6.157792124905726583e-01 6.584433331908202958e-03 -8.150072129992080860e-03
1.827780651321924965e-01 6.120879734101826175e-01 7.041264039438090150e-03 7.129330421896007408e-03
2.019195134875483300e-01 5.777679483118415282e-01 7.727087460674866848e-03 -2.753778463407496879e-02
1.815969418454305984e-01 6.306590645832619302e-01 7.331539146220256153e-03 -1.390657660915062266e-03
1.679183448275866353e-01 6.921242398389336747e-01 7.035834149017275441e-03 3.637916002997565457e-02
1.815169191170719065e-01 6.122561345477959271e-01 7.661825940168454085e-03 2.461769485828213533e-02
1.652215396649386880e-01 5.362108369859566182e-01 7.162085459824427125e-03 2.314314594964583804e-02
1.758048045976406959e-01 6.702249262238718641e-01 6.926956039409196131e-03 -2.111539841402509943e-02
1.814999845184072924e-01 5.950530157790883123e-01 7.414855505867824770e-03 5.441525358141241497e-03
1.906066427308138467e-01 6.316669115941591084e-01 6.621625028491041898e-03 -8.234084018666321114e-03
1.892376235085512226e-01 6.710641588086614373e-01 6.790103211617437573e-03 1.499230430137821202e-02
1.689003841843448595e-01 6.949819878612100155e-01 6.906289755802132169e-03 5.294322341015345046e-03
1.876045543977246377e-01 6.359744106940177222e-01 7.595000603009605111e-03 -1.395080568163953316e-03
1.883598160060101223e-01 6.459508650751530912e-01 7.592863153966809830e-03 2.648137029295760669e-02
1.983872117999377349e-01 6.732853332532229285e-01 6.623788784493510329e-03 3.379193564454885390e-02
1.943903280039184778e-01 6.114591052176122643e-01 7.867273085683898493e-03 -4.100065150827214566e-02
1.802033289709627784e-01 5.599742917379034735e-01 8.298158374024165729e-03 1.651044430747372616e-02
2.175895502748932675e-01 5.731815642585880166e-01 6.311656423674413818e-03 3.290649463123651586e-02
1.843209581301179234e-01 6.137994826979110696e-01 7.367477110974650356e-03 1.860594656813496783e-02
2.142798448204827899e-01 6.197231335252842976e-01 6.644748669572562993e-03 -8.596801953721699974e-03
2.000427090291719834e-01 5.766577089694601144e-01 7.375292853809722882e-03 2.295939267560553887e-02
1.866766716678782412e-01 6.619319180671600078e-01 7.773535036799117393e-03 -2.515687578175307415e-02
2.194214604626238962e-01 5.733786732979802014e-01 7.301989449467471971e-03 3.300977088106238355e-02
2.034806207076152729e-01 6.814722017206289451e-01 6.981388120907261463e-03 2.792206648503103850e-04
1.880842985156004343e-01 5.399383131504622568e-01 7.743098112461668792e-03 -2.051703854471198518e-02
1.903075309665424875e-01 5.184829264294475992e-01 8.505335797532098674e-03 3.091510108113926236e-03
1.988515669499803240e-01 6.207670228839057280e-01 8.264815636936227727e-03 -1.124614815647140276e-02
1.858629006955163643e-01 6.102468194970165349e-01 7.335834610674538125e-03 2.074108459337153931e-02
1.876563972670087510e-01 6.488936903013281521e-01 7.454757856680815920e-03 -6.429997339465254313e-03
1.941893224153042330e-01 5.966305271802563315e-01 7.335166477617047209e-03 2.581221955839474447e-02
1.828779588412329238e-01 6.208017206531696308e-01 7.747237937026564547e-03 8.907925644809466803e-03
1.932018182693987784e-01 6.755281623067712626e-01 7.270042447339711278e-03 1.338062757001612368e-02
1.929017059592054162e-01 5.318727621073370271e-01 7.120159251760141417e-03 2.768488666587565206e-02
2.083002580139457771e-01 6.101836802565903106e-01 7.212097358680891190e-03 2.383976035921309133e-02
1.863375878533083951e-01 5.819922061236592059e-01 8.050420469167776649e-03 5.024083037247439876e-03
1.939631533290878118e-01 6.286065342091200492e-01 5.990339534057073645e-03 -2.964041525775162889e-02
1.602297833479428280e-01 6.231960837925873964e-01 7.148003219889273452e-03 -3.383427108672742989e-02
1.836050147024506640e-01 5.605533751675519927e-01 7.574295886575689585e-03 -1.865239944249341697e-02
1.850997899826755388e-01 6.374736138267617092e-01 6.836590924778097877e-03 4.145523326891797922e-02
1.847670917343309793e-01 5.933011063562207976e-01 7.206097697359512000e-03 2.945788655951186996e-02
1.804418739348719325e-01 5.080715677789310325e-01 7.094822368779826749e-03 2.067598776023515939e-02
2.197584156832247115e-01 6.469412037408307503e-01 7.882081401902996109e-03 -1.841674427321660090e-02
1.702117860865336729e-01 6.944306128657794508e-01 7.124056433616632322e-03 -3.240823334664977295e-02
1.878168357821094481e-01 5.971939254663035657e-01 7.205103922729050314e-03 3.731860721391377922e-02
1.736786931245344889e-01 6.333156422076651193e-01 7.777211170423091458e-03 -4.904975852008108816e-03
1.767670359445496775e-01 5.804792905963103156e-01 7.302381684897926717e-03 -1.211049769795358166e-02
1.802491440070255746e-01 6.448969511810689337e-01 6.887482367306671516e-03 -1.545335718647478096e-02
1.721629429031042435e-01 5.350109224743366809e-01 7.554174655128156890e-03 2.838434799580324963e-02
1.935007409452222105e-01 7.283854361125650101e-01 7.030088943960600967e-03 8.718171162039123345e-02
1.836748409549016914e-01 5.790042698720552217e-01 6.307318724904233120e-03 6.377961924439201624e-02
2.023130699497004137e-01 6.680952753680401424e-01 8.376648647688736404e-03 3.215764121273823051e-02
1.934812718475652227e-01 6.322468148205012684e-01 7.778279689443313993e-03 -2.005816370242285984e-02
2.064167966023148504e-01 5.531570601276396548e-01 7.372043203462033678e-03 -4.155049373534058788e-03
1.924234060188435014e-01 6.195308600766047391e-01 8.044811453823685898e-03 -1.373426372028241360e-02
1.850056281374531653e-01 5.970765201369570008e-01 7.332971414440656033e-03 2.017784362168884016e-02
1.800546738546595915e-01 7.077679422282228128e-01 7.111387983937768331e-03 9.059207106045796820e-03
1.981479952187399085e-01 6.021571429042770207e-01 7.580424977115488017e-03 2.841349574359774977e-03
2.006900747365832627e-01 5.873032293998587949e-01 7.911093922873813078e-03 8.149830217136022625e-02
1.700974124389398323e-01 6.325150651045170491e-01 7.172291728372234831e-03 -1.460472884243868563e-02
1.826315797812404773e-01 5.915780488390871561e-01 6.746319499044597934e-03 -1.116059817241210617e-02
1.604857234405684396e-01 6.460974820138932762e-01 7.507272288696964502e-03 1.229319801079764574e-02
2.175895502748932675e-01 5.731815642585880166e-01 6.311656423674413818e-03 3.290649463123651586e-02
1.856449622587093284e-01 5.782033851830733484e-01 7.426796177513142472e-03 -7.540521820312839907e-04
1.670382688122818982e-01 5.964447177284936119e-01 7.504691921258986598e-03 -1.351842607912812078e-02
