weight logl sigma l a b
0.000000000000000000e+00 -5.274430885687135742e+04 1.068097030164516514e-02 1.421567171029829435e-01 6.578712329923557256e-01 1.263583691700631562e-01
0.000000000000000000e+00 -5.226486486851961672e+04 8.385307276002207377e-02 6.635749383439237814e-02 9.496350736443393004e-03 9.547008328892203632e-01
0.000000000000000000e+00 -5.222533934600193606e+04 2.623727962268074254e-02 5.434208927398956890e-01 2.740070090042121542e-01 6.471670368747992619e-01
0.000000000000000000e+00 -5.168662207723207393e+04 3.181467431379414457e-02 5.791640970681634082e-01 5.010150283229920509e-01 1.989184483531513115e-01
0.000000000000000000e+00 -5.084442805027773284e+04 2.426031240082737739e-02 7.120364055937256076e-02 8.996844224446117755e-01 4.213340793693043373e-02
0.000000000000000000e+00 -4.942404975430923514e+04 6.012990974937792998e-02 5.737910735307325538e-01 2.619468269953718620e-01 3.281473587133738601e-01
0.000000000000000000e+00 -4.793119997867985512e+04 1.105554722636415965e-01 7.272317262878916777e-01 5.228917640356867125e-02 2.298964493442641199e-01
0.000000000000000000e+00 -4.710412152971859905e+04 1.891802023403377220e-02 8.444838533818929127e-01 7.677388153974339380e-01 5.660824225555839417e-01
0.000000000000000000e+00 -4.601156420366219390e+04 7.420264418924960026e-03 6.509736242713265453e-01 5.406669415009591750e-01 2.802809465460528449e-01
0.000000000000000000e+00 -4.560109022216892481e+04 1.110035372787701036e-01 8.661476926644002816e-01 1.366828888371730555e-01 1.033319640751064750e-01
0.000000000000000000e+00 -4.381396832595144951e+04 2.644519761360186738e-02 8.169480654083300930e-01 8.943789423798776950e-01 3.106376763917357842e-01
0.000000000000000000e+00 -4.298418136803749076e+04 7.328439518583707013e-02 7.583957509872796265e-01 1.213029748703543520e-01 7.393169295179101708e-01
0.000000000000000000e+00 -4.241756333590667055e+04 5.329744326929619636e-02 2.338592084910454671e-01 2.205263906082883807e-01 5.756890654509493332e-01
0.000000000000000000e+00 -4.131177525426613283e+04 7.813654310439843709e-02 7.180510959326324993e-01 7.190164533431123717e-01 9.673154782104497196e-01
0.000000000000000000e+00 -3.995853319258297415e+04 2.262736042717383711e-02 5.406505598253985578e-02 2.937836616503664011e-01 6.801003113311508974e-01
0.000000000000000000e+00 -3.904937876734179736e+04 5.817979603220579943e-02 5.306756854671446089e-01 3.312604171927657770e-01 9.893259839376320475e-01
0.000000000000000000e+00 -3.903785192308404658e+04 6.689899008900068722e-02 7.598789118730278069e-01 5.770039571530165556e-01 6.690864422674747125e-03
0.000000000000000000e+00 -3.894599376371503604e+04 4.471535877919474711e-02 8.616703939601398909e-01 9.070291416169912191e-01 4.106659142501976056e-01
0.000000000000000000e+00 -3.684309138567603077e+04 5.756488211107912978e-02 6.552980975023334764e-01 6.986225512294805817e-01 8.379255731848117561e-01
0.000000000000000000e+00 -3.549961276115070359e+04 1.050662060496010408e-01 3.143162898174028941e-01 7.258990733839143505e-02 4.891821369714077772e-01
0.000000000000000000e+00 -3.503506629404061823e+04 1.325717826854939663e-01 8.943491769037790196e-01 1.653503683546511116e-01 2.973222508227890692e-02
0.000000000000000000e+00 -3.300738269437346025e+04 6.335378486972786938e-02 5.345484432559836074e-01 2.741717248927905137e-01 9.128110291287047096e-01
0.000000000000000000e+00 -3.111992090434336569e+04 4.418559551589362755e-02 4.438570397090524366e-01 8.571736494253497929e-01 1.233570976304496636e-01
0.000000000000000000e+00 -3.103501532779005720e+04 4.399622837428618372e-02 3.381386048113710352e-02 3.717929147544067892e-01 2.258064968555906216e-01
0.000000000000000000e+00 -3.007336163585773465e+04 7.986743982159960620e-02 5.843888084767034918e-01 4.565199855989549027e-01 9.156892666386462487e-02
0.000000000000000000e+00 -2.982015324614892597e+04 3.774310912830747267e-02 3.594529720051513610e-01 4.795499147427485509e-01 8.640419620383642529e-01
0.000000000000000000e+00 -2.939590161691726826e+04 1.305510360173529616e-01 2.567251495590501253e-01 3.941874203174033919e-02 4.346211466058299555e-01
0.000000000000000000e+00 -2.921840860165788035e+04 5.795677307619639951e-02 7.051865654111342252e-01 2.493431959631029482e-01 6.999713752140821477e-01
0.000000000000000000e+00 -2.886475743781041820e+04 1.218841079632768665e-01 7.674816316315435927e-02 1.532199713606634539e-01 1.460660858839446519e-01
0.000000000000000000e+00 -2.786559202264363557e+04 8.015424600747655948e-02 4.614712430798534326e-01 8.433928596860531535e-01 2.954541656680842454e-02
0.000000000000000000e+00 -2.771290969735232284e+04 5.471487578258960038e-02 9.570040174013310086e-01 5.499439546406491575e-01 1.528410925322345459e-01
0.000000000000000000e+00 -2.714706330769031047e+04 7.132367580158838205e-02 9.006287361822403748e-01 7.284660718588173989e-01 8.110356061759619317e-01
0.000000000000000000e+00 -2.702895896351296687e+04 2.289520759902996527e-02 4.037269442323941915e-01 7.145115487726555470e-01 5.789119657412524766e-01
0.000000000000000000e+00 -2.645378278190075071e+04 5.276664270254360911e-02 2.458277766513228269e-01 4.697710768630835032e-01 2.460280638096945527e-01
0.000000000000000000e+00 -2.642492658688939628e+04 9.693787744073012469e-02 3.175112539092480590e-01 5.167655802450970004e-01 4.492314949491427178e-03
0.000000000000000000e+00 -2.622200407647323664e+04 1.616896740565121338e-01 2.990515978093954974e-01 9.280936165305264662e-02 9.296395030104065427e-02
0.000000000000000000e+00 -2.561191734012590678e+04 1.534293255759213714e-01 8.168896244415735364e-02 1.174329967835729960e-02 9.436617104411166856e-01
0.000000000000000000e+00 -2.542864346256256249e+04 2.508435622916027619e-03 6.336967048582656803e-01 6.698023615053726454e-01 2.196906813185326435e-01
0.000000000000000000e+00 -2.537573770555811279e+04 8.653777476445234651e-02 8.258261687716181854e-01 2.924191067466882510e-01 9.351467618987036046e-01
0.000000000000000000e+00 -2.511737376367209072e+04 7.017390654447430709e-02 4.373853982236918236e-01 8.970009962001970205e-01 1.675379547873278030e-01
0.000000000000000000e+00 -2.501982792881692876e+04 1.386867137774093761e-01 8.520291483072069960e-01 8.646645550884801690e-02 3.256290594136318495e-01
0.000000000000000000e+00 -2.501262183964155338e+04 1.080081414427425113e-01 4.023216582999927793e-01 1.358980743778884781e-01 5.371506690035560139e-01
0.000000000000000000e+00 -2.495844788296014303e+04 1.506380344336717414e-01 5.127750883501440704e-01 1.411315219800113319e-02 7.886512658760461703e-01
0.000000000000000000e+00 -2.376841491243003838e+04 8.245852507866846537e-02 1.787330521548644580e-01 9.263487452440195558e-01 4.950572577881007241e-01
0.000000000000000000e+00 -2.357127851116416059e+04 7.911086231055142193e-02 1.070255254395363620e-01 2.233514521730800562e-01 6.324525319735136986e-01
0.000000000000000000e+00 -2.343693438707952373e+04 2.008960428299465528e-01 3.657239429006661213e-01 2.490023609706937258e-02 1.086551753807407650e-02
0.000000000000000000e+00 -2.341866683484650275e+04 6.095461922263600840e-02 9.814572128191201283e-01 8.846379380896238764e-01 2.378460485719012807e-01
0.000000000000000000e+00 -2.326747371887637564e+04 1.390663701949265141e-01 8.794867194237380170e-01 7.481438422670227961e-02 8.055589760134701516e-01
0.000000000000000000e+00 -2.309139965857279822e+04 1.761373024772729945e-01 5.811446090436543921e-01 6.757097729202676817e-02 1.156080666712163696e-01
0.000000000000000000e+00 -2.208099592559211305e+04 8.014943079901670764e-02 8.175823914086344235e-02 2.193715216151347347e-01 6.308885630610998607e-01
0.000000000000000000e+00 -2.203536304105472664e+04 1.358014876121842462e-01 4.898039150026207711e-01 7.670407845905624633e-02 6.646348458718535079e-01
0.000000000000000000e+00 -2.200326814382374505e+04 4.381345026209526594e-02 6.921471594358419299e-01 6.708835971243843899e-01 7.007225938454406666e-01
0.000000000000000000e+00 -2.129341878862730664e+04 1.491054737823002130e-01 1.301849633801561712e-01 8.978178479580555260e-01 9.519828837906828545e-01
0.000000000000000000e+00 -2.108286801915162505e+04 1.544932041237820908e-01 8.369113444899183296e-01 6.796260332532289006e-02 3.643235560491767666e-01
0.000000000000000000e+00 -2.101700667068382609e+04 5.986623727017326146e-02 5.620884589874119985e-02 9.081729366788646729e-01 3.212747881139403905e-01
0.000000000000000000e+00 -2.062898765535701023e+04 4.793793198733642402e-02 6.612588530826054578e-01 4.770407080057956772e-01 3.055108968042349327e-01
0.000000000000000000e+00 -2.045455304367035205e+04 1.631263202883523888e-01 9.428301146057026516e-01 7.901768447239720938e-02 2.742009425154070534e-01
0.000000000000000000e+00 -1.997758062701923700e+04 8.220862616329116523e-02 9.266263058104924344e-01 7.215500477218150799e-01 7.997690553070541108e-01
0.000000000000000000e+00 -1.997276176690209468e+04 1.386910834753726229e-01 3.166325308346241707e-01 1.878845597662776035e-01 2.321121048297392075e-01
0.000000000000000000e+00 -1.965159396673408264e+04 1.084112043830002259e-01 8.351066556837877242e-01 5.215918665466372506e-01 9.994415325589985910e-01
0.000000000000000000e+00 -1.956150631650899595e+04 1.486953335514750174e-01 9.524996979964719390e-01 3.139972337528253998e-01 1.855254080518176085e-02
0.000000000000000000e+00 -1.946838685624325080e+04 2.459724636628923822e-02 5.014433271606918430e-01 4.248900619006569235e-01 5.272917675359010126e-01
0.000000000000000000e+00 -1.930081661505804368e+04 1.699405474889406076e-01 1.938568125954996946e-01 4.039231655706476687e-02 8.055568704067662678e-01
0.000000000000000000e+00 -1.909945013563234534e+04 9.660407921566704914e-02 5.139350089028082991e-01 9.043429942226856033e-01 5.777109955567447663e-01
0.000000000000000000e+00 -1.874142800973371413e+04 1.632259038341639101e-01 8.851874052664279180e-01 4.203467980462782805e-02 5.440057144425383129e-01
