weight logl sigma l a b
0.000000000000000000e+00 -4.942404975430923514e+04 6.012990974937792998e-02 1.147582147061465108e+01 -2.380531730046281380e-02 -6.874105651465045597e-01
0.000000000000000000e+00 -4.793119997867985512e+04 1.105554722636415965e-01 1.454463452575783400e+01 -4.477108235964313843e-02 -1.080414202622943520e+00
0.000000000000000000e+00 -4.710412152971859905e+04 1.891802023403377220e-02 1.688967706763785870e+01 2.677388153974340212e-02 2.643296902223357669e-01
0.000000000000000000e+00 -4.601156420366219390e+04 7.420264418924960026e-03 1.301947248542653135e+01 4.066694150095917504e-03 -8.788762138157886206e-01
0.000000000000000000e+00 -4.560109022216892481e+04 1.110035372787701036e-01 1.732295385328800563e+01 -3.633171111628269445e-02 -1.586672143699574100e+00
0.000000000000000000e+00 -4.381396832595144951e+04 2.644519761360186738e-02 1.633896130816660275e+01 3.943789423798776950e-02 -7.574492944330568633e-01
0.000000000000000000e+00 -4.298418136803749076e+04 7.328439518583707013e-02 1.516791501974559253e+01 -3.786970251296456480e-02 9.572677180716406831e-01
0.000000000000000000e+00 -4.241756333590667055e+04 5.329744326929619636e-02 4.677184169820909787e+00 -2.794736093917116193e-02 3.027562618037973330e-01
0.000000000000000000e+00 -4.131177525426613283e+04 7.813654310439843709e-02 1.436102191865264999e+01 2.190164533431124272e-02 1.869261912841798878e+00
0.000000000000000000e+00 -3.995853319258297415e+04 2.262736042717383711e-02 1.081301119650797116e+00 -2.062163383496336266e-02 7.204012453246035896e-01
0.000000000000000000e+00 -3.904937876734179736e+04 5.817979603220579943e-02 1.061351370934289307e+01 -1.687395828072342507e-02 1.957303935750528190e+00
0.000000000000000000e+00 -3.903785192308404658e+04 6.689899008900068722e-02 1.519757823746055614e+01 7.700395715301656951e-03 -1.973236542309301011e+00
0.000000000000000000e+00 -3.894599376371503604e+04 4.471535877919474711e-02 1.723340787920279737e+01 4.070291416169911913e-02 -3.573363429992095774e-01
0.000000000000000000e+00 -3.684309138567603077e+04 5.756488211107912978e-02 1.310596195004666953e+01 1.986225512294806372e-02 1.351702292739247024e+00
0.000000000000000000e+00 -3.549961276115070359e+04 1.050662060496010408e-01 6.286325796348057438e+00 -4.274100926616086066e-02 -4.327145211436889127e-02
0.000000000000000000e+00 -3.503506629404061823e+04 1.325717826854939663e-01 1.788698353807557950e+01 -3.346496316453488606e-02 -1.881071099670884372e+00
0.000000000000000000e+00 -3.300738269437346025e+04 6.335378486972786938e-02 1.069096886511967170e+01 -2.258282751072095140e-02 1.651244116514818838e+00
0.000000000000000000e+00 -3.111992090434336569e+04 4.418559551589362755e-02 8.877140794181048733e+00 3.571736494253498206e-02 -1.506571609478201346e+00
0.000000000000000000e+00 -3.103501532779005720e+04 4.399622837428618372e-02 6.762772096227420704e-01 -1.282070852455931970e-02 -1.096774012577637514e+00
0.000000000000000000e+00 -3.007336163585773465e+04 7.986743982159960620e-02 1.168777616953406984e+01 -4.348001440104512505e-03 -1.633724293344541501e+00
0.000000000000000000e+00 -2.982015324614892597e+04 3.774310912830747267e-02 7.189059440103027221e+00 -2.045008525725144910e-03 1.456167848153457012e+00
0.000000000000000000e+00 -2.939590161691726826e+04 1.305510360173529616e-01 5.134502991181002507e+00 -4.605812579682597163e-02 -2.615154135766801780e-01
0.000000000000000000e+00 -2.921840860165788035e+04 5.795677307619639951e-02 1.410373130822268450e+01 -2.506568040368970657e-02 7.998855008563285907e-01
0.000000000000000000e+00 -2.886475743781041820e+04 1.218841079632768665e-01 1.534963263263087185e+00 -3.467800286393366016e-02 -1.415735656464221393e+00
0.000000000000000000e+00 -2.786559202264363557e+04 8.015424600747655948e-02 9.229424861597069096e+00 3.433928596860531812e-02 -1.881818333732766302e+00
0.000000000000000000e+00 -2.771290969735232284e+04 5.471487578258960038e-02 1.914008034802662195e+01 4.994395464064917134e-03 -1.388635629871061816e+00
0.000000000000000000e+00 -2.714706330769031047e+04 7.132367580158838205e-02 1.801257472364480705e+01 2.284660718588174544e-02 1.244142424703847727e+00
0.000000000000000000e+00 -2.702895896351296687e+04 2.289520759902996527e-02 8.074538884647884274e+00 2.145115487726555192e-02 3.156478629650099066e-01
0.000000000000000000e+00 -2.645378278190075071e+04 5.276664270254360911e-02 4.916555533026456537e+00 -3.022892313691648292e-03 -1.015887744761221789e+00
0.000000000000000000e+00 -2.642492658688939628e+04 9.693787744073012469e-02 6.350225078184960736e+00 1.676558024509701428e-03 -1.982030740202034291e+00
0.000000000000000000e+00 -2.622200407647323664e+04 1.616896740565121338e-01 5.981031956187909948e+00 -4.071906383469473673e-02 -1.628144198795837383e+00
0.000000000000000000e+00 -2.561191734012590678e+04 1.534293255759213714e-01 1.633779248883147073e+00 -4.882567003216427282e-02 1.774646841764466743e+00
0.000000000000000000e+00 -2.542864346256256249e+04 2.508435622916027619e-03 1.267393409716531316e+01 1.698023615053725899e-02 -1.121237274725869426e+00
0.000000000000000000e+00 -2.537573770555811279e+04 8.653777476445234651e-02 1.651652337543236371e+01 -2.075808932533117560e-02 1.740587047594814418e+00
0.000000000000000000e+00 -2.511737376367209072e+04 7.017390654447430709e-02 8.747707964473836029e+00 3.970009962001970483e-02 -1.329848180850688788e+00
0.000000000000000000e+00 -2.501982792881692876e+04 1.386867137774093761e-01 1.704058296614413948e+01 -4.135335444911519831e-02 -6.974837623454726021e-01
0.000000000000000000e+00 -2.501262183964155338e+04 1.080081414427425113e-01 8.046433165999856030e+00 -3.641019256221115358e-02 1.486026760142240555e-01
0.000000000000000000e+00 -2.495844788296014303e+04 1.506380344336717414e-01 1.025550176700288141e+01 -4.858868478019989084e-02 1.154605063504184681e+00
0.000000000000000000e+00 -2.376841491243003838e+04 8.245852507866846537e-02 3.574661043097289159e+00 4.263487452440195558e-02 -1.977096884759710349e-02
0.000000000000000000e+00 -2.357127851116416059e+04 7.911086231055142193e-02 2.140510508790727240e+00 -2.766485478269199716e-02 5.298101278940547942e-01
0.000000000000000000e+00 -2.343693438707952373e+04 2.008960428299465528e-01 7.314478858013321982e+00 -4.750997639029306413e-02 -1.956537929847703694e+00
0.000000000000000000e+00 -2.341866683484650275e+04 6.095461922263600840e-02 1.962914425638240346e+01 3.846379380896239319e-02 -1.048615805712394877e+00
0.000000000000000000e+00 -2.326747371887637564e+04 1.390663701949265141e-01 1.758973438847475990e+01 -4.251856157732977759e-02 1.222235904053880606e+00
0.000000000000000000e+00 -2.309139965857279822e+04 1.761373024772729945e-01 1.162289218087308740e+01 -4.324290227079732873e-02 -1.537567733315134522e+00
0.000000000000000000e+00 -2.208099592559211305e+04 8.014943079901670764e-02 1.635164782817268847e+00 -2.806284783848652861e-02 5.235542522443994429e-01
0.000000000000000000e+00 -2.203536304105472664e+04 1.358014876121842462e-01 9.796078300052414534e+00 -4.232959215409437537e-02 6.585393834874140317e-01
