logz logzerr logvol nlive logl logwt insert_order
-2.982712550138624283e+04 3.359618531221780700e+02 -6.500000000000004385e-02 1.000000000000000000e+03 -2.939590161691726826e+04 -2.940287487215458532e+04 3.140000000000000013e-01
-2.940287487215458532e+04 4.581559080467484932e+02 -6.600000000000004474e-02 1.000000000000000000e+03 -2.921840860165788035e+04 -2.922538285689519762e+04 1.252000000000000002e+00
-2.922538285689519762e+04 5.289462091364949856e+02 -6.700000000000004563e-02 1.000000000000000000e+03 -2.886475743781041820e+04 -2.887173269304773203e+04 1.647999999999999909e+00
-2.887173269304773203e+04 6.569922177195774111e+02 -6.800000000000004652e-02 1.000000000000000000e+03 -2.786559202264363557e+04 -2.787256827788094961e+04 1.703999999999999959e+00
-2.787256827788094961e+04 4.328415271070147128e+02 -6.900000000000004741e-02 1.000000000000000000e+03 -2.771290969735232284e+04 -2.771988695258963708e+04 1.933999999999999941e+00
-2.771988695258963708e+04 4.124004479454530951e+02 -7.000000000000004829e-02 1.000000000000000000e+03 -2.714706330769031047e+04 -2.715404156292762491e+04 7.259999999999999787e-01
-2.715404156292762491e+04 5.043232639001833491e+02 -7.100000000000004918e-02 1.000000000000000000e+03 -2.702895896351296687e+04 -2.703593821875028152e+04 3.340000000000000191e-01
-2.703593821875028152e+04 4.988398624722390764e+02 -7.200000000000005007e-02 1.000000000000000000e+03 -2.645378278190075071e+04 -2.646076303713806556e+04 7.740000000000000213e-01
-2.646076303713806556e+04 2.868288054216738487e+02 -7.300000000000005096e-02 1.000000000000000000e+03 -2.642492658688939628e+04 -2.643190784212671133e+04 5.620000000000000551e-01
-2.643190784212671133e+04 1.423885497231187891e+01 -7.400000000000005185e-02 1.000000000000000000e+03 -2.622200407647323664e+04 -2.622898633171055189e+04 1.157999999999999918e+00
-2.622898633171055189e+04 1.052061214731772623e+02 -7.500000000000005274e-02 1.000000000000000000e+03 -2.561191734012590678e+04 -2.561890059536322224e+04 1.231999999999999984e+00
-2.561890059536322224e+04 3.447191741063568315e+02 -7.600000000000005362e-02 1.000000000000000000e+03 -2.542864346256256249e+04 -2.543562771779987816e+04 8.439999999999999725e-01
-2.543562771779987816e+04 2.805019181234517305e+02 -7.700000000000005451e-02 1.000000000000000000e+03 -2.537573770555811279e+04 -2.538272296079542866e+04 1.491999999999999993e+00
-2.538272296079542866e+04 8.237474872179319618e+01 -7.800000000000005540e-02 1.000000000000000000e+03 -2.511737376367209072e+04 -2.512436001890940679e+04 1.038000000000000034e+00
-2.512436001890940679e+04 1.655459576151102965e+02 -7.900000000000005629e-02 1.000000000000000000e+03 -2.501982792881692876e+04 -2.502681518405424504e+04 8.000000000000000167e-03
-2.502681518405424504e+04 1.925397166297589990e+02 -8.000000000000005718e-02 1.000000000000000000e+03 -2.501262183964155338e+04 -2.501961009487886986e+04 1.953999999999999959e+00
-2.501960935235865327e+04 1.000260927122681949e+02 -8.100000000000005806e-02 1.000000000000000000e+03 -2.495844788296014303e+04 -2.496543713819745972e+04 7.319999999999999840e-01
-2.496543713819745972e+04 2.458672189388610718e+01 -8.200000000000005895e-02 1.000000000000000000e+03 -2.376841491243003838e+04 -2.377540516766735527e+04 5.799999999999999600e-01
-2.377540516766735527e+04 5.313949418534007236e+02 -8.300000000000005984e-02 1.000000000000000000e+03 -2.357127851116416059e+04 -2.357826976640147768e+04 5.580000000000000515e-01
-2.357826976640147768e+04 5.754552103714228224e+02 -8.400000000000006073e-02 1.000000000000000000e+03 -2.343693438707952373e+04 -2.344392664231684103e+04 1.508000000000000007e+00
-2.344392664231684103e+04 1.396646458612678430e+02 -8.500000000000006162e-02 1.000000000000000000e+03 -2.341866683484650275e+04 -2.342566009008381661e+04 1.641999999999999904e+00
-2.342566009007214961e+04 8.080953700241411131e-01 -8.600000000000006251e-02 1.000000000000000000e+03 -2.326747371887637564e+04 -2.327446797411368971e+04 1.445999999999999952e+00
-2.327446797411368971e+04 6.545194127720171196e+01 -8.700000000000006339e-02 1.000000000000000000e+03 -2.309139965857279822e+04 -2.309839491381011248e+04 3.059999999999999942e-01
