sigma l c d e
9.344990181418372233e-02 9.687656263980305438e-01 2.172819496594087241e-01 2.260869234326153346e-02 -3.691303626994141274e-01
1.087419886405409514e-01 7.849880857091748876e-01 2.421112805454808115e-01 2.096203528758581319e-02 -3.955300586158488896e-01
1.071575207588982559e-01 1.121170230521248978e+00 2.003687790697923354e-01 2.349230064511426130e-02 -3.934027911724350401e-01
1.028518326581053660e-01 9.952815623746353868e-01 2.001625464506453511e-01 2.333872307635162860e-02 -3.587838957865224776e-01
1.134652033152194206e-01 9.572166587760662093e-01 2.490561335521088715e-01 2.136921510226891599e-02 -4.315013538127897563e-01
1.089672970448884726e-01 8.683086566463755762e-01 1.898308964100849927e-01 2.430279901131074047e-02 -3.642356658576972883e-01
1.039420037126059099e-01 9.279294058359776054e-01 1.825337801007751448e-01 2.482560357708386845e-02 -3.569470327116072150e-01
1.048917240731427891e-01 8.423959620091342471e-01 1.966046232018914264e-01 2.333749017474759380e-02 -3.738356349108949983e-01
1.254076109177293397e-01 9.369924877384704365e-01 2.276381972474523785e-01 2.112378627975596002e-02 -3.635814749912684718e-01
1.022079438876316859e-01 9.595945927357035776e-01 2.100293724257884520e-01 2.314119526035495270e-02 -4.011655794633345318e-01
1.081998204675967273e-01 9.132754556128502843e-01 2.282930526508357705e-01 2.223808506278047992e-02 -3.981971492562779158e-01
1.043770637157797748e-01 8.254807760671214467e-01 1.627568906312801822e-01 2.570916277049978618e-02 -3.554934306066593885e-01
9.352770801931709066e-02 9.292014400831088983e-01 2.271005789505222694e-01 2.227207837509017491e-02 -4.111052576773627232e-01
9.463470334244897253e-02 9.022140554082908048e-01 2.061624944786812907e-01 2.302748838360197531e-02 -3.714582849983363300e-01
1.065970532538773746e-01 9.845815300829665606e-01 1.758745034195403623e-01 2.461002759123422090e-02 -3.523903341946025281e-01
8.865958038398602525e-02 8.819640599953468829e-01 1.868227628083707348e-01 2.397542969665149293e-02 -3.610192286636513259e-01
9.497035672133652406e-02 1.032624214004852270e+00 1.896648402955323220e-01 2.435933474151611572e-02 -3.577469671045385713e-01
9.882174376968280716e-02 8.557337352310895318e-01 2.276471191040363440e-01 2.175056914574824071e-02 -3.757536584559247883e-01
9.885516114301781676e-02 7.716260983387306371e-01 2.028354515287762450e-01 2.348206833699158572e-02 -3.769970933579647188e-01
9.728443842241545070e-02 8.808012190650940099e-01 1.902634553289017649e-01 2.396100810595842498e-02 -3.464741805928912566e-01
1.114225856276390980e-01 1.033237196060545537e+00 2.057084260914723295e-01 2.331756911597688067e-02 -3.807269950048957075e-01
1.277069672060236194e-01 8.724255854600603266e-01 1.951032738595563920e-01 2.381458566969994750e-02 -3.735410798527020182e-01
1.087555968312941684e-01 8.039567769114477347e-01 1.721506422366967382e-01 2.453697872534779667e-02 -3.552756220398531894e-01
1.016201163565142590e-01 1.220901375372358544e+00 2.448760391717439422e-01 2.159150315209048751e-02 -4.179171227136714295e-01
1.114364264039671426e-01 8.216889876148180116e-01 1.949123266598762338e-01 2.420978883553473113e-02 -3.890965620777140366e-01
1.107521270852993428e-01 7.464535206197507877e-01 3.307363311964461872e-01 1.849230990240225900e-02 -5.256081862430641571e-01
1.027428640546544508e-01 8.903024099837147931e-01 2.311736470741936333e-01 2.125102462973981615e-02 -3.942324765029139311e-01
1.069057349317010380e-01 7.389097501394836787e-01 2.132228431615963427e-01 2.261722669012670647e-02 -3.793864410447631563e-01
1.028694231886871507e-01 8.239668921443903393e-01 2.109978486985248924e-01 2.261752749273266208e-02 -3.801147747030895196e-01
9.954448238931531967e-02 1.093208213718365851e+00 2.111169261655243545e-01 2.296809924301348657e-02 -3.698522809315683002e-01
9.529709084032263189e-02 1.008870211396064365e+00 2.155814158532856073e-01 2.288403895609710664e-02 -3.848448914164005474e-01
1.009787442670864316e-01 9.061844149180720009e-01 2.499801396136462905e-01 2.106696063351916337e-02 -4.112637462982898784e-01
9.349882920029230216e-02 9.130147149008029928e-01 2.144527895503676174e-01 2.265292229261594431e-02 -3.711835011603161760e-01
9.929470205732193744e-02 8.653619529583316261e-01 1.795159590420818407e-01 2.474752572215348223e-02 -3.558707183285516606e-01
1.053777695516317919e-01 9.682761205831175166e-01 2.322943361296729847e-01 2.199686401251162160e-02 -4.122612634347135874e-01
9.858848684854144839e-02 9.378693128511171873e-01 1.872747335343682984e-01 2.420821784467861934e-02 -3.755836976135551453e-01
1.058906344003542471e-01 8.699532606002907675e-01 1.875976329262873943e-01 2.398664961424310307e-02 -3.547308557664382578e-01
8.782453208735974126e-02 9.467321978741961574e-01 1.993941425732330686e-01 2.402290656796669116e-02 -3.931576196614240404e-01
1.224213189750824465e-01 8.805083507662345710e-01 1.765207584216588188e-01 2.606764874399574924e-02 -3.516028251373313207e-01
9.548577598131288702e-02 9.950871815828750133e-01 2.342749989041632563e-01 2.130455210437472505e-02 -3.910749251416251182e-01
9.150124732599579369e-02 9.627657179352995254e-01 1.981329593722220839e-01 2.368362131234017995e-02 -3.831041617606166794e-01
9.987134876391555449e-02 9.294915003890733551e-01 2.075814190865439279e-01 2.270786520410689180e-02 -3.478132869931539473e-01
9.734813155598420753e-02 9.174151369115668420e-01 1.783754018787482298e-01 2.484640974594010121e-02 -3.513179538865550677e-01
8.490669201163839053e-02 9.319873244035008497e-01 2.176946040192786480e-01 2.225981136331208615e-02 -3.909675938070431567e-01
9.079035397290985410e-02 9.319399000339646522e-01 2.189262517619352533e-01 2.189092199601217273e-02 -3.596378669151129026e-01
1.030658024872667528e-01 8.662481641783348341e-01 1.955553556081315314e-01 2.353205530925855937e-02 -3.544876025039629397e-01
8.872278476704939520e-02 1.011126734788126758e+00 1.999994557675630613e-01 2.377148672325010703e-02 -3.856945957641308986e-01
9.978743382850076282e-02 8.564758214703155348e-01 2.187765016479301661e-01 2.232685387037647989e-02 -3.721692875032011072e-01
8.694476221398871052e-02 9.083291219366623759e-01 2.247090387585715110e-01 2.230055403696987529e-02 -3.857374178738582904e-01
9.701170776149559138e-02 8.986981210882899473e-01 2.003058549741323358e-01 2.318763381486612513e-02 -3.508336076763731715e-01
1.084755884652604668e-01 9.381325030382041685e-01 2.730206629992490974e-01 1.974538961442253923e-02 -4.285104231864016455e-01
1.115787591651064420e-01 8.499484938579514592e-01 2.042406982942435167e-01 2.323416962842803773e-02 -3.738937624303697582e-01
1.107111934501755351e-01 9.248338608009182282e-01 2.349385478087115953e-01 2.166122845566569033e-02 -4.137608067851065163e-01
1.057163736916654773e-01 8.887672625749336586e-01 2.606396697786976802e-01 2.049281144007237751e-02 -4.178557994776486151e-01
1.149152106363029030e-01 9.529496772658739845e-01 1.718393034642331507e-01 2.563019953245709859e-02 -3.540712982504234940e-01
1.019367577739569569e-01 1.065408951361065171e+00 2.319128860313526275e-01 2.125068863141047967e-02 -3.715348840007794973e-01
8.998249200006717963e-02 9.072407976724489176e-01 2.566371530948605706e-01 2.073359123504029886e-02 -4.222965589540923492e-01
1.045694865418254210e-01 8.199909946263281846e-01 1.900605894741318469e-01 2.411729173978974586e-02 -3.693057792712078902e-01
9.801604046369599699e-02 9.089712883434017954e-01 2.390617601969164951e-01 2.136901392853740936e-02 -3.905319809842263679e-01
9.073021055822798331e-02 1.099738355277580570e+00 1.882837075798156068e-01 2.445068531770707917e-02 -3.557411439428883604e-01
1.238777713680964954e-01 8.150686187414540873e-01 2.183033280809310028e-01 2.264607870056902297e-02 -3.704334573055628743e-01
1.042522214624711507e-01 9.027402654915599456e-01 3.123348859920447307e-01 1.868363132116195036e-02 -4.561921553714316513e-01
1.177091635124197372e-01 7.456909797852673272e-01 2.099197597566910822e-01 2.320297007100410869e-02 -3.672910289662610905e-01
1.003861714309707553e-01 1.019174256565847259e+00 2.643840496621572278e-01 2.011009963510295914e-02 -4.289375112729519879e-01
9.767681160098945492e-02 8.901681082854671079e-01 1.932702773068966096e-01 2.375979810707439660e-02 -3.560762828622330289e-01
1.069768504157766337e-01 9.330897063033211092e-01 2.388313746060732878e-01 2.133903834010283246e-02 -4.125040810601217078e-01
9.867446316757946811e-02 7.682409906390376131e-01 1.956614473573159430e-01 2.405089604308404891e-02 -3.757847997362194770e-01
9.425314716060312348e-02 8.902585812200052295e-01 2.318334833329471767e-01 2.181244192280346744e-02 -3.780384223723394221e-01
9.790452655431521045e-02 1.033071793327065890e+00 2.085546303732481732e-01 2.345424861480205347e-02 -3.790130773417811350e-01
1.050649238996158447e-01 8.871252081110430066e-01 2.499874973622062679e-01 2.125775336128037096e-02 -4.215893762179879767e-01
1.079506398003225731e-01 9.316406335133808891e-01 1.891066083096344386e-01 2.394250659817491814e-02 -3.490315404364594531e-01
9.168406023390418547e-02 7.832489030646170303e-01 2.165183737711660061e-01 2.293231998144863032e-02 -3.875366066972093515e-01
1.140842293559750642e-01 8.311271633151677829e-01 1.593935694842445461e-01 2.636598891632492558e-02 -3.565755833851672607e-01
1.125816768944297719e-01 8.502596007018652369e-01 1.870176202549096445e-01 2.419873904780931936e-02 -3.782329288136355716e-01
1.133626849203901304e-01 9.059770414473973243e-01 2.523094601246345103e-01 2.060350165982254705e-02 -4.229965082116295960e-01
1.074383176133184015e-01 9.642075662485938281e-01 2.554805020685311234e-01 2.073274697867455788e-02 -4.228245405112280864e-01
9.312420831419450373e-02 1.177458840071121449e+00 2.507610004761431366e-01 2.142152866055402685e-02 -4.316233261882770345e-01
9.847676920837275527e-02 7.840271244223501190e-01 2.331268150608483136e-01 2.132828464475916563e-02 -3.750933824840376740e-01
1.149961032533377836e-01 8.415520329414785117e-01 2.311185946774843014e-01 2.168416715333226427e-02 -3.852096022602492509e-01
1.329951631267943801e-01 9.029910975379329408e-01 1.793475207077439570e-01 2.463902820833474908e-02 -3.524463128706126769e-01
1.089714457988726487e-01 8.514844528251480638e-01 1.995687106507049169e-01 2.296256566143056732e-02 -3.743916682122497841e-01
1.030241048054927472e-01 1.045784511092535896e+00 1.898773044539567856e-01 2.403622908251785290e-02 -3.598503823053553763e-01
9.104556422240789315e-02 8.924713122894325501e-01 1.801873090721164417e-01 2.486103303557425648e-02 -3.425479753259801363e-01
9.136791612712366617e-02 9.377329054675389575e-01 1.975135032104091692e-01 2.402488853107918182e-02 -3.863521727841431330e-01
9.475076625335317193e-02 9.519920381776779683e-01 2.576048417536374036e-01 2.074625866133771729e-02 -4.349389440701926235e-01
9.912024363189739229e-02 9.145920850701663163e-01 2.425731997905851145e-01 2.159706244709008044e-02 -4.183588745527626607e-01
9.225236593288180242e-02 7.733655253622262471e-01 2.266364757009005082e-01 2.174972944420932100e-02 -3.766865862476562743e-01
9.791631638547404481e-02 8.526587709920835367e-01 1.780166639670777151e-01 2.476843922633963774e-02 -3.643497504036807833e-01
9.451559169980852659e-02 8.940747675823217389e-01 1.963717160957669794e-01 2.351232605538142867e-02 -3.698789977389397299e-01
1.204875543015616612e-01 8.662242535332218552e-01 2.234962902619879177e-01 2.164767789351264293e-02 -3.828319646190443404e-01
9.610746390334098943e-02 9.479466244804219954e-01 1.647613198549988667e-01 2.618153923601066954e-02 -3.559080751960755906e-01
9.474401480369550044e-02 9.854516238036252762e-01 2.612784605500946267e-01 2.033694709571234188e-02 -4.129241175642871520e-01
8.143866355045328853e-02 1.124784494036985327e+00 2.034929841641519577e-01 2.322917199822140816e-02 -3.738305090081749382e-01
1.027289531548024049e-01 8.888652073006366727e-01 2.084061594292754283e-01 2.317875456373551593e-02 -3.868690624244309761e-01
1.048043138492835424e-01 7.490453569212420781e-01 1.678392818466978298e-01 2.516088879966814351e-02 -3.331700698298529773e-01
8.636213509278307943e-02 8.530557575043717922e-01 1.918693813116241209e-01 2.373541385785014543e-02 -3.642820662493175821e-01
1.059461940018071729e-01 8.355107461153797876e-01 2.277470231242471055e-01 2.201627212558610741e-02 -4.000435948675131748e-01
1.287606723461529878e-01 8.386740585333172238e-01 2.383150991731386448e-01 2.217142714354930488e-02 -4.191584370216697719e-01
