sigma l c d e
9.087750244590393767e-02 8.293391959590024065e-01 2.608086239344094004e-01 2.042307231053099720e-02 -3.992671144517165871e-01
9.354000627702260817e-02 9.939125357122278182e-01 2.154661719026662592e-01 2.242671244116624385e-02 -3.837922775767682593e-01
9.878430320279099619e-02 8.653942173141608851e-01 2.139243311038969697e-01 2.209332914362705305e-02 -3.662329438810109083e-01
1.121235967766952002e-01 9.012002960818290553e-01 1.748813350009341683e-01 2.489523509317916744e-02 -3.163652252761947059e-01
1.122746527848299258e-01 9.411510154402942252e-01 1.970786095126670912e-01 2.425902108341320904e-02 -3.681198217719175991e-01
9.479362935327544093e-02 9.822750247475618979e-01 2.190824730686262711e-01 2.256248522529453321e-02 -3.775184136231514165e-01
1.098364542865000737e-01 7.201118410743876375e-01 2.711799268096966031e-01 1.976971363079395999e-02 -4.452856271706842062e-01
1.018442424711470673e-01 1.167154487453383682e+00 2.202310291950295706e-01 2.211898659343352128e-02 -3.777368364344328988e-01
1.030535532935987486e-01 9.581855844197360028e-01 1.760113877872544474e-01 2.530102441003290528e-02 -3.626763430317010428e-01
1.030913949565241822e-01 9.644651390589477069e-01 2.117011644637318835e-01 2.323989723878129229e-02 -3.817213695729494427e-01
1.083860124631850913e-01 9.349434643773459896e-01 2.393862811778464383e-01 2.173784614042348351e-02 -4.188656866764354225e-01
1.217852570110645599e-01 8.298768719105680258e-01 2.721687967819041987e-01 1.970221503852777334e-02 -4.503339831088356560e-01
1.003085759199476706e-01 8.565329786416796543e-01 1.820455726010119513e-01 2.539027575942302481e-02 -3.923920013082921043e-01
1.065722385131677996e-01 9.063644592079111995e-01 2.084653129115983106e-01 2.262364138508106068e-02 -3.552541021462075621e-01
1.095480270136609258e-01 1.147230345053368961e+00 2.614968844375766821e-01 2.016497119004154528e-02 -4.339375543617455255e-01
1.072360464228876709e-01 7.039715356061835294e-01 1.639143332527803754e-01 2.654165100874676317e-02 -3.699775860327156884e-01
9.332932868195574494e-02 9.051571977061939611e-01 1.918584346637581817e-01 2.375985980927404137e-02 -3.770719027120226219e-01
9.565043331839774565e-02 8.346885644471707666e-01 2.043430666550258845e-01 2.279939987347727112e-02 -3.687367773053892295e-01
9.004711098667474156e-02 9.930019824000752005e-01 2.066069909433765339e-01 2.320959383189821409e-02 -3.766521330848634497e-01
1.076124708444429201e-01 9.352729616523870471e-01 1.928704102473315363e-01 2.357563488280711023e-02 -3.437867528124585181e-01
1.024838890044781903e-01 8.255680785124042131e-01 1.590909633758348374e-01 2.557251478898664096e-02 -3.159249823898991894e-01
1.029935408994283041e-01 1.101385543429971525e+00 1.943457670250827718e-01 2.363917756854014285e-02 -3.416580588307335242e-01
1.111477437431340892e-01 8.415760203656039717e-01 1.831560908249829644e-01 2.408846734650151034e-02 -3.598780607970282208e-01
1.011619452160840427e-01 8.535796745649497641e-01 2.243023860952719772e-01 2.208619896000195426e-02 -3.869070479547599417e-01
9.525706488437511721e-02 8.527131147964499558e-01 1.804095354508528093e-01 2.423370578805035883e-02 -3.544982811402455081e-01
1.052239994096943326e-01 9.278969816429505357e-01 1.671163244990041541e-01 2.468876853208876870e-02 -3.125413545672168780e-01
9.731249890642430789e-02 8.683319272448299930e-01 2.725269687882418967e-01 2.054931456351927546e-02 -4.480822008313186666e-01
9.525014548063770459e-02 9.213610541283596689e-01 2.636548976208605843e-01 2.060800863544952691e-02 -4.362557563985298703e-01
1.048688289195745804e-01 9.043371127746488991e-01 2.001461266759085866e-01 2.387460579565311297e-02 -3.602256004699193603e-01
1.021460043859478972e-01 9.631791401849214562e-01 1.707799449577926953e-01 2.494462004018357243e-02 -3.289235495168946199e-01
9.941732408287688727e-02 8.841595541699340810e-01 2.126736549763783568e-01 2.238117906502261681e-02 -3.838497980403537957e-01
8.590124421354465578e-02 1.062147875499518390e+00 2.489461013621183660e-01 2.086292907465139498e-02 -4.075680524148640460e-01
8.939903552028428957e-02 9.808960888783324616e-01 1.954083803979327350e-01 2.375692530470335795e-02 -3.647271278744859124e-01
1.008455587238865081e-01 8.172700881882608570e-01 2.347436124276292002e-01 2.192253989804305442e-02 -4.021222932850908593e-01
1.140866101422715051e-01 8.067480085782986476e-01 2.141517077803309910e-01 2.318955131883546766e-02 -4.117672856831984252e-01
1.017908261443238871e-01 9.576909807540405772e-01 2.471773889110746580e-01 2.099876014993683898e-02 -4.273712968576510729e-01
8.987757755416919681e-02 9.053663839933078217e-01 2.129504070528525084e-01 2.330604907518324387e-02 -4.033281861994966189e-01
9.941628191919522906e-02 1.201663162392994755e+00 2.132966714302875211e-01 2.325011021046857751e-02 -3.850185532257824894e-01
9.538826180470871829e-02 9.994026766214685331e-01 2.236127106964767020e-01 2.192712237561408178e-02 -4.157940901055999783e-01
1.025077098712653678e-01 8.788131500657239137e-01 1.725460978415918056e-01 2.581579696802568241e-02 -3.571111836799794048e-01
1.060045205433970683e-01 8.512204820809898820e-01 2.069637419304615200e-01 2.313598452405931857e-02 -3.773573543318313739e-01
1.159448155158585014e-01 1.052810848956711176e+00 2.937677440693557962e-01 1.892706957601818576e-02 -4.256016451951956103e-01
1.031158998418773010e-01 7.971867004000228185e-01 2.535112593192769825e-01 2.029320247957913312e-02 -3.777738110745570976e-01
1.003581700701670493e-01 8.311528337190918769e-01 1.920807871741236905e-01 2.396697517438031028e-02 -3.757388976544097092e-01
9.370636643327955040e-02 8.493508423962776721e-01 2.264012789487894750e-01 2.238804184945088205e-02 -3.919672174710673307e-01
1.151543436830566036e-01 9.735357787283247522e-01 2.707033317323983557e-01 2.055964631033718043e-02 -4.366142549761242719e-01
1.116634295583272263e-01 1.104009483909424549e+00 1.642810917607158139e-01 2.563203785652863609e-02 -3.250352588473620630e-01
9.450501538879059471e-02 1.052767829899638352e+00 2.212634876302914666e-01 2.214582129870263164e-02 -3.784453390915034632e-01
1.203124643737764621e-01 8.841589471915545229e-01 2.011122191320435793e-01 2.373642422364317245e-02 -3.880484213130981352e-01
1.167893240274022332e-01 8.931549311718828266e-01 1.940791189910358039e-01 2.358083557477988479e-02 -3.645684627340674000e-01
1.135443115544647191e-01 1.023241797820912957e+00 2.581470766984033105e-01 2.087101371757946883e-02 -4.129419994013900919e-01
1.036449889932151286e-01 7.730453588613017679e-01 2.521840180902823469e-01 2.103182850793917924e-02 -4.324075791145414183e-01
1.040447691525879653e-01 8.161165138754791215e-01 1.992792463813199966e-01 2.307841270546336782e-02 -3.415425246702850082e-01
8.373687999448167774e-02 9.112174177566265687e-01 1.691746567799810030e-01 2.626698719063267143e-02 -3.634788534291618634e-01
1.120708042739829297e-01 8.586247386165264395e-01 1.578565491919625696e-01 2.617417199629948690e-02 -3.145194508912433351e-01
1.070759273244517862e-01 9.234284109645183314e-01 1.827629908018075788e-01 2.459631904815549885e-02 -3.424757466936595440e-01
9.527009325465334022e-02 9.144556757911133094e-01 2.205484010840634834e-01 2.237342477950112624e-02 -3.864850364787485448e-01
1.010361179144408927e-01 9.195160994228095408e-01 1.706245879957035694e-01 2.497858957379914951e-02 -3.371826093603408347e-01
9.911900855631237961e-02 8.507190649759288625e-01 2.096284958952698840e-01 2.302323364868577582e-02 -3.799133076964456013e-01
9.767512170361425383e-02 1.023829353038714141e+00 2.731508190449718487e-01 2.008629911402885770e-02 -4.386812239558286475e-01
9.867237986796754956e-02 8.250742243449771252e-01 2.229187410330213392e-01 2.218791413912702196e-02 -3.857696896566329414e-01
1.015045236746877633e-01 9.084645038932983585e-01 2.550565605155099558e-01 2.058703684118784807e-02 -4.149676129183218487e-01
1.084059723083084098e-01 9.079515219754447086e-01 1.711973894070686342e-01 2.458898618068421082e-02 -3.063782981333589284e-01
8.865761845773650895e-02 9.313796661252747855e-01 2.225536635824243437e-01 2.192469632470313290e-02 -3.764866101830297573e-01
9.654723558233933856e-02 9.791443978778853197e-01 2.056043794473076947e-01 2.309181937940705739e-02 -3.762188199402812794e-01
9.998577386067979134e-02 8.775698876982593877e-01 2.294661312551999899e-01 2.142733373321292420e-02 -3.986399500448138955e-01
1.019475719414242171e-01 9.523260172006813296e-01 2.812662685038005428e-01 1.945609774895206909e-02 -4.477756883697607826e-01
1.071968726554166224e-01 8.500985640537315202e-01 2.438816874307345728e-01 2.120180267787423120e-02 -4.271515118192915628e-01
9.214323286428874327e-02 8.775475296732433428e-01 1.923067570439547236e-01 2.361478070630866274e-02 -3.520693925219375853e-01
1.062623859945112520e-01 7.222417430861616250e-01 2.258847289964520666e-01 2.180200933970235719e-02 -3.744232798630027226e-01
1.062260935704789355e-01 8.690484451096360807e-01 1.866247681566639560e-01 2.467265488699004264e-02 -3.589365129553394596e-01
1.057304338470962529e-01 9.922441496263457728e-01 2.457873082546335741e-01 2.122982655709575520e-02 -4.199438117921170388e-01
1.047817223082614518e-01 1.093002399602097441e+00 2.412976095084136130e-01 2.181377657301576331e-02 -4.148633771592711295e-01
1.033829707634594114e-01 1.056038440420795199e+00 2.110194445459945278e-01 2.266022060042305677e-02 -3.620306249206891591e-01
1.074782278512895345e-01 8.690651878318547130e-01 1.931812437618172229e-01 2.398219208023264631e-02 -3.702593810396455076e-01
1.055977640641357074e-01 9.881794108627379725e-01 2.131189600377967341e-01 2.295851554907078762e-02 -3.792841861698236228e-01
1.002677181666807305e-01 9.533977434156313269e-01 2.982313806348755314e-01 1.906837753553811132e-02 -4.701537788055041300e-01
9.373979041989954908e-02 9.961981746717796238e-01 2.106010277595007363e-01 2.238456726428778021e-02 -3.835872808359888086e-01
1.009027984214487250e-01 9.508442685472823230e-01 1.906656967927078394e-01 2.365684656653830112e-02 -3.454675446556102480e-01
1.012110608554291358e-01 1.071697851969781512e+00 2.081697895565779444e-01 2.312754017713677251e-02 -3.935155681867253952e-01
8.653688832705497269e-02 9.690436322901624377e-01 2.595892395073198244e-01 2.052967673530664908e-02 -4.248282030730413661e-01
1.057030281085866441e-01 1.154541716603518342e+00 1.947965228150390082e-01 2.352763763955197443e-02 -3.665509288506894059e-01
9.849271853556859635e-02 8.198500502272304535e-01 2.054937941991574757e-01 2.297839940293139316e-02 -3.557166037653246571e-01
9.323705777572761921e-02 1.031221112534255635e+00 2.181582491565279280e-01 2.238773923038198804e-02 -3.721218075270824599e-01
1.008019766431762776e-01 8.201955570138421692e-01 2.072695045019106175e-01 2.261825951376444238e-02 -3.624960688212941484e-01
1.083062492188792830e-01 8.276675962760917660e-01 1.906944540656736464e-01 2.379196153710078435e-02 -3.692527872223883012e-01
1.014392070934632822e-01 9.445145954631449792e-01 1.832000086498450919e-01 2.408803737075751461e-02 -3.523717219540956069e-01
9.903910285776883204e-02 9.796573171432458871e-01 2.326058202102208039e-01 2.149697922603305625e-02 -3.824287551760716664e-01
9.790771846340040607e-02 9.758575636433391987e-01 2.021371530595583721e-01 2.314725422396194873e-02 -3.637427807640359889e-01
9.674199789031560914e-02 9.321589022467930974e-01 2.505761131367876260e-01 2.140738868810286230e-02 -4.313385070181999792e-01
1.091323031092042706e-01 8.916055947722106856e-01 2.321543787628417288e-01 2.154174555266607713e-02 -3.818694871915471190e-01
1.057514568760207913e-01 9.358829925254192883e-01 2.011558358750924480e-01 2.311594481780841065e-02 -3.724753652934892356e-01
1.001085268429683511e-01 1.020566792328100991e+00 2.555384892153775844e-01 2.077974996184851764e-02 -4.176506849731371762e-01
9.871894316726496921e-02 1.049240496098704734e+00 2.062567853279089203e-01 2.313615380055291867e-02 -3.888831104345186196e-01
9.464834738719037077e-02 9.561617437298035593e-01 2.373788505711940111e-01 2.130712248962632685e-02 -3.970130287280629888e-01
1.059614692544786907e-01 8.552235327808102028e-01 2.553425247578631208e-01 2.072950207382447119e-02 -4.165868103552428092e-01
1.044623449422719258e-01 8.333545511178908072e-01 1.963166892759053983e-01 2.397914191957527946e-02 -3.940551108173881989e-01
1.125132793066234010e-01 1.014887809632781135e+00 2.086954939247205321e-01 2.306821439505881560e-02 -3.543643567892372781e-01
8.616055972548825048e-02 1.028179479243706451e+00 1.931715022342366250e-01 2.345128909190480684e-02 -3.714584660143330774e-01
1.029610788848927677e-01 8.906913601505699329e-01 2.902331677348994887e-01 1.915791930998527251e-02 -4.604382291511823766e-01
1.046966865527374779e-01 1.048100966926350353e+00 1.955128949116564652e-01 2.353909243582008592e-02 -3.523256590846286507e-01
9.499316921136578828e-02 9.171765016607400511e-01 2.077248443182309057e-01 2.341635636832462009e-02 -3.921467895305895679e-01
1.054855685609671218e-01 8.975291905331501674e-01 2.106648630301926062e-01 2.270298740468703474e-02 -3.650269045255876144e-01
9.858727325121478813e-02 1.011137338973828514e+00 2.311312921909756124e-01 2.182172691914219947e-02 -3.756538075447911629e-01
1.073785374201973036e-01 8.941969943855326841e-01 2.079074812236627601e-01 2.366090810994739627e-02 -3.833489650601642484e-01
1.097805876975373324e-01 8.700573292037306894e-01 1.911644637891609655e-01 2.416353598037691841e-02 -3.627947703274859714e-01
1.022786247295284362e-01 8.210964091373746943e-01 2.119465324753107005e-01 2.279381406577913119e-02 -3.932009454590222886e-01
9.888403841756233936e-02 7.980374546510298206e-01 2.931279410127298757e-01 1.956747132907117603e-02 -4.657488789217490988e-01
1.027499188966250337e-01 9.037166484713872183e-01 2.134941337423401642e-01 2.241079431760195639e-02 -3.708408989074756246e-01
1.032689456878870399e-01 9.291849378152863270e-01 2.497378978268627314e-01 2.067503200407123931e-02 -4.093358951920188504e-01
9.550696261200912474e-02 1.052956629159818691e+00 2.315153440317372358e-01 2.220282209339458773e-02 -4.284324234277210319e-01
1.139775628372805133e-01 9.763152334827106538e-01 2.073522371157288102e-01 2.377267545915669883e-02 -3.924348986734171874e-01
9.329240933190764695e-02 8.722603909185420168e-01 2.147302574132816666e-01 2.305276057069525000e-02 -3.885671936430199480e-01
1.126112958862341140e-01 8.944225125850114866e-01 2.382271992008386796e-01 2.146877760046564387e-02 -4.127382066207749833e-01
1.164307473113220803e-01 7.827846438286579778e-01 2.801842236115210660e-01 1.933517084686489640e-02 -4.457630592783730084e-01
9.849327696991831693e-02 9.564947133197139184e-01 2.382302823998032615e-01 2.136490550229324520e-02 -4.268601993639765668e-01
1.028340565911199933e-01 9.072890769901975627e-01 2.162481916351612909e-01 2.276901585046070889e-02 -3.781001342951961774e-01
1.097881187145753334e-01 8.439782253790827360e-01 1.895982305036720827e-01 2.479386479351578659e-02 -3.749727601766904561e-01
1.057650887666540668e-01 1.125348168765727630e+00 2.865003878766616552e-01 1.951613543956155078e-02 -4.418305319006028409e-01
1.101809014707165330e-01 8.792020783954210827e-01 2.354482410102096690e-01 2.181974467220696573e-02 -4.030629644448250337e-01
9.805001616306684153e-02 1.195394811117930889e+00 1.800174069544728805e-01 2.474331443219312393e-02 -3.610418422756015433e-01
8.412200469391650781e-02 9.378357396306955529e-01 1.793491220290670540e-01 2.448823640988976105e-02 -3.562230939456949574e-01
9.026236319731070767e-02 9.337184802216347279e-01 2.513310002205710880e-01 2.110565342673318204e-02 -4.272287035988063808e-01
1.091472510322228640e-01 8.107727308372080222e-01 1.843894176755611625e-01 2.438949659365033037e-02 -3.552677016218355188e-01
1.275735311087930479e-01 9.883751760928116692e-01 1.686918969786148637e-01 2.523202103013951966e-02 -3.587836159677204595e-01
8.899261617616278930e-02 8.621358031880117512e-01 2.971353946748018782e-01 1.903620368559775372e-02 -4.659846805232471523e-01
1.070813751678679621e-01 8.603073442606101739e-01 1.843954323699688036e-01 2.482401317729783854e-02 -3.662950616555783467e-01
1.026801474237687972e-01 9.351907498569117516e-01 2.603045269204518064e-01 2.036371706872554949e-02 -4.139510590943212831e-01
1.159359802390207556e-01 7.896180725000689904e-01 2.478880743113365259e-01 2.090420995095074522e-02 -4.242810515228486734e-01
1.218990093940895414e-01 8.868636391153310594e-01 1.633105478229612828e-01 2.542093173515024701e-02 -3.367097735286883609e-01
1.017775698516994176e-01 1.069649603310583119e+00 2.667968797143267512e-01 2.037045896996282288e-02 -4.552698551546099370e-01
1.070160257986680630e-01 1.056376250750184154e+00 2.377978298678722346e-01 2.144863731150223676e-02 -4.270455852133695496e-01
1.105205144180091970e-01 1.000485902297555185e+00 2.311494201620647448e-01 2.183366029809129250e-02 -3.903556393631251176e-01
9.577995901110900046e-02 9.516776809423781458e-01 2.308126653028617081e-01 2.144663081081799039e-02 -3.815974845474813248e-01
8.864326878574177448e-02 1.070277775040913371e+00 1.622224584403388903e-01 2.584351586975639631e-02 -3.344878276690943508e-01
1.105589728857658133e-01 8.876062966179003588e-01 2.368590123065028585e-01 2.198901678059215353e-02 -4.327075946405285478e-01
9.426379476872648322e-02 9.821772442368306155e-01 2.300916532959345062e-01 2.219081012238020845e-02 -4.172344633066713548e-01
1.090973841891801632e-01 9.848277173885053859e-01 2.487787607851104088e-01 2.037871472203331424e-02 -3.980359823047063816e-01
9.712255150257313729e-02 1.045929132428209618e+00 2.001262040225937344e-01 2.322650389931628714e-02 -3.404787941355793546e-01
1.030616246390737983e-01 9.521045656386188938e-01 1.833277231771190952e-01 2.414851764766044045e-02 -3.555838964187277851e-01
1.004181555218131294e-01 9.034523524287073615e-01 2.059292016347673560e-01 2.318335179395216231e-02 -3.598352866995532251e-01
1.139249223959052926e-01 9.121856602681090997e-01 2.601104572490280376e-01 2.044124247904947206e-02 -4.222002250953765801e-01
9.005566666769988793e-02 9.764638157770773041e-01 2.399758472119097874e-01 2.151261954780764665e-02 -4.031753591395039749e-01
1.041932358394070390e-01 9.280331954910079340e-01 1.217722497182200936e-01 2.894244635154991085e-02 -2.611576392670691416e-01
9.702479868213655101e-02 9.702581636387819231e-01 2.024889440744099822e-01 2.344755534146115289e-02 -3.875222742244069929e-01
1.039307260435467783e-01 8.429873133209704328e-01 1.577506574610390011e-01 2.588116218094467860e-02 -3.177459798291502047e-01
1.079593046746244317e-01 9.028206638172209253e-01 2.109744933091444175e-01 2.289598867605208837e-02 -3.880312864279342744e-01
9.252472751475937507e-02 8.670541761574251938e-01 2.191390657982950074e-01 2.225752308615369657e-02 -3.858860505966966725e-01
1.050171368077517375e-01 1.197436770775140547e+00 1.810493573931495348e-01 2.437079483555780468e-02 -3.535053325517159006e-01
9.006759392054999869e-02 9.184044384648943904e-01 2.533205773415208029e-01 2.090377574187802720e-02 -4.167503778052245034e-01
9.697855119472476026e-02 8.196665013751960327e-01 1.731959051568179309e-01 2.535104645867055848e-02 -3.305778618127790391e-01
9.881659565591338623e-02 8.589226287731013265e-01 1.838552030433826534e-01 2.435252997345787457e-02 -3.586123192527550518e-01
1.107011100892376920e-01 9.100256452803844320e-01 2.041528924131887912e-01 2.288278706623563322e-02 -3.428901318380824792e-01
1.070443113670662694e-01 7.342530608902043676e-01 2.162691832247753965e-01 2.335668490362140942e-02 -4.023390807719171569e-01
1.140321811734362062e-01 8.403061101954401035e-01 1.894589232342280827e-01 2.380290665656696614e-02 -3.695947223091690104e-01
1.176840214575986393e-01 9.107409892618212321e-01 1.867296930902428986e-01 2.436832522569790799e-02 -3.671828569931627761e-01
9.751778262510918394e-02 1.052914058840836553e+00 2.159274371441473050e-01 2.272668735418612723e-02 -3.971583202358386355e-01
9.986756065398297300e-02 8.729318895913367182e-01 2.095128344685439625e-01 2.232332086646172248e-02 -3.512357171033508862e-01
1.107760094335915740e-01 8.826965318895407808e-01 2.272221328678920571e-01 2.226199552274003846e-02 -4.197469379784465326e-01
1.165047493665690298e-01 7.659210362207578005e-01 2.411130926494782223e-01 2.153792378033420399e-02 -4.190223065001384972e-01
1.045086049901953890e-01 8.963626425907504913e-01 2.132694543143807131e-01 2.275102851958586692e-02 -3.718655629695163389e-01
9.994065605478795467e-02 8.925729104136848058e-01 2.460168441046999277e-01 2.083274894430296384e-02 -3.937782742303036487e-01
9.749042252001344222e-02 9.855652460889612332e-01 2.319347711920145549e-01 2.199597464490404483e-02 -4.086970439490125173e-01
1.015748702684703408e-01 9.999056226681377613e-01 2.179069685449628313e-01 2.179421697152419263e-02 -3.577362233797701796e-01
1.097625867596603716e-01 8.739767428022082729e-01 2.114447588036965087e-01 2.258277238417492200e-02 -3.799937934014733232e-01
8.326945183271451667e-02 8.719710865212764173e-01 2.246223024973617033e-01 2.209808552432554127e-02 -3.903526992130876838e-01
1.062219746872687387e-01 9.864663925369769881e-01 1.801966013165507974e-01 2.466818342955418714e-02 -3.461265046261932099e-01
1.015238416737781618e-01 9.568638543901943905e-01 1.796529737370331503e-01 2.483305013204576903e-02 -3.454605366198277849e-01
9.645952596328595530e-02 9.463116228740933167e-01 1.850990810294066424e-01 2.382920617510238259e-02 -3.496998935953403720e-01
9.249565008624179019e-02 8.162550481800389113e-01 2.384391959795384430e-01 2.144879288159042691e-02 -3.985185728474586186e-01
1.057650887666540668e-01 1.125348168765727630e+00 2.865003878766616552e-01 1.951613543956155078e-02 -4.418305319006028409e-01
1.008667961813469599e-01 9.413934921724532723e-01 2.187171264035219220e-01 2.258172010844841995e-02 -3.772367297416827636e-01
8.702427091612642551e-02 9.835753687551902491e-01 2.233566741488759444e-01 2.277704496982059859e-02 -3.895789304532656372e-01
9.801112884205458176e-02 1.010813417353581656e+00 1.466173134341299811e-01 2.703138296232276971e-02 -3.154584506245822206e-01
9.378879566882017405e-02 9.519686112551752899e-01 2.247392947286825926e-01 2.274659774900956305e-02 -4.016101996504872762e-01
8.959385610792973409e-02 1.012496655204856211e+00 2.044293197192768030e-01 2.292534816277884760e-02 -3.390727132836675040e-01
1.026754379964691100e-01 1.025286945807039052e+00 2.196707641371680175e-01 2.213864126489931486e-02 -4.123391280922797941e-01
1.009489924514460069e-01 8.584989980188915126e-01 1.916166891051556131e-01 2.401979767783981104e-02 -3.429562342433543076e-01
1.140361883688678080e-01 8.823533685987839936e-01 2.278274104599904426e-01 2.171473777355364954e-02 -4.033139876024006698e-01
1.028224855382373348e-01 8.938114546252275971e-01 1.929242421280843445e-01 2.387081489013703414e-02 -3.555851597464585456e-01
1.095599351258700616e-01 9.349181784888599411e-01 2.749727332125422308e-01 1.946302510762585453e-02 -4.336690379992169664e-01
8.171686204066622161e-02 8.837121455161945915e-01 2.345669836334214331e-01 2.186964848340570977e-02 -4.068133835577397717e-01
1.162951093358576271e-01 8.614637115819063773e-01 2.200162662885352116e-01 2.245753250651918997e-02 -3.700839443124386285e-01
1.131826617009366459e-01 8.380635011306768467e-01 2.514347909047658369e-01 2.073932857858149653e-02 -4.272793880732265182e-01
1.073252423778100068e-01 8.997925132322286412e-01 2.544103613676456099e-01 2.046382637309381372e-02 -4.115267316110146067e-01
1.128991617631481814e-01 7.887566719615607402e-01 1.703745199213759776e-01 2.569041959173144068e-02 -3.252316268119828102e-01
1.068396931022392304e-01 8.212644768699146613e-01 2.071949069115259778e-01 2.357086983194023669e-02 -3.612414270374469938e-01
1.016345829216128566e-01 9.191365474270541958e-01 2.027997028480761355e-01 2.395220597055560882e-02 -3.873752284217848452e-01
9.416138600039421214e-02 8.607376270165010279e-01 1.757686146459753740e-01 2.540572038695798965e-02 -3.673381342065584754e-01
8.963944852147076592e-02 8.619401971774481863e-01 2.005794766446669097e-01 2.269586482339628133e-02 -3.479957696221770425e-01
9.815345965593372246e-02 1.047743818141479766e+00 1.955532836313536027e-01 2.356742635597958851e-02 -3.739615298543441657e-01
8.963944852147076592e-02 8.619401971774481863e-01 2.005794766446669097e-01 2.269586482339628133e-02 -3.479957696221770425e-01
9.547034605582666034e-02 8.845405974403824922e-01 2.564545066425591990e-01 2.085530540939958821e-02 -4.279040455347293825e-01
9.630480971927844747e-02 9.574538931578103762e-01 1.949179575558832589e-01 2.372551816181083656e-02 -3.646645092350817574e-01
9.671943007063153741e-02 9.510081844917189775e-01 1.681466572531962189e-01 2.559998795564157048e-02 -3.532341835896306570e-01
9.713082863175971637e-02 9.327757171660777669e-01 2.196198042732584454e-01 2.251694825924072801e-02 -3.867550739576454122e-01
9.156786225687718606e-02 8.847021451124620350e-01 2.353910178085294458e-01 2.076840390157181845e-02 -3.911437709960120523e-01
9.007091759395155495e-02 1.159162604057195178e+00 2.411456743543034520e-01 2.157146273026229813e-02 -4.313373716479882436e-01
9.883936173242444112e-02 9.019421858622467258e-01 2.254564385729209697e-01 2.235964987888855796e-02 -3.963606622143420743e-01
1.111313054348145452e-01 9.362240520567505220e-01 2.228972164965541403e-01 2.198740049726391130e-02 -3.706360377833730624e-01
1.088329057303429326e-01 7.668366060281789354e-01 2.265229191569733125e-01 2.160131385630625900e-02 -3.878978201049589902e-01
1.018817837954089367e-01 7.881298654111936752e-01 2.068006092632772575e-01 2.309157141138085817e-02 -3.882164752099893645e-01
9.855066502575583753e-02 9.432654596596745655e-01 1.758145489566580455e-01 2.507312511163775973e-02 -3.571415464547329499e-01
1.071710684958371990e-01 9.014017298097747322e-01 2.535747023574104198e-01 2.121131248991451473e-02 -4.327944786937090171e-01
8.633220742576035167e-02 9.876015610712275405e-01 1.916137348221602643e-01 2.390917721212011682e-02 -3.633941143269476814e-01
1.008323053156937599e-01 9.839792882958715570e-01 2.547820793965596131e-01 2.026317858684148140e-02 -3.978739859712567828e-01
1.005535516582949096e-01 9.050934300784395647e-01 2.479163805675197452e-01 2.088369785167860926e-02 -4.043454999911910708e-01
1.058180431946270372e-01 9.143525538508000539e-01 2.291217790840096580e-01 2.208776865615611276e-02 -3.967152795171998703e-01
9.744469894761062512e-02 8.989252672969150204e-01 2.525677888309660890e-01 2.135670051558229837e-02 -4.344267961717093174e-01
9.328441115545968443e-02 1.012800062108026422e+00 2.118179909364672486e-01 2.213047403891410525e-02 -3.679173752712059375e-01
9.796076638987936958e-02 9.664784066404858986e-01 1.695740862133816584e-01 2.526652801310337593e-02 -3.291706438179264893e-01
1.072036702381743700e-01 9.936448054875921532e-01 1.807282603387114772e-01 2.436002564531974945e-02 -3.609355910869559425e-01
1.055823594032377771e-01 8.459353809682799152e-01 2.136343534591129689e-01 2.318019549420428926e-02 -3.975949947679766616e-01
1.152171757118080619e-01 9.333896352944270891e-01 2.486991072699444860e-01 2.037296408261132785e-02 -4.082571810326733885e-01
1.090443696798557988e-01 8.749534837926681297e-01 2.054287331983488674e-01 2.376922639379664207e-02 -3.883992140478834676e-01
1.092563989026632126e-01 1.062891067984307103e+00 2.358797115861142046e-01 2.153243122448517469e-02 -3.933870018908828259e-01
1.178629405299874006e-01 8.154975586265006404e-01 2.108833240035064005e-01 2.168139056393806816e-02 -3.475516106944516181e-01
9.545681445422025957e-02 9.123674441212297204e-01 2.086176529727739037e-01 2.276683381699444453e-02 -3.757648280593286483e-01
8.665878921436244442e-02 9.303778750798501473e-01 2.404014133383289842e-01 2.153211360230713328e-02 -4.217038590500938877e-01
8.996175763702221606e-02 1.001374166907267549e+00 2.166710411539443104e-01 2.237415596492355399e-02 -3.810207846697083456e-01
1.038267702307661688e-01 8.707325229182161230e-01 2.366888114102001506e-01 2.126516233927194105e-02 -4.042772204397578895e-01
1.007308481064432409e-01 1.010749697662061797e+00 2.076902105848668079e-01 2.361472040478249448e-02 -3.883231633486574630e-01
1.084457896422315465e-01 7.762543782667025161e-01 2.138106554275931437e-01 2.269948567171168469e-02 -3.775737362347041381e-01
9.906881787261490047e-02 1.016514133848325896e+00 2.472583435530117946e-01 2.111676921896759804e-02 -4.065430459278529529e-01
1.058044319122540544e-01 9.432732437965990480e-01 2.278086382424699963e-01 2.278163121875951755e-02 -4.012804253037491886e-01
9.978314061805772239e-02 7.821444177071280590e-01 2.256715542866805091e-01 2.159371734815178703e-02 -3.914189501367600910e-01
1.151718090084643126e-01 8.800228408720442985e-01 2.400511455727791787e-01 2.178344940411784669e-02 -4.274905067105111423e-01
1.064466910361384772e-01 8.596702525660329108e-01 2.307520256692647820e-01 2.103571014992030794e-02 -3.833807154878181578e-01
1.088566460292332144e-01 8.523009584236002079e-01 2.325953992761278233e-01 2.176805169545636270e-02 -3.941445994353034443e-01
