weight logl c d e
0.000000000000000000e+00 -1.506009539965173590e+37 -8.140429057499756205e-01 4.556468557193693592e-01 -1.018700936435830151e-01
0.000000000000000000e+00 -1.202725383419785355e+37 3.479529994482695177e-01 4.641925629084700522e-01 4.560466634132001040e-01
0.000000000000000000e+00 -1.160090013111987622e+37 8.057511649792357122e-01 4.542533582178951423e-01 9.323900049428821557e-01
0.000000000000000000e+00 -1.154010340599916451e+37 -6.767609875567957012e-01 4.562446463076014203e-01 -6.877083908991421524e-02
0.000000000000000000e+00 -9.664844854946141400e+36 -1.929556699303103251e-02 4.964213378940712795e-01 -4.890568554156060621e-01
0.000000000000000000e+00 -7.760633099313748856e+36 -3.665835031236874819e-01 4.610501595444246314e-01 6.193562464993696004e-02
0.000000000000000000e+00 -6.539939382787651113e+36 6.822707224448301133e-01 4.528599903510800995e-01 9.825412424979285131e-01
0.000000000000000000e+00 -6.265240004465740507e+36 9.033344230392308383e-01 4.493583728153596191e-01 -4.901269838003141643e-02
0.000000000000000000e+00 -6.037399650119075264e+36 2.297294268443190735e-01 4.650101064684292185e-01 -6.872423009931323268e-01
0.000000000000000000e+00 -6.002939620568086850e+36 -7.982686046266445068e-01 4.505436589732696451e-01 -7.348265776975915209e-02
0.000000000000000000e+00 -5.924133773887228465e+36 9.840786449757790155e-01 4.480416001197552456e-01 4.360272179139965676e-01
0.000000000000000000e+00 -5.702428643831128876e+36 -7.907242005060315382e-01 4.503560970730934865e-01 -3.082860971332441746e-01
0.000000000000000000e+00 -5.656595385420364145e+36 -9.260024356090168496e-02 4.751582172017348449e-01 6.475253965419722757e-01
0.000000000000000000e+00 -5.232369355958867676e+36 2.651571157228052034e-01 4.625193949454072806e-01 9.940460080676059018e-01
0.000000000000000000e+00 -3.961170565524742194e+36 -3.841506844488371542e-01 4.566112899955703797e-01 5.749087203123957046e-01
0.000000000000000000e+00 -3.716684764969627331e+36 6.308919812507893798e-01 4.504926834552280268e-01 -2.722589456834447752e-01
0.000000000000000000e+00 -3.621928335525254835e+36 -5.728985035806586357e-01 4.514606137845965650e-01 2.521737860450685709e-01
0.000000000000000000e+00 -3.324750648347090545e+36 -3.329466813479142751e-02 4.839274069722068194e-01 -1.816285359193536841e-01
0.000000000000000000e+00 -3.055386037672971763e+36 7.510985453921465993e-01 4.473357493247188121e-01 -7.558037365792595885e-01
0.000000000000000000e+00 -2.997739517100141589e+36 -8.930271102056297483e-01 4.452190625356889919e-01 -7.471788606068754390e-01
0.000000000000000000e+00 -2.807364651947842375e+36 -8.906138566415449098e-01 4.448701381596221749e-01 -1.961954561812939701e-01
0.000000000000000000e+00 -2.752426286457017902e+36 5.399112330460693610e-01 4.505570707294028199e-01 -5.850683144102253319e-01
0.000000000000000000e+00 -2.432519262098693815e+36 6.825120233431507533e-01 4.471244093243097462e-01 -4.434346851503008224e-01
0.000000000000000000e+00 -1.920557022010692458e+36 -7.148303689095494295e-01 4.452184834589424933e-01 -4.322396569327628946e-01
0.000000000000000000e+00 -1.857298500516230641e+36 2.126940068601650413e-01 4.590733971606923980e-01 -4.180231072447668783e-01
0.000000000000000000e+00 -1.709882624416581305e+36 -7.929726623114423667e-01 4.433423894621144612e-01 3.015477314232677397e-01
0.000000000000000000e+00 -1.622765545882141963e+36 -6.513627616425485822e-01 4.453197609960137804e-01 4.867310422714608009e-01
0.000000000000000000e+00 -1.609702300273822358e+36 9.616370847825836954e-01 4.407567030366390526e-01 8.319898475259088766e-01
0.000000000000000000e+00 -1.534630334901558127e+36 8.233109879697053657e-01 4.422803338367963799e-01 -8.464525163478933134e-01
0.000000000000000000e+00 -1.502110411240979524e+36 -9.958967798549098749e-01 4.399498317310965856e-01 -2.453373952946709124e-01
0.000000000000000000e+00 -1.266945641960913793e+36 7.615281275856731202e-01 4.420735900313700895e-01 -4.899183695890907408e-01
0.000000000000000000e+00 -1.142358230142687608e+36 -9.587588760181833258e-01 4.388033636545083382e-01 -9.190859094006431640e-02
0.000000000000000000e+00 -1.106912977377558732e+36 3.288470951299962142e-01 4.510248272696533167e-01 8.354870225007475781e-01
0.000000000000000000e+00 -9.789505040511872260e+35 -5.624300295073629830e-01 4.440921097418727426e-01 -1.396866138456656081e-01
0.000000000000000000e+00 -9.504419947697518884e+35 -9.089369529692612470e-01 4.383558506494238949e-01 -9.882981261784551386e-02
0.000000000000000000e+00 -9.493571336751780849e+35 -8.275339554249772078e-02 4.661230718123439143e-01 -6.058154242274575996e-01
0.000000000000000000e+00 -9.046629039204320547e+35 7.292160164175762738e-01 4.406239105673926959e-01 -1.276955820824789978e-01
0.000000000000000000e+00 -8.210593081664848623e+35 -3.933962390445409074e-01 4.472162027593075129e-01 -1.418111103472059487e-01
0.000000000000000000e+00 -7.398539400538126496e+35 9.652154187205346236e-01 4.362071887876142751e-01 -1.428250957560519563e-01
0.000000000000000000e+00 -6.387162569862686691e+35 -9.373662124671033880e-01 4.356944584684971922e-01 -1.515708573076357535e-01
