c d e
2.168530986269550098e-01 2.286552169923530831e-02 -4.030573807439756795e-01
2.149401227193401542e-01 2.269526510886647752e-02 -3.909004969186492540e-01
2.236724594708490166e-01 2.237004409028186744e-02 -3.978565945541647775e-01
2.290710291694615375e-01 2.212469301833674615e-02 -4.131433644806693506e-01
2.324770799216115957e-01 2.202862148513785173e-02 -4.162919283986634689e-01
2.279453492694796246e-01 2.214824256234620634e-02 -4.146458936597938738e-01
2.166103132564058953e-01 2.297188919467984744e-02 -4.108232223972042574e-01
2.266426327790129758e-01 2.241124419376325227e-02 -4.197384735103307785e-01
2.368640968344755127e-01 2.195297393157242399e-02 -4.258753416154700266e-01
2.496485478606096375e-01 2.138376723288606951e-02 -4.354755760086352900e-01
2.242525061695268551e-01 2.244056679034184612e-02 -4.123917657038309592e-01
2.230104076998360441e-01 2.244476382437584835e-02 -4.072392602380547899e-01
2.536573041749141666e-01 2.107081845337874237e-02 -4.368991484260382752e-01
2.343406445327351761e-01 2.205025606622216042e-02 -4.206374058043463871e-01
2.153597975864796066e-01 2.290133392351039951e-02 -3.966887986387038767e-01
2.513446246988286781e-01 2.120582678593554982e-02 -4.251279301122825593e-01
2.368317000247297521e-01 2.186653032505623054e-02 -4.189559507862204990e-01
2.151258277408594211e-01 2.313914854765584603e-02 -4.128707803410881505e-01
2.277601744780985982e-01 2.228382902408311550e-02 -4.097724239371360877e-01
2.221980769744129613e-01 2.254755332480475050e-02 -4.111740673944112023e-01
2.381221801422250817e-01 2.175954633172000330e-02 -4.213892574601271201e-01
2.332743485864166022e-01 2.188048938679086619e-02 -4.056507278837738761e-01
2.150778522275895721e-01 2.287268684189823140e-02 -3.953269503087666337e-01
2.191367229462473087e-01 2.274520416811563403e-02 -4.006553716128219422e-01
2.230919698863680356e-01 2.234977386827562140e-02 -4.028129956475324791e-01
2.307068239610954308e-01 2.201990978106408911e-02 -4.124489699638853590e-01
2.089770582507892716e-01 2.298686639317527175e-02 -3.776771356912591582e-01
2.291851985304396155e-01 2.210921089022796146e-02 -4.127107056363751303e-01
2.236343369643729595e-01 2.245477350782417239e-02 -4.080465066108945882e-01
2.414437886320841553e-01 2.164133947406322173e-02 -4.301212308189061861e-01
2.211147490204343757e-01 2.260551538019245008e-02 -4.011337842281795796e-01
2.554690795501977085e-01 2.106515758282494905e-02 -4.421115667401778193e-01
2.101218368182353746e-01 2.300118319367405739e-02 -3.896535754974400634e-01
2.241375642092136022e-01 2.245507886023463337e-02 -4.051042077822424314e-01
2.201772274033477750e-01 2.252488193195742797e-02 -3.974399258593178663e-01
2.219884547853792078e-01 2.252184241920081320e-02 -4.047739877063010194e-01
2.224393967608859768e-01 2.259414668294453671e-02 -4.175739411353919239e-01
2.374556931695241957e-01 2.181246680912694857e-02 -4.227591480455196171e-01
2.325405749659823496e-01 2.209243944037358673e-02 -4.200912474055795709e-01
2.324436674923413548e-01 2.195120555106449059e-02 -4.070151055670809814e-01
2.372025607037540063e-01 2.186582471798580174e-02 -4.285734593944272586e-01
2.403406252226212292e-01 2.187127986859183429e-02 -4.376140030434853001e-01
2.338875083069955618e-01 2.191408287595944179e-02 -4.211538062599793353e-01
2.354541190852432742e-01 2.193478511222279534e-02 -4.187268900168943375e-01
2.278249419251845431e-01 2.210103910167042496e-02 -4.035729623587130943e-01
2.444187953068646113e-01 2.146329807005431869e-02 -4.249255952214580079e-01
2.191367229462473087e-01 2.274520416811563403e-02 -4.006553716128219422e-01
2.399724388427122435e-01 2.175419297237913413e-02 -4.266163256917844260e-01
2.330718809463903085e-01 2.198263358473153198e-02 -4.104501041051348276e-01
2.329191752717465480e-01 2.199109403986565861e-02 -4.174267035868106657e-01
2.214555158624780251e-01 2.257150887276030554e-02 -4.109862505833483670e-01
2.131448713127754857e-01 2.301650521878567668e-02 -3.991013708195267906e-01
2.293298572364006471e-01 2.202212773141066018e-02 -4.094746664290391802e-01
2.269100427428907274e-01 2.225573727347734954e-02 -4.138560101878053787e-01
2.283047762762491217e-01 2.234833630169190399e-02 -4.175431162958942455e-01
2.244711793057871940e-01 2.249461917350437101e-02 -4.117550484624954432e-01
2.135335990778972626e-01 2.285247037034008818e-02 -3.906545683451333462e-01
