logz logzerr logvol nlive logl logwt insert_order
-8.728967134409367783e+37 6.341533437422791178e+36 -4.600000000000003392e-02 1.000000000000000000e+03 -8.409995413171549412e+37 -8.409995413171549412e+37 1.193999999999999950e+00
-8.409995413171549412e+37 4.017816428438193821e+36 -4.700000000000003481e-02 1.000000000000000000e+03 -8.170113692890888361e+37 -8.170113692890888361e+37 7.239999999999999769e-01
-8.170113692890888361e+37 8.939863885119132601e+35 -4.800000000000003569e-02 1.000000000000000000e+03 -7.989764663311370505e+37 -7.989764663311370505e+37 1.784000000000000030e+00
-7.989764663311370505e+37 6.721211496932037152e+35 -4.900000000000003658e-02 1.000000000000000000e+03 -7.242728800169091428e+37 -7.242728800169091428e+37 1.959999999999999964e+00
-7.242728800169091428e+37 2.784038286027276127e+36 -5.000000000000003747e-02 1.000000000000000000e+03 -7.106681081148382521e+37 -7.106681081148382521e+37 1.913999999999999924e+00
-7.106681081148382521e+37 2.409053556027762594e+36 -5.100000000000003836e-02 1.000000000000000000e+03 -7.034437039888600550e+37 -7.034437039888600550e+37 7.780000000000000249e-01
-7.034437039888600550e+37 3.405616765007504486e+35 -5.200000000000003925e-02 1.000000000000000000e+03 -6.833646777575049519e+37 -6.833646777575049519e+37 6.380000000000000115e-01
-6.833646777575049519e+37 1.091363865338070402e+36 -5.300000000000004013e-02 1.000000000000000000e+03 -6.773617075790757500e+37 -6.773617075790757500e+37 6.919999999999999485e-01
-6.773617075790757500e+37 3.001485089214600910e+35 -5.400000000000004102e-02 1.000000000000000000e+03 -6.089405571212866291e+37 -6.089405571212866291e+37 3.340000000000000191e-01
-6.089405571212866291e+37 3.577432981189750674e+36 -5.500000000000004191e-02 1.000000000000000000e+03 -5.926951617763491547e+37 -5.926951617763491547e+37 1.675999999999999934e+00
-5.926951617763491547e+37 3.902626502428859190e+36 -5.600000000000004280e-02 1.000000000000000000e+03 -5.046159567978538987e+37 -5.046159567978538987e+37 9.579999999999999627e-01
-5.046159567978538987e+37 6.673833308481364098e+36 -5.700000000000004369e-02 1.000000000000000000e+03 -4.827392474423345491e+37 -4.827392474423345491e+37 5.200000000000000178e-01
-4.827392474423345491e+37 1.093835467775967479e+36 -5.800000000000004458e-02 1.000000000000000000e+03 -4.747144008533133563e+37 -4.747144008533133563e+37 8.379999999999999671e-01
-4.747144008533133563e+37 1.345258504713110712e+36 -5.900000000000004546e-02 1.000000000000000000e+03 -4.596798042298247342e+37 -4.596798042298247342e+37 1.185999999999999943e+00
-4.596798042298247342e+37 1.354523906591225089e+36 -6.000000000000004635e-02 1.000000000000000000e+03 -4.395776970542471739e+37 -4.395776970542471739e+37 1.858000000000000096e+00
-4.395776970542471739e+37 1.005105358778877868e+36 -6.100000000000004724e-02 1.000000000000000000e+03 -4.124573059152600911e+37 -4.124573059152600911e+37 1.766000000000000014e+00
-4.124573059152600911e+37 1.596532129161499238e+36 -6.200000000000004813e-02 1.000000000000000000e+03 -3.753858186808269915e+37 -3.753858186808269915e+37 6.260000000000000009e-01
-3.753858186808269915e+37 2.208985876035008462e+36 -6.300000000000004208e-02 1.000000000000000000e+03 -3.649951067771346332e+37 -3.649951067771346332e+37 4.660000000000000253e-01
-3.649951067771346332e+37 1.733397765576741031e+36 -6.400000000000004297e-02 1.000000000000000000e+03 -3.625528946272479245e+37 -3.625528946272479245e+37 5.360000000000000320e-01
-3.625528946272479245e+37 1.151269848187379193e+35 -6.500000000000004385e-02 1.000000000000000000e+03 -3.426755848690913821e+37 -3.426755848690913821e+37 4.219999999999999862e-01
-3.426755848690913821e+37 7.878702575102888251e+35 -6.600000000000004474e-02 1.000000000000000000e+03 -3.373807738322839464e+37 -3.373807738322839464e+37 9.240000000000000435e-01
-3.373807738322839464e+37 6.935841005926673276e+35 -6.700000000000004563e-02 1.000000000000000000e+03 -2.636505074016372902e+37 -2.636505074016372902e+37 9.320000000000000506e-01
-2.636505074016372902e+37 3.733245143768879269e+36 -6.800000000000004652e-02 1.000000000000000000e+03 -2.616174391662110358e+37 -2.616174391662110358e+37 1.215999999999999970e+00
-2.616174391662110358e+37 2.917153568397560642e+36 -6.900000000000004741e-02 1.000000000000000000e+03 -2.530908943605126847e+37 -2.530908943605126847e+37 1.874000000000000110e+00
-2.530908943605126847e+37 2.308376280971749649e+36 -7.000000000000004829e-02 1.000000000000000000e+03 -2.517769371505061414e+37 -2.517769371505061414e+37 3.780000000000000027e-01
-2.517769371505061414e+37 2.362940393451496942e+36 -7.100000000000004918e-02 1.000000000000000000e+03 -2.044232705044885261e+37 -2.044232705044885261e+37 7.620000000000000107e-01
-2.044232705044885261e+37 2.367683332300880766e+36 -7.200000000000005007e-02 1.000000000000000000e+03 -1.817989064187671987e+37 -1.817989064187671987e+37 1.419999999999999929e+00
-1.817989064187671987e+37 2.857002692461664359e+36 -7.300000000000005096e-02 1.000000000000000000e+03 -1.605359057555974676e+37 -1.605359057555974676e+37 6.959999999999999520e-01
-1.605359057555974676e+37 2.585139698928072332e+36 -7.400000000000005185e-02 1.000000000000000000e+03 -1.506009539965173590e+37 -1.506009539965173590e+37 4.879999999999999893e-01
-1.506009539965173590e+37 1.572650984408904075e+36 -7.500000000000005274e-02 1.000000000000000000e+03 -1.202725383419785355e+37 -1.202725383419785355e+37 1.532000000000000028e+00
-1.202725383419785355e+37 1.826243485874961381e+36 -7.600000000000005362e-02 1.000000000000000000e+03 -1.160090013111987622e+37 -1.160090013111987622e+37 1.260000000000000009e+00
-1.160090013111987622e+37 1.846165689315480150e+35 -7.700000000000005451e-02 1.000000000000000000e+03 -1.154010340599916451e+37 -1.154010340599916451e+37 1.657999999999999918e+00
-1.154010340599916451e+37 1.326169965850888188e+35 -7.800000000000005540e-02 1.000000000000000000e+03 -9.664844854946141400e+36 -9.664844854946141400e+36 1.592000000000000082e+00
-9.664844854946141400e+36 9.913508359496493367e+35 -7.900000000000005629e-02 1.000000000000000000e+03 -7.760633099313748856e+36 -7.760633099313748856e+36 1.002000000000000002e+00
-7.760633099313748856e+36 1.306792798458844687e+36 -8.000000000000005718e-02 1.000000000000000000e+03 -6.539939382787651113e+36 -6.539939382787651113e+36 9.979999999999999982e-01
-6.539939382787651113e+36 1.666047335604146337e+36 -8.100000000000005806e-02 1.000000000000000000e+03 -6.265240004465740507e+36 -6.265240004465740507e+36 1.201999999999999957e+00
-6.265240004465740507e+36 1.586947352410503107e+36 -8.200000000000005895e-02 1.000000000000000000e+03 -6.037399650119075264e+36 -6.037399650119075264e+36 1.374000000000000110e+00
