weight logl c d e
0.000000000000000000e+00 -2.195658120751563619e+39 1.255390979573621779e-01 9.709393282334548569e-01 6.328376629716971902e-01
0.000000000000000000e+00 -1.787931741617630559e+39 3.701712064911483191e-01 9.930897561100816562e-01 6.066524570824400886e-01
0.000000000000000000e+00 -1.557412065641883089e+39 9.948360115762996392e-01 9.605061268552163023e-01 7.314910219327001029e-01
0.000000000000000000e+00 -1.554679122601671507e+39 6.044223759942469743e-01 9.965135502486887065e-01 3.538633189015241154e-01
0.000000000000000000e+00 -1.227110469937856147e+39 7.530835810418277099e-01 9.732750994670845701e-01 2.682167467412438500e-01
0.000000000000000000e+00 -1.196891858323126478e+39 9.641693584336552547e-02 9.621783223193839385e-01 5.488034506242525090e-01
0.000000000000000000e+00 -9.461081591984251615e+38 6.276453542754285575e-01 9.861141063063705303e-01 6.507028113825887861e-01
0.000000000000000000e+00 -8.026589397637728577e+38 6.346574303643852666e-01 9.829720753555286628e-01 5.418521392400675873e-01
0.000000000000000000e+00 -8.014725373429164781e+38 6.831814627255050620e-01 9.758285227641404491e-01 7.967712023199087223e-01
0.000000000000000000e+00 -7.058853123009011145e+38 2.701676283223412023e-01 9.691038112935220772e-01 6.499480009531677371e-02
0.000000000000000000e+00 -6.842824331470149074e+38 2.983038828303086198e-03 9.508792260154237397e-01 6.481703674962753237e-01
0.000000000000000000e+00 -5.241352017179637765e+38 7.819517430786613321e-01 9.609224668213960374e-01 5.183744792726727724e-01
0.000000000000000000e+00 -4.841190655417166122e+38 2.269207132917117065e-03 9.468378517020167306e-01 5.762290168652756117e-01
0.000000000000000000e+00 -4.683012538242832346e+38 5.624686057724075372e-01 9.945183301292092048e-01 7.743626209197345123e-01
0.000000000000000000e+00 -4.170952635543200010e+38 1.972843149556322562e-01 9.566309614002633799e-01 7.449424187456766822e-01
0.000000000000000000e+00 -3.665724216022045207e+38 1.243636273869279663e-01 9.501359760261998133e-01 6.516882131267287548e-01
0.000000000000000000e+00 -3.403541906346265866e+38 7.445188979839292287e-01 9.592214607938530646e-01 6.915305958207972337e-01
0.000000000000000000e+00 -3.092952699850620332e+38 1.284377017464406467e-01 9.484206854699788192e-01 5.275308266475619012e-01
0.000000000000000000e+00 -2.679950887857881142e+38 7.926287392464247405e-01 9.522927109959983261e-01 7.656350051224674047e-01
0.000000000000000000e+00 -2.223916039006580505e+38 6.703893798835653950e-01 9.626594912268727766e-01 4.190487675731826567e-01
0.000000000000000000e+00 -2.189967260716393200e+38 1.093377537164116342e-01 9.432604072939314577e-01 8.351823331449172994e-01
0.000000000000000000e+00 -1.948056122491052839e+38 7.878103057379983731e-01 9.489828681330427784e-01 9.956140484349065289e-01
0.000000000000000000e+00 -1.580483713822815508e+38 1.185805515039917157e-01 9.400369715921208513e-01 6.186816109186352719e-01
