weight logl a b
0.000000000000000000e+00 -5.313817029399102321e+05 -3.033223540405862936e-02 -1.595024085735891273e+00
0.000000000000000000e+00 -5.313732557858210057e+05 4.207070111958578773e-02 1.909609215010305228e+00
0.000000000000000000e+00 -5.300861314409979386e+05 4.044968821870213727e-02 1.996235178199824656e+00
0.000000000000000000e+00 -5.286848860012468649e+05 4.826010549805473393e-02 1.540590811001093297e+00
0.000000000000000000e+00 -5.253420202828441979e+05 4.361142432863003571e-02 1.799954095771474805e+00
0.000000000000000000e+00 -5.251570914751776727e+05 -4.386414337755900617e-02 -7.022446245824154332e-01
0.000000000000000000e+00 -5.218715683967246441e+05 -3.897232695256635376e-02 -1.015419910005209481e+00
0.000000000000000000e+00 -5.166037053874193225e+05 -3.250293608454438155e-02 -1.406248665887255722e+00
0.000000000000000000e+00 -5.133201219569160603e+05 4.607776199057599109e-02 1.612520871216327922e+00
0.000000000000000000e+00 -5.116369368614997948e+05 4.878490215431773025e-02 1.445476117922677162e+00
0.000000000000000000e+00 -4.939456042108196416e+05 -2.729456147422189283e-02 -1.636137042334146141e+00
0.000000000000000000e+00 -4.927721523864314659e+05 -2.494159326580571920e-02 -1.770904999301762928e+00
0.000000000000000000e+00 -4.925389735109601170e+05 -2.824451382616654030e-02 -1.573731714871281273e+00
0.000000000000000000e+00 -4.918391317738470971e+05 -4.609877520542815521e-02 -4.057208641489156165e-01
0.000000000000000000e+00 -4.916845436990957824e+05 4.962034841745703584e-02 1.318477240707392362e+00
0.000000000000000000e+00 -4.882236924798188265e+05 -3.343108201387517964e-02 -1.237131500202113266e+00
0.000000000000000000e+00 -4.866060553725801874e+05 -3.292801548410019541e-02 -1.262334300474564408e+00
0.000000000000000000e+00 -4.833146470829293830e+05 -2.236352681805319279e-02 -1.884719912455641300e+00
0.000000000000000000e+00 -4.832613351284360979e+05 -3.861379723291096661e-02 -8.820042293480758744e-01
0.000000000000000000e+00 -4.822908291113077430e+05 -3.683120360464364057e-02 -9.950949682031202670e-01
0.000000000000000000e+00 -4.785581884674725006e+05 4.359662849278474195e-02 1.626006494156786886e+00
0.000000000000000000e+00 -4.742913561761003220e+05 4.573978707060039062e-02 1.483764765399876229e+00
0.000000000000000000e+00 -4.742571505601123208e+05 -3.833540321269954254e-02 -8.627141271431257863e-01
0.000000000000000000e+00 -4.739880771282594069e+05 -3.894366000506423175e-02 -8.211055268836457977e-01
0.000000000000000000e+00 -4.721060307518556365e+05 4.414377348613839069e-02 1.569213532407023326e+00
0.000000000000000000e+00 -4.710874805851766723e+05 -3.606447618243122100e-02 -9.986101708793917453e-01
0.000000000000000000e+00 -4.628928853196029668e+05 -4.761481700985650822e-02 -1.652275653433172842e-01
0.000000000000000000e+00 -4.622982970578126260e+05 4.091604730304253257e-02 1.717764340892836472e+00
0.000000000000000000e+00 -4.620405686181037454e+05 4.412849079011239850e-02 1.530831258069478285e+00
0.000000000000000000e+00 -4.593198110357419355e+05 3.830920622132440168e-02 1.853596172549720311e+00
0.000000000000000000e+00 -4.591682581731133978e+05 -3.791615280404245919e-02 -8.263784476861188999e-01
0.000000000000000000e+00 -4.574317668597496813e+05 4.630261017634382248e-02 1.383766213510083887e+00
0.000000000000000000e+00 -4.566763980387759511e+05 -2.648431563272260134e-02 -1.538621821952761870e+00
0.000000000000000000e+00 -4.555557432437887765e+05 -3.953620238486397348e-02 -7.019070689620812153e-01
0.000000000000000000e+00 -4.552886200648418744e+05 -3.872119963296192374e-02 -7.557532295098901010e-01
0.000000000000000000e+00 -4.548979683428553399e+05 -4.992509011672022212e-02 4.559447663661408967e-02
0.000000000000000000e+00 -4.499379358129375032e+05 4.950972091205081693e-02 1.158536211403894178e+00
0.000000000000000000e+00 -4.493296484420830966e+05 -4.358883582984530991e-02 -3.930988209326384819e-01
0.000000000000000000e+00 -4.491668018089844845e+05 -3.503399307823096276e-02 -9.732790842527885289e-01
0.000000000000000000e+00 -4.476246538281797548e+05 -2.461349160022566901e-02 -1.613988252238288013e+00
0.000000000000000000e+00 -4.442205477648416418e+05 -2.875947535242721204e-02 -1.349670241233861034e+00
0.000000000000000000e+00 -4.441055313051510602e+05 -2.436307093613652303e-02 -1.614680626671986197e+00
0.000000000000000000e+00 -4.438887661664032494e+05 -1.991338906671714926e-02 -1.872420942797734966e+00
0.000000000000000000e+00 -4.430223976636090083e+05 -1.804798369304743549e-02 -1.974563432452965728e+00
0.000000000000000000e+00 -4.396736860254423227e+05 -4.018201911425255818e-02 -5.872062840663123673e-01
0.000000000000000000e+00 -4.394202033908226294e+05 3.615276268750837463e-02 1.896275913210188513e+00
0.000000000000000000e+00 -4.384389755167411058e+05 -3.023541480608084309e-02 -1.234047167598327555e+00
0.000000000000000000e+00 -4.382548387895892956e+05 4.695298920983689839e-02 1.266932635399676155e+00
