a b
9.973623746631313236e-03 -8.462782182751871218e-02
9.970128426507865460e-03 -8.178243297554188551e-02
1.027324333245429461e-02 -1.031103285195147379e-01
1.013035315206849141e-02 -8.206576847070801151e-02
1.007694801375438182e-02 -9.501803637694772320e-02
1.020374689580964833e-02 -9.857154015720648310e-02
1.019979804228887676e-02 -9.056576341874733593e-02
1.010662567665328998e-02 -8.884270669683780319e-02
1.005821186804796430e-02 -8.622434574270321228e-02
1.001390552401922041e-02 -8.716858426811113780e-02
1.007397257635207766e-02 -8.960299026955920176e-02
1.013074084286354204e-02 -8.818144977342767810e-02
1.015345444671126446e-02 -8.976791676206774540e-02
1.007128500123244397e-02 -8.556084906184646677e-02
9.936536383538363548e-03 -8.591362638222155290e-02
1.000875455587411228e-02 -8.531712011069658708e-02
1.018936809787892445e-02 -9.679023011177401159e-02
1.010670697229493209e-02 -9.158509141667448006e-02
1.015740063603234183e-02 -9.792502336186337253e-02
1.024191774619801626e-02 -9.748223959894608548e-02
1.014510248055772168e-02 -9.891803451761616017e-02
1.015465448145970451e-02 -9.426884616424446861e-02
1.003512557837819147e-02 -8.497029658482135872e-02
1.017936396338858795e-02 -9.655956687761935164e-02
9.975343482563292508e-03 -8.633115965428661553e-02
1.017043918841997741e-02 -9.504590200324192217e-02
1.003006875439317602e-02 -8.731902933035873282e-02
1.021279181276435466e-02 -9.535603320022190132e-02
1.003151161144398562e-02 -9.243305100379739514e-02
1.013785463383400781e-02 -9.260871753599775325e-02
1.008745502084440471e-02 -9.171201161467879004e-02
1.006365884785936915e-02 -8.903149340665494904e-02
1.001372336094978610e-02 -8.533905921790685412e-02
1.018252243873120355e-02 -1.025172080154577170e-01
1.004667634040553453e-02 -8.792141230062000545e-02
1.021724612445466807e-02 -9.668375837103337922e-02
9.957443237901188182e-03 -8.357256887596964390e-02
1.021201915634822877e-02 -8.835974259581114154e-02
1.005601748883244717e-02 -9.067611647256046403e-02
1.003974906349237861e-02 -8.969482510519810603e-02
1.017809942216139213e-02 -9.421988860023589041e-02
1.010567243329207887e-02 -9.142106552115003559e-02
1.005639947610389301e-02 -7.874566688599315967e-02
9.993596759025738518e-03 -9.275702455453327389e-02
9.975849204414924398e-03 -8.750299794490845606e-02
9.933102946742489170e-03 -7.869828793395594602e-02
9.932178140432332270e-03 -8.346520246425126466e-02
9.965032270869644826e-03 -8.177737059705880718e-02
9.959911632673325299e-03 -8.589018460634778585e-02
1.008557402416396936e-02 -9.328595094134772836e-02
1.007694801375438182e-02 -9.501803637694772320e-02
1.024322400333795013e-02 -9.535218974149217708e-02
1.016364113614800363e-02 -9.247018154687203229e-02
1.008914577763934256e-02 -8.660096410639073206e-02
9.916397981589331057e-03 -7.972414027326535368e-02
9.990104714506745087e-03 -8.583232625852943443e-02
9.998280198527373375e-03 -9.152589452873316489e-02
1.000150852473565694e-02 -8.873664299330141780e-02
1.011827141826501103e-02 -9.092391579647718380e-02
1.020159552237036305e-02 -9.890657423801219039e-02
1.002097541519975099e-02 -8.475831961626845157e-02
9.979764131544908989e-03 -8.152003038254562739e-02
1.005365830294654289e-02 -8.516144638998501826e-02
1.011361535461298422e-02 -8.959858861684177889e-02
9.785375076330649069e-03 -8.237144482053770922e-02
1.019037760204991733e-02 -9.243354908388368152e-02
1.006301702589719460e-02 -8.817839112101832910e-02
1.007929295917785184e-02 -9.002637356675946556e-02
1.005695889031310575e-02 -9.036863924173643703e-02
1.007522180791490390e-02 -8.444095565964526706e-02
1.002494311572991320e-02 -8.270905317617205377e-02
1.013920469652741796e-02 -9.703247121113656171e-02
1.011766048308963134e-02 -9.032299508522001474e-02
9.925018134694110761e-03 -8.312682103742918827e-02
1.011078916806106009e-02 -9.093895141435526241e-02
9.995975668697330840e-03 -8.935217619776292253e-02
1.013151520377292281e-02 -9.789284130180164745e-02
1.016848748356700277e-02 -9.134838308181136846e-02
1.023450300659949075e-02 -9.205103391654567702e-02
1.006192859598353806e-02 -8.975600985421094968e-02
9.998995128776777541e-03 -9.182830870788349920e-02
1.008720182317777991e-02 -9.178249024173634751e-02
1.011307070778390965e-02 -9.361761911313548623e-02
9.985691843240607213e-03 -8.919062195445892627e-02
1.021281371639790742e-02 -9.161550595606304803e-02
1.015483348082426435e-02 -9.496913685512264891e-02
1.020470420333445538e-02 -9.013975720813371950e-02
1.015733439525220300e-02 -9.134300179853038770e-02
1.023308190464294887e-02 -9.901157664487136856e-02
1.004331196530640347e-02 -9.136086343852034553e-02
1.000053411095687406e-02 -8.364688374514983593e-02
1.025707238969024437e-02 -8.837803645335906566e-02
9.984733496955777721e-03 -8.863540371546640984e-02
9.991962337411938733e-03 -8.229927515134960458e-02
1.006289689761728778e-02 -8.819523936773165929e-02
1.006258655188983081e-02 -9.533128573376514758e-02
1.013367510812610700e-02 -9.717190123188523820e-02
1.014948889948254912e-02 -8.856071331223569487e-02
1.013400799723779278e-02 -8.814028326307821182e-02
1.025554215841394112e-02 -1.039105218047879919e-01
9.976060504525853523e-03 -8.494911638156255052e-02
1.019357153114838072e-02 -9.860095927696410634e-02
1.011526231753279159e-02 -9.617360996878332458e-02
1.018807269542289923e-02 -9.178405462938821202e-02
1.004566976349059726e-02 -9.828561758847276231e-02
1.006627777384389022e-02 -9.189138861390455659e-02
1.023643133592166965e-02 -9.884139290891069685e-02
1.021366709514719140e-02 -8.966625157707119875e-02
1.016005469576927028e-02 -9.102646815499260136e-02
1.009361656610774372e-02 -8.849963347401534897e-02
1.014067138738732055e-02 -9.731135219772046874e-02
1.006667402523061389e-02 -9.146048128676254052e-02
1.006960671915195504e-02 -8.517982630097242769e-02
1.007734808330420367e-02 -8.934019527595427057e-02
1.020718308344409353e-02 -9.229092776027103540e-02
1.007823396930477428e-02 -8.572877974103199072e-02
1.021661624904986188e-02 -9.581008123521939090e-02
1.014410095672272499e-02 -9.224711115439787612e-02
9.946403678039603125e-03 -8.004766146207353827e-02
1.015284106077536663e-02 -9.303509559770928306e-02
1.003763887549204148e-02 -8.606536572090339732e-02
1.014487219829866838e-02 -9.422763605556516708e-02
1.008373116980543216e-02 -8.894236689980217214e-02
1.028412548939321158e-02 -9.860803260119155311e-02
1.013209267502429567e-02 -9.830947902887232637e-02
1.012793128233138024e-02 -9.058526993146842621e-02
1.008182835266574484e-02 -9.188322487953870521e-02
1.030188536667994009e-02 -1.057827717137660439e-01
1.020615473426127184e-02 -9.075958593277766440e-02
1.023308190464294887e-02 -9.901157664487136856e-02
1.004588656815611630e-02 -9.056856188140605113e-02
1.012788539878204525e-02 -9.309887621086065934e-02
1.016742858008817807e-02 -9.564217154278731314e-02
1.012869496153299270e-02 -9.473233395406022161e-02
1.009361656610774372e-02 -8.849963347401534897e-02
1.006654303345901058e-02 -8.828159171593497057e-02
9.966468228520444783e-03 -8.482749369596187528e-02
9.952238299463303517e-03 -8.256651650895419081e-02
1.006127441195644318e-02 -9.259372146547684146e-02
9.998546102902947097e-03 -8.702137832083689517e-02
1.018411129534477905e-02 -8.637198346665519999e-02
1.021860435517858712e-02 -9.529195861797812306e-02
9.991869876851487697e-03 -8.317148119331019274e-02
9.961010517096399730e-03 -8.862764868769645865e-02
1.012626622409309313e-02 -9.729620224133284090e-02
1.007402190967965350e-02 -9.101174198456862818e-02
1.016656957558008390e-02 -9.422958195311026408e-02
1.010955051820949802e-02 -9.512763790803613340e-02
1.004567918345464911e-02 -8.377473195199147682e-02
1.016798865638083443e-02 -8.935277086773174560e-02
1.014507460805726125e-02 -8.812456644735555678e-02
1.020144929371563647e-02 -9.760796947720606909e-02
1.026752772561415755e-02 -1.021958575731760632e-01
1.020095444195102952e-02 -9.450638831311386490e-02
1.011024457227279599e-02 -8.514611562097273989e-02
9.976228145805163261e-03 -7.811820076368647392e-02
1.007568142305455966e-02 -9.008331641303546355e-02
1.008583501367643631e-02 -8.774386234006303908e-02
1.020016993236134983e-02 -9.726545773625749902e-02
1.019674359686227605e-02 -8.982559661369204917e-02
1.019510337985061327e-02 -9.562743373400550695e-02
1.015183932588441251e-02 -8.658656664237307510e-02
1.002083500292688667e-02 -9.455567039778633998e-02
1.014566783880690298e-02 -9.226585249659757793e-02
1.001674006175566622e-02 -8.825269577475292060e-02
9.983375739726033093e-03 -7.949975910460715944e-02
1.024158684300317118e-02 -1.007689671028437761e-01
1.004988446398615010e-02 -8.451276043996669429e-02
1.021069466181830088e-02 -1.024873409415758552e-01
1.004846850941752689e-02 -8.486914606724971222e-02
1.010852350013413670e-02 -9.368698946105880054e-02
1.014690543154134206e-02 -9.405417367565283016e-02
9.958110219725715972e-03 -7.937165474556340250e-02
1.002905087372100990e-02 -9.035268617700076277e-02
1.023309492064040926e-02 -8.981654911269831842e-02
9.985566098460053885e-03 -8.649228416951681986e-02
1.010798732361464086e-02 -8.705070317624596932e-02
9.920054430399692647e-03 -8.441739621886146239e-02
1.009087327771437254e-02 -8.697365223940645151e-02
1.020459078581888168e-02 -9.436515447152782343e-02
1.005373553297386063e-02 -9.167463491315253066e-02
1.003127227788550707e-02 -8.913501301469550775e-02
1.003544068636665759e-02 -8.940808209587580713e-02
1.004116991526299296e-02 -8.923557788977687366e-02
1.015847635528227544e-02 -9.496579713911890153e-02
1.008075773641069206e-02 -8.712590930965058433e-02
1.005517819227334797e-02 -8.645111689356022033e-02
1.020261707193566292e-02 -9.524992712527247107e-02
1.005488892036667664e-02 -9.621636610548423008e-02
1.016583480359258690e-02 -9.036020410393796887e-02
1.004912089913508749e-02 -8.785885043756369583e-02
1.011728949500295682e-02 -9.038015818530564793e-02
1.016514386079481191e-02 -9.349982630607467371e-02
1.012586189605450132e-02 -9.116875536308577388e-02
1.004815487047226730e-02 -8.665918981433362589e-02
1.010529325219135938e-02 -8.945260162920765090e-02
1.009075362558158051e-02 -8.860954064775339312e-02
1.020588746484926007e-02 -9.299641318467166684e-02
1.014660631463417534e-02 -9.679686697244616056e-02
1.012956027450993834e-02 -9.946712576674476836e-02
1.008276392495453117e-02 -8.619388290314722312e-02
1.015918339931855263e-02 -9.057944600302714200e-02
9.952421520762241847e-03 -8.636809730058714329e-02
1.027794020598524899e-02 -9.538918508326088563e-02
1.010281152643860425e-02 -9.470227273374720589e-02
1.002663157811199690e-02 -9.080578458487820193e-02
1.013768732416454876e-02 -9.504464124032718786e-02
1.008442498135646292e-02 -8.930606488481318550e-02
1.021086062027561081e-02 -8.889712901918400689e-02
1.034142960491370861e-02 -1.052155555724463287e-01
1.009996501197698432e-02 -8.728350772598347795e-02
1.010532508682984026e-02 -8.447162810000974353e-02
1.027101848524336614e-02 -9.971835296423492423e-02
1.006378547409242374e-02 -9.750362701277426325e-02
1.014487219829866838e-02 -9.422763605556516708e-02
9.971450871922436787e-03 -8.919915012775514462e-02
1.023275139013972435e-02 -9.472289268229960868e-02
1.013090687342681206e-02 -8.361011092026071623e-02
1.008074462066932409e-02 -9.121103553505660599e-02
1.011924765779313035e-02 -9.087225317587099838e-02
9.940249869702308394e-03 -8.878170602369528375e-02
1.018313341241198350e-02 -9.134210170885670443e-02
1.020180389403211457e-02 -9.498646669377741603e-02
1.007405819481176079e-02 -8.756552749948087744e-02
1.001514990374814673e-02 -8.150530135155520384e-02
1.015324107661763620e-02 -8.301579458855457005e-02
1.027795601224611166e-02 -9.339077635107595476e-02
1.016972381804311099e-02 -8.812977368013252821e-02
1.017950463430085384e-02 -9.447542144124532193e-02
9.986924344195714787e-03 -8.484426970046299310e-02
1.004516307903463579e-02 -8.577904215551646061e-02
1.013488648840663725e-02 -9.748283905182875131e-02
9.908852391822098316e-03 -8.639749901980708913e-02
1.018829784833073099e-02 -9.048116041512987984e-02
1.002052674273878896e-02 -8.759916640133980081e-02
1.000673573091974411e-02 -8.882621573519444702e-02
1.031381157613062843e-02 -9.751500836112070303e-02
1.011770278121052608e-02 -9.349954860713105553e-02
9.929351905870839601e-03 -8.330358657983305548e-02
1.020946217711614368e-02 -9.347035053135233085e-02
9.934126325819192527e-03 -8.853372540300341598e-02
1.019127289295790328e-02 -8.633152373010721803e-02
1.001605918656565952e-02 -8.799511200659493326e-02
1.008916202574816623e-02 -8.902168142416821972e-02
1.004760095315110346e-02 -9.327096337509144242e-02
1.010835262056482275e-02 -9.447128275466543101e-02
1.029100333009143331e-02 -9.873287615835724118e-02
1.027694968934757952e-02 -1.011924972680999790e-01
1.012771894363525410e-02 -8.994035409401779368e-02
1.011903909770306420e-02 -8.329253412551063107e-02
1.010347489157244899e-02 -9.320359202184214098e-02
