weight logl a b
0.000000000000000000e+00 -6.012833929835836170e+05 4.213353620980253567e-02 2.821408532912920153e-01
0.000000000000000000e+00 -6.008405332660601707e+05 1.685509564260961879e-01 8.105884133114149570e-02
0.000000000000000000e+00 -5.966352859440555330e+05 3.690834787341723544e-02 2.953415620710121425e-01
0.000000000000000000e+00 -5.942989477887069806e+05 8.885018799220778529e-02 2.117158776876102433e-01
0.000000000000000000e+00 -5.921408303572019795e+05 1.125996525640894363e-01 1.756365024244366246e-01
0.000000000000000000e+00 -5.831027078850424150e+05 9.580693046151793624e-01 9.696589918655738050e-01
0.000000000000000000e+00 -5.791672221872918308e+05 1.766093777903022799e-01 8.803453578855591211e-02
0.000000000000000000e+00 -5.750927675500330515e+05 2.144699219787424838e-01 3.505039501539086721e-02
0.000000000000000000e+00 -5.696469209665406961e+05 2.143404166274275324e-01 4.005934945053635232e-02
0.000000000000000000e+00 -5.693136745658958098e+05 2.032638945398566044e-01 5.678078471968528440e-02
0.000000000000000000e+00 -5.688984847174640745e+05 9.785696344666153790e-01 9.274580668089814628e-01
0.000000000000000000e+00 -5.681726546706644585e+05 1.025529076436200171e-01 2.139334159639206812e-01
0.000000000000000000e+00 -5.658102072970049921e+05 9.907925523490054287e-01 9.067003203439707448e-01
0.000000000000000000e+00 -5.646845770472467411e+05 3.429200325179526665e-02 3.308672907305838518e-01
0.000000000000000000e+00 -5.617950530536143342e+05 1.368622008815848501e-01 1.652329120267223006e-01
0.000000000000000000e+00 -5.611087093065667432e+05 2.369358345503208563e-01 1.451795015451551318e-02
0.000000000000000000e+00 -5.605641967772785574e+05 1.211486675508732791e-01 1.912636955851788612e-01
0.000000000000000000e+00 -5.605063873458498856e+05 9.528304850922617586e-01 9.574611832985591153e-01
0.000000000000000000e+00 -5.585798966796413297e+05 1.342235458776237511e-01 1.723874238026402717e-01
0.000000000000000000e+00 -5.562061410608555889e+05 1.558916774861196508e-01 1.406897939295796984e-01
0.000000000000000000e+00 -5.499922975201929221e+05 1.377563026774651922e-01 1.748709018471792387e-01
0.000000000000000000e+00 -5.385958244543812471e+05 3.879735880960921701e-02 3.494165766990179334e-01
0.000000000000000000e+00 -5.382888108758295421e+05 6.677195861939821953e-02 3.019595886460231249e-01
0.000000000000000000e+00 -5.379887143539956305e+05 3.440297379031065361e-03 4.122769510445329910e-01
0.000000000000000000e+00 -5.365086057912309188e+05 1.785758220601741941e-01 1.240305550874675200e-01
0.000000000000000000e+00 -5.352392003168620868e+05 4.347125475034996356e-02 3.447821890748458129e-01
0.000000000000000000e+00 -5.351182775939516723e+05 8.915491072653403126e-02 2.677372142277602007e-01
0.000000000000000000e+00 -5.348440533449092181e+05 1.369563742109380922e-01 1.905382801028209228e-01
0.000000000000000000e+00 -5.339555884730882244e+05 1.601351968719287866e-01 1.549327140047559448e-01
0.000000000000000000e+00 -5.333822685664340388e+05 1.822696116257097598e-01 1.212995823814587704e-01
0.000000000000000000e+00 -5.328458587472916115e+05 9.663154714943825718e-01 9.130211284213921585e-01
0.000000000000000000e+00 -5.313817029399102321e+05 1.966776459594137272e-01 1.012439785660271818e-01
0.000000000000000000e+00 -5.313732557858210057e+05 9.207070111958578496e-01 9.774023037525763069e-01
0.000000000000000000e+00 -5.300861314409979386e+05 9.044968821870212894e-01 9.990587945499561640e-01
0.000000000000000000e+00 -5.286848860012468649e+05 9.826010549805472838e-01 8.851477027502733241e-01
0.000000000000000000e+00 -5.253420202828441979e+05 9.361142432863003293e-01 9.499885239428687012e-01
0.000000000000000000e+00 -5.251570914751776727e+05 6.135856622440993835e-02 3.244388438543961417e-01
0.000000000000000000e+00 -5.218715683967246441e+05 1.102767304743365040e-01 2.461450224986976298e-01
0.000000000000000000e+00 -5.166037053874193225e+05 1.749706391545562401e-01 1.484378335281860695e-01
0.000000000000000000e+00 -5.133201219569160603e+05 9.607776199057599387e-01 9.031302178040819806e-01
0.000000000000000000e+00 -5.116369368614997948e+05 9.878490215431772192e-01 8.613690294806692904e-01
0.000000000000000000e+00 -4.939456042108196416e+05 2.270543852577810995e-01 9.096573941646346473e-02
0.000000000000000000e+00 -4.927721523864314659e+05 2.505840673419428288e-01 5.727375017455926809e-02
0.000000000000000000e+00 -4.925389735109601170e+05 2.175548617383346039e-01 1.065670712821796817e-01
0.000000000000000000e+00 -4.918391317738470971e+05 3.901224794571844789e-02 3.985697839627710959e-01
0.000000000000000000e+00 -4.916845436990957824e+05 9.962034841745703861e-01 8.296193101768480904e-01
0.000000000000000000e+00 -4.882236924798188265e+05 1.656891798612482036e-01 1.907171249494716836e-01
0.000000000000000000e+00 -4.866060553725801874e+05 1.707198451589980737e-01 1.844164248813588980e-01
0.000000000000000000e+00 -4.833146470829293830e+05 2.763647318194680791e-01 2.882002188608967508e-02
0.000000000000000000e+00 -4.832613351284360979e+05 1.138620276708903756e-01 2.794989426629810314e-01
0.000000000000000000e+00 -4.822908291113077430e+05 1.316879639535636359e-01 2.512262579492199333e-01
0.000000000000000000e+00 -4.785581884674725006e+05 9.359662849278473917e-01 9.065016235391967214e-01
0.000000000000000000e+00 -4.742913561761003220e+05 9.573978707060039062e-01 8.709411913499690572e-01
0.000000000000000000e+00 -4.742571505601123208e+05 1.166459678730046301e-01 2.843214682142185534e-01
0.000000000000000000e+00 -4.739880771282594069e+05 1.105633999493577102e-01 2.947236182790885506e-01
0.000000000000000000e+00 -4.721060307518556365e+05 9.414377348613838237e-01 8.923033831017558315e-01
0.000000000000000000e+00 -4.710874805851766723e+05 1.393552381756878455e-01 2.503474572801520637e-01
0.000000000000000000e+00 -4.628928853196029668e+05 2.385182990143497328e-02 4.586931086641706790e-01
0.000000000000000000e+00 -4.622982970578126260e+05 9.091604730304252424e-01 9.294410852232091180e-01
0.000000000000000000e+00 -4.620405686181037454e+05 9.412849079011239573e-01 8.827078145173695711e-01
0.000000000000000000e+00 -4.593198110357419355e+05 8.830920622132439890e-01 9.633990431374300778e-01
0.000000000000000000e+00 -4.591682581731133978e+05 1.208384719595754220e-01 2.934053880784702750e-01
0.000000000000000000e+00 -4.574317668597496813e+05 9.630261017634381693e-01 8.459415533775209717e-01
0.000000000000000000e+00 -4.566763980387759511e+05 2.351568436727740075e-01 1.153445445118095325e-01
0.000000000000000000e+00 -4.555557432437887765e+05 1.046379761513602791e-01 3.245232327594796962e-01
0.000000000000000000e+00 -4.552886200648418744e+05 1.127880036703807765e-01 3.110616926225274748e-01
0.000000000000000000e+00 -4.548979683428553399e+05 7.490988327978342909e-04 5.113986191591535224e-01
0.000000000000000000e+00 -4.499379358129375032e+05 9.950972091205081416e-01 7.896340528509735446e-01
0.000000000000000000e+00 -4.493296484420830966e+05 6.411164170154692865e-02 4.017252947668403795e-01
0.000000000000000000e+00 -4.491668018089844845e+05 1.496600692176903724e-01 2.566802289368028678e-01
0.000000000000000000e+00 -4.476246538281797548e+05 2.538650839977433238e-01 9.650293694042799686e-02
0.000000000000000000e+00 -4.442205477648416418e+05 2.124052464757278935e-01 1.625824396915347414e-01
0.000000000000000000e+00 -4.441055313051510602e+05 2.563692906386347836e-01 9.632984333200345084e-02
0.000000000000000000e+00 -4.438887661664032494e+05 3.008661093328285352e-01 3.189476430056625844e-02
0.000000000000000000e+00 -4.430223976636090083e+05 3.195201630695256867e-01 6.359141886758568063e-03
0.000000000000000000e+00 -4.396736860254423227e+05 9.817980885747445985e-02 3.531984289834219082e-01
0.000000000000000000e+00 -4.394202033908226294e+05 8.615276268750836630e-01 9.740689783025471282e-01
0.000000000000000000e+00 -4.384389755167411058e+05 1.976458519391915969e-01 1.914882081004181114e-01
0.000000000000000000e+00 -4.382548387895892956e+05 9.695298920983689284e-01 8.167331588499190387e-01
0.000000000000000000e+00 -4.382045902664858731e+05 2.409789905421017009e-01 1.252851556902879748e-01
0.000000000000000000e+00 -4.295750583803576883e+05 2.553393007403164106e-01 1.126360439079705511e-01
0.000000000000000000e+00 -4.294184337888071896e+05 3.046177225790333010e-01 4.094694457230463325e-02
0.000000000000000000e+00 -4.283966391246333951e+05 2.568345845429244045e-01 1.116206592282911192e-01
0.000000000000000000e+00 -4.267718558952588355e+05 1.619698326407665867e-01 2.608433456280526697e-01
0.000000000000000000e+00 -4.247343438706443994e+05 9.096463710865043684e-02 3.828584429999755123e-01
0.000000000000000000e+00 -4.240653337585623958e+05 2.321807183468116431e-01 1.532458953291130355e-01
0.000000000000000000e+00 -4.229053687914164620e+05 8.964208997858869044e-01 9.086573646143594196e-01
0.000000000000000000e+00 -4.170515978852854460e+05 2.938338430390575740e-01 6.898629635595432408e-02
0.000000000000000000e+00 -4.152763643679905799e+05 3.103787883181546858e-01 4.704326229081345900e-02
0.000000000000000000e+00 -4.133802801572213066e+05 9.353306899106578198e-01 8.422367345990501297e-01
0.000000000000000000e+00 -4.125138562677621376e+05 1.557720512778724142e-01 2.867931703575484770e-01
0.000000000000000000e+00 -4.102641344863822451e+05 3.505862537531911904e-02 5.020936992003871557e-01
0.000000000000000000e+00 -4.038940033949835342e+05 1.834969863228794740e-01 2.512845308824676049e-01
0.000000000000000000e+00 -4.038934446013215929e+05 2.976736106347813715e-01 7.703850847994231366e-02
0.000000000000000000e+00 -4.035179412084259093e+05 1.409964387147418785e-01 3.216395688205143655e-01
0.000000000000000000e+00 -4.031451339783270960e+05 1.712052107030059833e-01 2.720430286904075290e-01
0.000000000000000000e+00 -3.935404930063366774e+05 1.339647146964498825e-01 3.452138674736466850e-01
0.000000000000000000e+00 -3.929279683961384580e+05 2.103726558655993895e-01 2.206853688493165544e-01
0.000000000000000000e+00 -3.925998524894443108e+05 8.662041476470836443e-01 9.203341771886732747e-01
0.000000000000000000e+00 -3.882850855779828853e+05 3.810126329688545699e-02 5.250157954137182337e-01
0.000000000000000000e+00 -3.857975055969433743e+05 1.124830745360216877e-02 5.810826995363516101e-01
0.000000000000000000e+00 -3.811060576036302373e+05 2.643343362677847974e-01 1.506098562193786128e-01
0.000000000000000000e+00 -3.810836665671357187e+05 9.987428516055560923e-01 7.094823918368753368e-01
0.000000000000000000e+00 -3.788538213802977698e+05 1.963928791133144891e-01 2.589146680215678176e-01
0.000000000000000000e+00 -3.756602922931516077e+05 8.421854582586607574e-02 4.551206020683559172e-01
0.000000000000000000e+00 -3.735648763018606114e+05 1.241460756844153801e-01 3.863726685338733091e-01
0.000000000000000000e+00 -3.735570383453679387e+05 1.814636516527252663e-01 2.893549731580942197e-01
0.000000000000000000e+00 -3.734706144708931097e+05 4.989330039995920618e-02 5.223493040311252278e-01
0.000000000000000000e+00 -3.729036369546941714e+05 2.630681057102560727e-01 1.615868634312646046e-01
0.000000000000000000e+00 -3.701040251336157089e+05 3.280108090358058170e-03 6.199015567529264636e-01
0.000000000000000000e+00 -3.659575125204410870e+05 2.952509078711155199e-01 1.212837475598431691e-01
